Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4.2e-05,16.768439,[58 16] ; [28 35],[46.45255474 27.54744526] ; [39.54744526 23.45255474],1
d4,1,0.003152,8.717289,[42 29] ; [52 11],[49.80597015 21.19402985] ; [44.19402985 18.80597015],0
r3,1,0.003466,8.544205,[48 25] ; [55  8],[55.28676471 17.71323529] ; [47.71323529 15.28676471],0
v2,1,0.009901,6.652638,[18 55] ; [28 33],[25.05970149 47.94029851] ; [20.94029851 40.05970149],0
a1,1,0.032891,4.551464,[10 64] ; [ 2 61],[ 6.48175182 67.51824818] ; [ 5.51824818 57.48175182],0
n6,1,0.095851,2.773263,[48 26] ; [32 31],[43.21167883 30.78832117] ; [36.78832117 26.21167883],0
d2,1,0.103891,2.644772,[37 34] ; [24 39],[32.32089552 38.67910448] ; [28.67910448 34.32089552],0
n3,1,0.110571,2.546039,[18 17] ; [16  6],[20.87719298 14.12280702] ; [13.12280702  8.87719298],0
a2,1,0.120714,2.408027,[17 57] ; [ 8 55],[13.50364964 60.49635036] ; [11.49635036 51.50364964],0
d3,1,0.127747,2.319672,[31 42] ; [35 28],[35.42647059 37.57352941] ; [30.57352941 32.42647059],0
p3,1,0.167139,1.908415,[10 64] ; [14 48],[13.05882353 60.94117647] ; [10.94117647 51.05882353],0
r4,1,0.191997,1.70223,[45 29] ; [45 18],[48.61313869 25.38686131] ; [41.38686131 21.61313869],0
p11,1,0.210529,1.567783,[32 42] ; [34 29],[35.64963504 38.35036496] ; [30.35036496 32.64963504],0
p1,1,0.22075,1.499486,[ 6 67] ; [ 2 60],[ 4.32592593 68.67407407] ; [ 3.67407407 58.32592593],0
s6,1,0.272018,1.206542,[29 44] ; [19 43],[25.95555556 47.04444444] ; [22.04444444 39.95555556],0
a7,1,0.318713,0.994219,[39 34] ; [39 24],[41.86764706 31.13235294] ; [36.13235294 26.86764706],0
p2,1,0.349283,0.876059,[34 40] ; [34 29],[36.72992701 37.27007299] ; [31.27007299 31.72992701],0
a6,1,0.365672,0.81832,[45 28] ; [34 29],[42.40441176 30.59558824] ; [36.59558824 26.40441176],0
a5,1,0.377341,0.779347,[42 32] ; [31 32],[39.43065693 34.56934307] ; [33.56934307 29.43065693],0
n1,1,0.38016,0.770183,[13 22] ; [ 6 17],[11.46551724 23.53448276] ; [ 7.53448276 15.46551724],0
v3,1,0.404689,0.694348,[20 53] ; [12 45],[17.96923077 55.03076923] ; [14.03076923 42.96923077],0
p8,1,0.414134,0.666902,[12 60] ; [14 49],[13.86666667 58.13333333] ; [12.13333333 50.86666667],0
a4,1,0.421659,0.645687,[30 42] ; [22 41],[27.73333333 44.26666667] ; [24.26666667 38.73333333],0
p7,1,0.464214,0.535714,[26 46] ; [19 44],[24. 48.] ; [21. 42.],0
r1,1,0.521664,0.410603,[46 27] ; [43 20],[47.77205882 25.22794118] ; [41.22794118 21.77205882],0
b5,1,0.550299,0.356782,[46 28] ; [36 27],[44.2919708 29.7080292] ; [37.7080292 25.2919708],0
s8,1,0.564487,0.331995,[12 61] ; [ 8 54],[10.81481481 62.18518519] ; [ 9.18518519 52.81481481],0
u1,1,0.567232,0.327335,[ 8 66] ; [ 5 58],[ 7.02189781 66.97810219] ; [ 5.97810219 57.02189781],0
a8,1,0.572467,0.318573,[ 9 58] ; [ 6 53],[ 7.97619048 59.02380952] ; [ 7.02380952 51.97619048],0
v4,1,0.577108,0.310934,[55 18] ; [50 13],[56.36029412 16.63970588] ; [48.63970588 14.36029412],0
a3,1,0.589586,0.290991,[42 30] ; [39 23],[43.52238806 28.47761194] ; [37.47761194 24.52238806],0
s5,1,0.618125,0.248512,[12 61] ; [ 8 52],[10.97744361 62.02255639] ; [ 9.02255639 50.97744361],0
u3,1,0.638018,0.221344,[14 18] ; [ 9 15],[13.14285714 18.85714286] ; [ 9.85714286 14.14285714],0
u4,1,0.656613,0.197665,[ 2 72] ; [ 1 62],[ 1.62043796 72.37956204] ; [ 1.37956204 61.62043796],0
r2,1,0.65958,0.194034,[61 13] ; [52  9],[61.94074074 12.05925926] ; [51.05925926  9.94074074],0
s3,1,0.662218,0.190841,[27 45] ; [21 41],[25.79104478 46.20895522] ; [22.20895522 39.79104478],0
v1,1,0.698635,0.149895,[24 49] ; [22 39],[25.05970149 47.94029851] ; [20.94029851 40.05970149],0
s7,1,0.707962,0.140321,[15 54] ; [14 43],[15.88095238 53.11904762] ; [13.11904762 43.88095238],0
d5,1,0.764973,0.089375,[47 26] ; [39 24],[46.16176471 26.83823529] ; [39.83823529 23.16176471],0
b1,1,0.781127,0.077201,[37 37] ; [30 33],[36.18978102 37.81021898] ; [30.81021898 32.18978102],0
b2,1,0.824461,0.0492,[14 34] ; [11 24],[14.45783133 33.54216867] ; [10.54216867 24.45783133],0
b3,1,0.824461,0.0492,[14 34] ; [11 24],[14.45783133 33.54216867] ; [10.54216867 24.45783133],0
s1,1,0.845515,0.037964,[ 4 68] ; [ 4 59],[ 4.26666667 67.73333333] ; [ 3.73333333 59.26666667],0
u2,1,0.846024,0.037711,[14 17] ; [11 12],[14.35185185 16.64814815] ; [10.64814815 12.35185185],0
n2,1,0.851813,0.034897,[20 17] ; [13 10],[20.35 16.65] ; [12.65 10.35],0
s2,1,0.908418,0.013233,[18 55] ; [15 48],[17.71323529 55.28676471] ; [15.28676471 47.71323529],0
p9,1,0.912528,0.012067,[22 47] ; [20 41],[22.29230769 46.70769231] ; [19.70769231 41.29230769],0
b4,1,0.941314,0.00542,[43 31] ; [37 26],[43.21167883 30.78832117] ; [36.78832117 26.21167883],0
s4,1,0.948177,0.004225,[ 9 64] ; [ 8 55],[ 9.125 63.875] ; [ 7.875 55.125],0
d1,1,0.953037,0.003468,[29 45] ; [25 38],[29.16788321 44.83211679] ; [24.83211679 38.16788321],0
p6,1,0.991226,0.000121,[11 62] ; [ 9 51],[10.97744361 62.02255639] ; [ 9.02255639 50.97744361],0
