Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,31.606161,[10 22] ; [84 17],[22.61654135  9.38345865] ; [71.38345865 29.61654135],1
n6,1,5e-06,20.898424,[18 14] ; [93  9],[26.50746269  5.49253731] ; [84.49253731 17.50746269],1
s4,1,0.009644,6.699518,[11 21] ; [14 87],[ 6.01503759 25.98496241] ; [18.98496241 82.01503759],0
a5,1,0.019261,5.477639,[18 14] ; [79 23],[23.1641791  8.8358209] ; [73.8358209 28.1641791],0
p7,1,0.021667,5.272311,[10 18] ; [59 39],[15.33333333 12.66666667] ; [53.66666667 44.33333333],0
a3,1,0.02501,5.02322,[19 13] ; [80 21],[23.81954887  8.18045113] ; [75.18045113 25.81954887],0
a8,1,0.027338,4.869344,[ 1 29] ; [19 74],[ 4.87804878 25.12195122] ; [15.12195122 77.87804878],0
a4,1,0.037771,4.315291,[ 9 23] ; [50 52],[14.08955224 17.91044776] ; [44.91044776 57.08955224],0
a7,1,0.051804,3.782103,[26  6] ; [64 38],[21.49253731 10.50746269] ; [68.50746269 33.49253731],0
s2,1,0.059314,3.556455,[25  7] ; [61 41],[20.53731343 11.46268657] ; [65.46268657 36.53731343],0
d2,1,0.085814,2.951199,[12 20] ; [56 46],[16.23880597 15.76119403] ; [51.76119403 50.23880597],0
b1,1,0.115319,2.479776,[10 22] ; [48 54],[13.85074627 18.14925373] ; [44.14925373 57.85074627],0
v3,1,0.140198,2.175787,[10 19] ; [50 50],[13.48837209 15.51162791] ; [46.51162791 53.48837209],0
v2,1,0.141326,2.163462,[14 14] ; [64 34],[17.33333333 10.66666667] ; [60.66666667 37.33333333],0
d1,1,0.197794,1.658586,[15 17] ; [61 41],[18.14925373 13.85074627] ; [57.85074627 44.14925373],0
p11,1,0.212092,1.557092,[22 10] ; [81 21],[24.59701493  7.40298507] ; [78.40298507 23.59701493],0
u1,1,0.217681,1.519595,[ 3 29] ; [19 83],[ 5.25373134 26.74626866] ; [16.74626866 85.25373134],0
a2,1,0.257718,1.280976,[ 4 28] ; [22 80],[ 6.20895522 25.79104478] ; [19.79104478 82.20895522],0
u3,1,0.28245,1.155266,[11  2] ; [15  7],[9.65714286 3.34285714] ; [16.34285714  5.65714286],0
p3,1,0.32478,0.969599,[ 8 24] ; [35 67],[10.26865672 21.73134328] ; [32.73134328 69.26865672],0
p8,1,0.339588,0.911987,[15 17] ; [37 62],[12.70229008 19.29770992] ; [39.29770992 59.70229008],0
a6,1,0.343466,0.89745,[22 10] ; [60 41],[19.72932331 12.27067669] ; [62.27067669 38.72932331],0
s3,1,0.351027,0.86974,[25  7] ; [71 31],[22.92537313  9.07462687] ; [73.07462687 28.92537313],0
b2,1,0.367881,0.810811,[8 8] ; [28 46],[6.4 9.6] ; [29.6 44.4],0
b3,1,0.367881,0.810811,[8 8] ; [28 46],[6.4 9.6] ; [29.6 44.4],0
s5,1,0.37037,0.802421,[14 16] ; [36 60],[11.9047619 18.0952381] ; [38.0952381 57.9047619],0
u4,1,0.382708,0.761986,[ 1 31] ; [  1 101],[ 0.47761194 31.52238806] ; [  1.52238806 100.47761194],0
p6,1,0.389867,0.739358,[ 6 26] ; [26 73],[ 7.81679389 24.18320611] ; [24.18320611 74.81679389],0
