Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5e-06,20.928044,[ 26 107] ; [20 14],[36.63473054 96.36526946] ; [ 9.36526946 24.63473054],1
s6,1,7e-06,20.281571,[48 95] ; [27  9],[59.91620112 83.08379888] ; [15.08379888 20.91620112],1
s2,1,9e-06,19.658774,[ 34 108] ; [22 13],[44.92655367 97.07344633] ; [11.07344633 23.92655367],1
s3,1,0.001368,10.248447,[51 91] ; [23 12],[59.36723164 82.63276836] ; [14.63276836 20.36723164],0
p10,1,0.002128,9.43552,[ 28 114] ; [16 20],[ 35.1011236 106.8988764] ; [ 8.8988764 27.1011236],0
r4,1,0.002259,9.326299,[89 54] ; [32  4],[96.66480447 46.33519553] ; [24.33519553 11.66480447],0
u3,1,0.009794,6.671921,[30 36] ; [11  2],[34.25316456 31.74683544] ; [6.74683544 6.25316456],0
r3,1,0.016404,5.759061,[108  33] ; [34  2],[113.11864407  27.88135593] ; [28.88135593  7.11864407],0
v4,1,0.019019,5.499812,[108  32] ; [34  2],[112.95454545  27.04545455] ; [29.04545455  6.95454545],0
p2,1,0.02702,4.889547,[74 69] ; [26 10],[79.88826816 63.11173184] ; [20.11173184 15.88826816],0
p4,1,0.029007,4.767198,[47 95] ; [19 17],[52.65168539 89.34831461] ; [13.34831461 22.65168539],0
u2,1,0.029179,4.757046,[28 36] ; [10  3],[31.58441558 32.41558442] ; [6.41558442 6.58441558],0
n5,1,0.036569,4.370356,[71 71] ; [25 11],[76.58426966 65.41573034] ; [19.41573034 16.58426966],0
d5,1,0.040785,4.184914,[94 49] ; [30  6],[99.06145251 43.93854749] ; [24.93854749 11.06145251],0
b1,1,0.04748,3.928288,[73 70] ; [25 11],[78.29050279 64.70949721] ; [19.70949721 16.29050279],0
r2,1,0.067751,3.336687,[115  25] ; [34  2],[118.52272727  21.47727273] ; [30.47727273  5.52272727],0
v2,1,0.069426,3.296531,[52 87] ; [19 16],[56.7183908 82.2816092] ; [14.2816092 20.7183908],0
n6,1,0.079658,3.07186,[84 58] ; [27  9],[88.5505618 53.4494382] ; [22.4494382 13.5505618],0
v3,1,0.081461,3.035504,[ 35 104] ; [14 21],[39.14367816 99.85632184] ; [ 9.85632184 25.14367816],0
n2,1,0.082382,3.017266,[31 24] ; [10  2],[33.65671642 21.34328358] ; [7.34328358 4.65671642],0
p11,1,0.108607,2.574375,[66 77] ; [22 14],[70.30167598 72.69832402] ; [17.69832402 18.30167598],0
p6,1,0.119706,2.421164,[ 23 117] ; [10 26],[ 26.25 113.75] ; [ 6.75 29.25],0
d1,1,0.142456,2.151223,[60 83] ; [20 16],[63.91061453 79.08938547] ; [16.08938547 19.91061453],0
u1,1,0.143557,2.13941,[ 15 128] ; [ 7 29],[ 17.57541899 125.42458101] ; [ 4.42458101 31.57541899],0
