Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2e-06,22.826445,[24 30] ; [12 95],[12.07453416 41.92546584] ; [23.92546584 83.07453416],1
d1,1,3.4e-05,17.186338,[30 25] ; [24 84],[18.2208589 36.7791411] ; [35.7791411 72.2208589],1
v1,1,6.7e-05,15.884116,[30 24] ; [25 80],[18.67924528 35.32075472] ; [36.32075472 68.67924528],1
d3,1,0.000108,14.988052,[41 14] ; [45 61],[29.37888199 25.62111801] ; [56.62111801 49.37888199],1
d5,1,0.000478,12.200464,[46  9] ; [60 47],[35.98765432 19.01234568] ; [70.01234568 36.98765432],1
s6,1,0.000643,11.646289,[30 22] ; [32 76],[20.15 31.85] ; [41.85 66.15],1
d4,1,0.004237,8.179476,[44 11] ; [62 46],[35.76687117 19.23312883] ; [70.23312883 37.76687117],0
p6,1,0.021239,5.30707,[16 36] ; [16 90],[10.53164557 41.46835443] ; [21.46835443 84.53164557],0
a3,1,0.041393,4.159848,[36 19] ; [52 55],[29.87654321 25.12345679] ; [58.12345679 48.87654321],0
r3,1,0.041972,4.136321,[47  8] ; [76 31],[41.75925926 13.24074074] ; [81.24074074 25.75925926],0
p11,1,0.044745,4.028234,[39 16] ; [59 49],[33.06748466 21.93251534] ; [64.93251534 43.06748466],0
p4,1,0.054029,3.711798,[26 27] ; [36 72],[20.40993789 32.59006211] ; [41.59006211 66.40993789],0
n4,1,0.057701,3.602265,[39 16] ; [60 48],[33.40490798 21.59509202] ; [65.59509202 42.40490798],0
d2,1,0.094744,2.791865,[25 30] ; [34 72],[20.1552795 34.8447205] ; [38.8447205 67.1552795],0
n3,1,0.094955,2.788295,[17  5] ; [20 16],[14.03448276  7.96551724] ; [22.96551724 13.03448276],0
p7,1,0.123797,2.368614,[29 26] ; [42 63],[24.40625 30.59375] ; [46.59375 58.40625],0
v4,1,0.159226,1.981566,[46  9] ; [79 28],[42.4382716 12.5617284] ; [82.5617284 24.4382716],0
a2,1,0.17843,1.810651,[ 7 48] ; [  7 101],[ 4.72392638 50.27607362] ; [ 9.27607362 98.72392638],0
a5,1,0.184348,1.762217,[31 24] ; [49 59],[26.99386503 28.00613497] ; [53.00613497 54.99386503],0
b4,1,0.185091,1.756267,[36 19] ; [59 49],[32.05521472 22.94478528] ; [62.94478528 45.05521472],0
p10,1,0.202069,1.627359,[36 18] ; [59 46],[32.26415094 21.73584906] ; [62.73584906 42.26415094],0
s7,1,0.226005,1.465829,[12 39] ; [16 87],[ 9.27272727 41.72727273] ; [18.72727273 84.27272727],0
p8,1,0.284332,1.146265,[21 31] ; [34 73],[17.98742138 34.01257862] ; [37.01257862 69.98742138],0
p3,1,0.301308,1.068396,[20 33] ; [32 76],[17.11801242 35.88198758] ; [34.88198758 73.11801242],0
a8,1,0.32198,0.980885,[ 3 49] ; [11 93],[ 4.66666667 47.33333333] ; [ 9.33333333 94.66666667],0
a4,1,0.325906,0.965096,[19 36] ; [29 78],[16.2962963 38.7037037] ; [31.7037037 75.2962963],0
n6,1,0.33553,0.927437,[42 13] ; [74 33],[39.38271605 15.61728395] ; [76.61728395 30.38271605],0
