Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-05,19.451923,[20 28] ; [32  4],[29.71428571 18.28571429] ; [22.28571429 13.71428571],1
r3,1,2.8e-05,17.577195,[16 33] ; [27  7],[25.38554217 23.61445783] ; [17.61445783 16.38554217],1
n3,1,4.8e-05,16.530417,[ 7 20] ; [13  1],[13.17073171 13.82926829] ; [6.82926829 7.17073171],1
p2,1,0.000394,12.561138,[15 34] ; [25 11],[23.05882353 25.94117647] ; [16.94117647 19.05882353],1
p10,1,0.001117,10.622053,[13 35] ; [22 13],[20.24096386 27.75903614] ; [14.75903614 20.24096386],0
p9,1,0.001544,10.025575,[16 30] ; [24 10],[23. 23.] ; [17. 17.],0
b1,1,0.002879,8.882889,[31 18] ; [11 25],[24.21176471 24.78823529] ; [17.78823529 18.21176471],0
s6,1,0.004401,8.11057,[ 7 42] ; [15 21],[12.68235294 36.31764706] ; [ 9.31764706 26.68235294],0
v2,1,0.010835,6.492119,[11 37] ; [17 17],[16.3902439 31.6097561] ; [11.6097561 22.3902439],0
b3,1,0.014385,5.990233,[17 12] ; [ 5 16],[12.76 16.24] ; [ 9.24 11.76],0
b2,1,0.014385,5.990233,[17 12] ; [ 5 16],[12.76 16.24] ; [ 9.24 11.76],0
b4,1,0.019325,5.471896,[26 23] ; [28  8],[31.12941176 17.87058824] ; [22.87058824 13.12941176],0
n2,1,0.024183,5.081481,[10 17] ; [11  4],[13.5 13.5] ; [7.5 7.5],0
s2,1,0.059058,3.563636,[ 7 42] ; [11 24],[10.5 38.5] ; [ 7.5 27.5],0
a1,1,0.082065,3.02352,[ 9 40] ; [ 2 34],[ 6.34117647 42.65882353] ; [ 4.65882353 31.34117647],0
p8,1,0.11287,2.513574,[ 4 45] ; [ 7 28],[ 6.41666667 42.58333333] ; [ 4.58333333 30.41666667],0
u2,1,0.126645,2.333159,[ 5 18] ; [6 7],[ 7.02777778 15.97222222] ; [3.97222222 9.02777778],0
u3,1,0.126645,2.333159,[ 5 18] ; [6 7],[ 7.02777778 15.97222222] ; [3.97222222 9.02777778],0
s7,1,0.166873,1.910813,[ 9 35] ; [12 23],[11.69620253 32.30379747] ; [ 9.30379747 25.69620253],0
d4,1,0.174976,1.839788,[31 18] ; [27  8],[33.83333333 15.16666667] ; [24.16666667 10.83333333],0
p5,1,0.175844,1.832404,[ 1 48] ; [ 3 33],[ 2.30588235 46.69411765] ; [ 1.69411765 34.30588235],0
s8,1,0.226696,1.461475,[ 5 44] ; [ 7 29],[ 6.91764706 42.08235294] ; [ 5.08235294 30.91764706],0
d1,1,0.246993,1.340232,[21 28] ; [20 16],[23.63529412 25.36470588] ; [17.36470588 18.63529412],0
p4,1,0.303475,1.058861,[ 9 40] ; [10 26],[10.95294118 38.04705882] ; [ 8.04705882 27.95294118],0
v4,1,0.35519,0.854828,[25 24] ; [22 14],[27.09411765 21.90588235] ; [19.90588235 16.09411765],0
s3,1,0.356809,0.849092,[12 36] ; [12 23],[13.87951807 34.12048193] ; [10.12048193 24.87951807],0
a3,1,0.371093,0.8,[26 22] ; [23 13],[28. 20.] ; [21. 15.],0
d2,1,0.378039,0.77707,[20 28] ; [18 17],[21.97590361 26.02409639] ; [16.02409639 18.97590361],0
s5,1,0.383831,0.758397,[ 6 42] ; [ 7 29],[ 7.42857143 40.57142857] ; [ 5.57142857 30.42857143],0
p6,1,0.44237,0.590128,[ 3 44] ; [ 4 32],[ 3.96385542 43.03614458] ; [ 3.03614458 32.96385542],0
r1,1,0.44418,0.585459,[16 33] ; [ 9 27],[14.41176471 34.58823529] ; [10.58823529 25.41176471],0
n5,1,0.481687,0.495042,[29 20] ; [24 12],[30.55294118 18.44705882] ; [22.44705882 13.55294118],0
n1,1,0.494525,0.466667,[ 8 19] ; [6 9],[ 9. 18.] ; [ 5. 10.],0
a2,1,0.495029,0.465577,[ 8 41] ; [ 4 32],[ 6.91764706 42.08235294] ; [ 5.08235294 30.91764706],0
a5,1,0.503778,0.446969,[25 24] ; [21 15],[26.51764706 22.48235294] ; [19.48235294 16.51764706],0
v1,1,0.506732,0.440809,[13 36] ; [11 22],[14.34146341 34.65853659] ; [ 9.65853659 23.34146341],0
d5,1,0.552688,0.352523,[31 18] ; [25 11],[32.28235294 16.71764706] ; [23.71764706 12.28235294],0
v3,1,0.615592,0.252112,[10 39] ; [ 9 27],[10.95294118 38.04705882] ; [ 8.04705882 27.95294118],0
s4,1,0.66657,0.18564,[ 7 42] ; [ 4 32],[ 6.34117647 42.65882353] ; [ 4.65882353 31.34117647],0
u1,1,0.694157,0.154622,[ 3 46] ; [ 3 33],[ 3.45882353 45.54117647] ; [ 2.54117647 33.45882353],0
a8,1,0.71532,0.133021,[ 2 45] ; [ 2 31],[ 2.35 44.65] ; [ 1.65 31.35],0
p3,1,0.742188,0.108213,[ 8 40] ; [ 7 29],[ 8.57142857 39.42857143] ; [ 6.42857143 29.57142857],0
d3,1,0.819619,0.052,[26 23] ; [20 16],[26.51764706 22.48235294] ; [19.48235294 16.51764706],0
p1,1,0.823439,0.049784,[ 6 43] ; [ 5 31],[ 6.34117647 42.65882353] ; [ 4.65882353 31.34117647],0
a4,1,0.948578,0.004159,[19 29] ; [14 22],[18.85714286 29.14285714] ; [14.14285714 21.85714286],0
a7,1,0.970568,0.001361,[24 25] ; [17 18],[23.91666667 25.08333333] ; [17.08333333 17.91666667],0
r2,1,0.978042,0.000758,[27 20] ; [20 15],[26.93902439 20.06097561] ; [20.06097561 14.93902439],0
a6,1,0.979361,0.000669,[23 26] ; [17 19],[23.05882353 25.94117647] ; [16.94117647 19.05882353],0
b5,1,0.979361,0.000669,[23 26] ; [17 19],[23.05882353 25.94117647] ; [16.94117647 19.05882353],0
n4,1,0.991544,0.000112,[30 19] ; [22 14],[29.97647059 19.02352941] ; [22.02352941 13.97647059],0
