Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4e-06,21.307186,[24 31] ; [ 7 70],[12.91666667 42.08333333] ; [18.08333333 58.91666667],1
r1,1,0.000264,13.31192,[46 11] ; [39 39],[35.88888889 21.11111111] ; [49.11111111 28.88888889],1
v1,1,0.000535,11.988695,[31 26] ; [19 57],[21.42857143 35.57142857] ; [28.57142857 47.42857143],1
a5,1,0.003893,8.332841,[34 23] ; [27 51],[25.75555556 31.24444444] ; [35.24444444 42.75555556],0
a3,1,0.005293,7.776528,[39 18] ; [34 43],[31.05223881 25.94776119] ; [41.94776119 35.05223881],0
s6,1,0.019741,5.434654,[32 23] ; [29 48],[25.41666667 29.58333333] ; [35.58333333 41.41666667],0
r3,1,0.030772,4.665657,[53  3] ; [64 14],[48.89552239  7.10447761] ; [68.10447761  9.89552239],0
d5,1,0.047655,3.922129,[44 13] ; [47 30],[38.70895522 18.29104478] ; [52.29104478 24.70895522],0
r2,1,0.047881,3.91416,[52  4] ; [63 15],[48.05970149  7.94029851] ; [66.94029851 11.05970149],0
d3,1,0.075989,3.148674,[38 19] ; [39 37],[33. 24.] ; [44. 32.],0
d4,1,0.110746,2.543544,[47 10] ; [55 23],[43.06666667 13.93333333] ; [58.93333333 19.06666667],0
u1,1,0.12433,2.361914,[ 6 51] ; [ 3 75],[ 3.8 53.2] ; [ 5.2 72.8],0
p10,1,0.127069,2.327949,[39 16] ; [44 32],[34.84732824 20.15267176] ; [48.15267176 27.84732824],0
s5,1,0.130907,2.281714,[17 38] ; [15 62],[13.33333333 41.66666667] ; [18.66666667 58.33333333],0
r4,1,0.133054,2.256507,[46 11] ; [54 24],[42.22222222 14.77777778] ; [57.77777778 20.22222222],0
a2,1,0.137994,2.200192,[ 8 49] ; [ 5 73],[ 5.48888889 51.51111111] ; [ 7.51111111 70.48888889],0
v4,1,0.139535,2.183081,[52  4] ; [65 12],[49.26315789  6.73684211] ; [67.73684211  9.26315789],0
a7,1,0.145375,2.120126,[43 14] ; [49 28],[39.13432836 17.86567164] ; [52.86567164 24.13432836],0
a4,1,0.152837,2.043708,[17 40] ; [15 63],[13.51111111 43.48888889] ; [18.48888889 59.51111111],0
s7,1,0.201363,1.632462,[14 42] ; [12 63],[11.11450382 44.88549618] ; [14.88549618 60.11450382],0
p11,1,0.204114,1.612693,[39 18] ; [45 33],[35.46666667 21.53333333] ; [48.53333333 29.46666667],0
p7,1,0.235806,1.405494,[25 30] ; [26 48],[21.74418605 33.25581395] ; [29.25581395 44.74418605],0
n5,1,0.237912,1.392923,[15 42] ; [28 50],[18.15555556 38.84444444] ; [24.84444444 53.15555556],0
d1,1,0.255028,1.295547,[26 31] ; [28 50],[22.8 34.2] ; [31.2 46.8],0
u3,1,0.263071,1.252525,[ 7 11] ; [24 20],[9. 9.] ; [22. 22.],0
b4,1,0.279285,1.170565,[36 21] ; [42 36],[32.93333333 24.06666667] ; [45.06666667 32.93333333],0
b1,1,0.298129,1.082546,[17 40] ; [30 48],[19.84444444 37.15555556] ; [27.15555556 50.84444444],0
p1,1,0.298859,1.079278,[ 1 56] ; [ 4 73],[ 2.12686567 54.87313433] ; [ 2.87313433 74.12686567],0
s3,1,0.307178,1.042769,[25 31] ; [28 50],[22.14925373 33.85074627] ; [30.85074627 47.14925373],0
p2,1,0.312159,1.02152,[41 16] ; [49 28],[38.28358209 18.71641791] ; [51.71641791 25.28358209],0
s8,1,0.369164,0.806476,[14 43] ; [14 63],[11.91044776 45.08955224] ; [16.08955224 60.91044776],0
s2,1,0.370629,0.801556,[22 35] ; [24 53],[19.56716418 37.43283582] ; [26.43283582 50.56716418],0
a8,1,0.401691,0.703258,[ 3 51] ; [ 2 73],[ 2.09302326 51.90697674] ; [ 2.90697674 72.09302326],0
u2,1,0.426089,0.633461,[ 7 11] ; [22 22],[8.41935484 9.58064516] ; [20.58064516 23.41935484],0
a6,1,0.430643,0.621089,[36 21] ; [44 34],[33.77777778 23.22222222] ; [46.22222222 31.77777778],0
b5,1,0.433905,0.612348,[32 25] ; [49 29],[34.2 22.8] ; [46.8 31.2],0
p9,1,0.515264,0.423362,[41 14] ; [52 23],[39.34615385 15.65384615] ; [53.65384615 21.34615385],0
b3,1,0.535077,0.38474,[ 5 18] ; [11 27],[ 6.03278689 16.96721311] ; [ 9.96721311 28.03278689],0
b2,1,0.535077,0.38474,[ 5 18] ; [11 27],[ 6.03278689 16.96721311] ; [ 9.96721311 28.03278689],0
n6,1,0.540521,0.374576,[38 19] ; [48 30],[36.31111111 20.68888889] ; [49.68888889 28.31111111],0
d2,1,0.557497,0.344056,[17 40] ; [27 51],[18.57777778 38.42222222] ; [25.42222222 52.57777778],0
p8,1,0.64658,0.210239,[19 36] ; [24 54],[17.78195489 37.21804511] ; [25.21804511 52.78195489],0
p6,1,0.653028,0.202104,[ 7 47] ; [12 64],[ 7.89230769 46.10769231] ; [11.10769231 64.89230769],0
s4,1,0.70582,0.142488,[14 43] ; [17 61],[13.08888889 43.91111111] ; [17.91111111 60.08888889],0
n1,1,0.783131,0.075758,[ 4 18] ; [ 7 26],[ 4.4 17.6] ; [ 6.6 26.4],0
n3,1,0.800657,0.063754,[12  9] ; [20 13],[12.44444444  8.55555556] ; [19.55555556 13.44444444],0
p5,1,0.829706,0.046259,[ 1 56] ; [ 1 76],[ 0.85074627 56.14925373] ; [ 1.14925373 75.85074627],0
a1,1,0.918342,0.010511,[ 2 55] ; [ 3 75],[ 2.11111111 54.88888889] ; [ 2.88888889 75.11111111],0
p3,1,0.926904,0.008416,[ 9 47] ; [13 65],[ 9.19402985 46.80597015] ; [12.80597015 65.19402985],0
s1,1,0.934044,0.006849,[ 2 54] ; [ 3 75],[ 2.08955224 53.91044776] ; [ 2.91044776 75.08955224],0
n2,1,1.0,0.0,[14  8] ; [21 12],[14.  8.] ; [21. 12.],0
