Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,51.913235,[127   9] ; [13 19],[113.33333333  22.66666667] ; [26.66666667  5.33333333],1
n6,1,1e-06,24.16007,[129   7] ; [20 11],[121.34131737  14.65868263] ; [27.65868263  3.34131737],1
p5,1,0.00435,8.131536,[ 36 101] ; [ 1 31],[ 29.99408284 107.00591716] ; [ 7.00591716 24.99408284],0
a3,1,0.009365,6.751773,[119  17] ; [22 10],[114.14285714  21.85714286] ; [26.85714286  5.14285714],0
r1,1,0.011011,6.463593,[124  12] ; [24  8],[119.80952381  16.19047619] ; [28.19047619  3.80952381],0
s7,1,0.047688,3.920955,[115  17] ; [21  8],[111.50310559  20.49689441] ; [24.49689441  4.50310559],0
s4,1,0.052409,3.762661,[ 32 103] ; [13 19],[36.37724551 98.62275449] ; [ 8.62275449 23.37724551],0
n1,1,0.052449,3.761387,[18 10] ; [ 5 10],[14.97674419 13.02325581] ; [8.02325581 6.97674419],0
p4,1,0.054412,3.70002,[100  36] ; [18 14],[95.52380952 40.47619048] ; [22.47619048  9.52380952],0
p11,1,0.057911,3.596235,[111  26] ; [21 11],[107.00591716  29.99408284] ; [24.99408284  7.00591716],0
p2,1,0.070868,3.26281,[120  17] ; [24  8],[116.73372781  20.26627219] ; [27.26627219  4.73372781],0
p7,1,0.076145,3.145314,[109  25] ; [20 10],[105.40243902  28.59756098] ; [23.59756098  6.40243902],0
d2,1,0.082944,3.006247,[83 54] ; [14 18],[78.63313609 58.36686391] ; [18.36686391 13.63313609],0
p1,1,0.082986,3.005421,[ 15 122] ; [ 7 24],[ 17.94047619 119.05952381] ; [ 4.05952381 26.94047619],0
p6,1,0.094024,2.80409,[77 58] ; [13 19],[72.75449102 62.24550898] ; [17.24550898 14.75449102],0
r4,1,0.09894,2.722551,[133   4] ; [29  3],[131.32544379   5.67455621] ; [30.67455621  1.32544379],0
a5,1,0.129894,2.293773,[121  16] ; [25  7],[118.35502959  18.64497041] ; [27.64497041  4.35502959],0
n2,1,0.14338,2.141301,[24  4] ; [10  5],[22.13953488  5.86046512] ; [11.86046512  3.13953488],0
a4,1,0.172404,1.861912,[74 63] ; [13 19],[70.52662722 66.47337278] ; [16.47337278 15.52662722],0
p12,1,0.173549,1.852015,[ 21 115] ; [ 2 30],[ 18.61904762 117.38095238] ; [ 4.38095238 27.61904762],0
v3,1,0.181716,1.783535,[74 60] ; [13 18],[70.65454545 63.34545455] ; [16.34545455 14.65454545],0
n3,1,0.195667,1.674424,[22  6] ; [9 6],[20.18604651  7.81395349] ; [10.81395349  4.18604651],0
b1,1,0.20585,1.600374,[64 73] ; [11 21],[60.79881657 76.20118343] ; [14.20118343 17.79881657],0
a7,1,0.255792,1.291388,[93 44] ; [25  7],[95.65680473 41.34319527] ; [22.34319527  9.65680473],0
u1,1,0.262843,1.253722,[39 98] ; [ 6 26],[ 36.47928994 100.52071006] ; [ 8.52071006 23.47928994],0
s6,1,0.273882,1.197202,[123  12] ; [31  1],[124.49101796  10.50898204] ; [29.50898204  2.49101796],0
p10,1,0.330784,0.945828,[126  11] ; [31  1],[127.27218935   9.72781065] ; [29.72781065  2.27218935],0
b4,1,0.330995,0.945,[77 60] ; [21 11],[79.44378698 57.55621302] ; [18.55621302 13.44378698],0
d3,1,0.334244,0.932383,[100  37] ; [26  6],[102.14201183  34.85798817] ; [23.85798817  8.14201183],0
