Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.2e-05,19.136407,[ 9 57] ; [26 25],[19.74358974 46.25641026] ; [15.25641026 35.74358974],1
p7,1,1.4e-05,18.93438,[21 44] ; [36 13],[32.5 32.5] ; [24.5 24.5],1
p3,1,2.6e-05,17.72532,[13 54] ; [29 22],[23.84745763 43.15254237] ; [18.15254237 32.84745763],1
p4,1,0.000123,14.74359,[16 49] ; [30 20],[26. 39.] ; [20. 30.],1
p10,1,0.000227,13.592186,[30 35] ; [40 10],[39.56521739 25.43478261] ; [30.43478261 19.56521739],1
p2,1,0.004221,8.186143,[37 30] ; [41 10],[44.28813559 22.71186441] ; [33.71186441 17.28813559],0
n6,1,0.006013,7.546282,[41 26] ; [43  8],[47.69491525 19.30508475] ; [36.30508475 14.69491525],0
s6,1,0.006741,7.340637,[24 43] ; [30 19],[31.18965517 35.81034483] ; [22.81034483 26.18965517],0
s2,1,0.009295,6.765264,[17 49] ; [25 26],[23.69230769 42.30769231] ; [18.30769231 32.69230769],0
s8,1,0.018309,5.566324,[11 56] ; [18 33],[16.46610169 50.53389831] ; [12.53389831 38.46610169],0
n5,1,0.021162,5.313382,[35 31] ; [37 13],[40.96551724 25.03448276] ; [31.03448276 18.96551724],0
p9,1,0.027228,4.876268,[38 27] ; [39 11],[43.52173913 21.47826087] ; [33.47826087 16.52173913],0
s7,1,0.027512,4.85837,[14 48] ; [21 29],[19.375 42.625] ; [15.625 34.375],0
p5,1,0.029446,4.74133,[ 2 65] ; [ 7 44],[ 5.11016949 61.88983051] ; [ 3.88983051 47.11016949],0
v4,1,0.030416,4.685625,[51 15] ; [47  4],[55.28205128 10.71794872] ; [42.71794872  8.28205128],0
r3,1,0.031459,4.627713,[50 17] ; [46  5],[54.50847458 12.49152542] ; [41.49152542  9.50847458],0
p12,1,0.034639,4.4629,[ 3 64] ; [ 8 42],[ 6.2991453 60.7008547] ; [ 4.7008547 45.2991453],0
p11,1,0.04557,3.99743,[41 26] ; [40 11],[45.99152542 21.00847458] ; [35.00847458 15.99152542],0
v3,1,0.102921,2.659684,[12 52] ; [16 34],[15.71929825 48.28070175] ; [12.28070175 37.71929825],0
n1,1,0.106864,2.6,[12 18] ; [1 8],[10. 20.] ; [3. 6.],0
d3,1,0.122668,2.382919,[29 38] ; [15 36],[24.98305085 42.01694915] ; [19.01694915 31.98305085],0
a5,1,0.149483,2.077519,[24 43] ; [25 26],[27.8220339 39.1779661] ; [21.1779661 29.8220339],0
v2,1,0.164067,1.936333,[13 49] ; [16 33],[16.1981982 45.8018018] ; [12.8018018 36.1981982],0
a7,1,0.176379,1.827877,[31 36] ; [30 21],[34.63559322 32.36440678] ; [26.36440678 24.63559322],0
a1,1,0.177756,1.816283,[ 5 62] ; [ 1 50],[ 3.40677966 63.59322034] ; [ 2.59322034 48.40677966],0
u2,1,0.192668,1.697098,[14 22] ; [18 15],[16.69565217 19.30434783] ; [15.30434783 17.69565217],0
a6,1,0.253755,1.30251,[35 32] ; [32 19],[38.04237288 28.95762712] ; [28.95762712 22.04237288],0
s3,1,0.25837,1.277471,[28 38] ; [26 23],[30.99130435 35.00869565] ; [23.00869565 25.99130435],0
a3,1,0.267887,1.227534,[30 36] ; [18 33],[27.07692308 38.92307692] ; [20.92307692 30.07692308],0
b2,1,0.300641,1.071348,[13 25] ; [ 5 18],[11.21311475 26.78688525] ; [ 6.78688525 16.21311475],0
b3,1,0.300641,1.071348,[13 25] ; [ 5 18],[11.21311475 26.78688525] ; [ 6.78688525 16.21311475],0
n2,1,0.384822,0.755241,[22  9] ; [5 4],[20.925 10.075] ; [6.075 2.925],0
r4,1,0.386817,0.748925,[45 22] ; [38 13],[47.12711864 19.87288136] ; [35.87288136 15.12711864],0
s5,1,0.387802,0.745822,[14 51] ; [14 35],[15.96491228 49.03508772] ; [12.03508772 36.96491228],0
d4,1,0.430997,0.620135,[32 34] ; [21 30],[29.8974359 36.1025641] ; [23.1025641 27.8974359],0
s1,1,0.435436,0.60828,[ 2 64] ; [ 3 47],[ 2.84482759 63.15517241] ; [ 2.15517241 47.84482759],0
d1,1,0.454218,0.560105,[ 3 64] ; [ 1 50],[ 2.27118644 64.72881356] ; [ 1.72881356 49.27118644],0
n3,1,0.458818,0.548777,[20  9] ; [5 4],[19.07894737  9.92105263] ; [5.92105263 3.07894737],0
s4,1,0.494985,0.465672,[17 50] ; [10 40],[15.46153846 51.53846154] ; [11.53846154 38.46153846],0
b5,1,0.509381,0.435338,[34 33] ; [29 22],[35.77118644 31.22881356] ; [27.22881356 23.77118644],0
r2,1,0.5262,0.401724,[52 15] ; [42  9],[53.37288136 13.62711864] ; [40.62711864 10.37288136],0
p1,1,0.616932,0.250203,[ 6 61] ; [ 6 45],[ 6.81355932 60.18644068] ; [ 5.18644068 45.81355932],0
n4,1,0.67903,0.171219,[39 28] ; [31 19],[40.08547009 26.91452991] ; [29.91452991 20.08547009],0
a8,1,0.733378,0.116032,[ 8 56] ; [ 5 43],[ 7.42857143 56.57142857] ; [ 5.57142857 42.42857143],0
u3,1,0.778634,0.079017,[13 23] ; [13 20],[13.56521739 22.43478261] ; [12.43478261 20.56521739],0
u1,1,0.780648,0.077548,[ 2 65] ; [ 2 49],[ 2.27118644 64.72881356] ; [ 1.72881356 49.27118644],0
r1,1,0.81851,0.052653,[38 29] ; [30 21],[38.61016949 28.38983051] ; [29.38983051 21.61016949],0
a4,1,0.860062,0.03108,[11 56] ; [ 9 42],[11.3559322 55.6440678] ; [ 8.6440678 42.3559322],0
d2,1,0.863321,0.029635,[14 53] ; [10 41],[13.62711864 53.37288136] ; [10.37288136 40.62711864],0
a2,1,0.881915,0.022065,[ 3 64] ; [ 2 49],[ 2.83898305 64.16101695] ; [ 2.16101695 48.83898305],0
b1,1,0.883447,0.021492,[28 39] ; [22 29],[28.38983051 38.61016949] ; [21.61016949 29.38983051],0
b4,1,0.987318,0.000253,[38 29] ; [29 22],[38.04237288 28.95762712] ; [28.95762712 22.04237288],0
