Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.442437,[ 5 27] ; [66 38],[16.70588235 15.29411765] ; [54.29411765 49.70588235],1
r2,1,8.5e-05,15.438062,[14 16] ; [84 18],[22.27272727  7.72727273] ; [75.72727273 26.27272727],1
n6,1,0.000167,14.173913,[14 17] ; [83 21],[22.27407407  8.72592593] ; [74.72592593 29.27407407],1
p2,1,0.000197,13.859386,[11 20] ; [75 29],[19.74814815 11.25185185] ; [66.25185185 37.74814815],1
r3,1,0.000205,13.788822,[17 15] ; [88 16],[24.70588235  7.29411765] ; [80.29411765 23.70588235],1
n2,1,0.001627,9.928705,[4 9] ; [32  9],[8.66666667 4.33333333] ; [27.33333333 13.66666667],0
p8,1,0.004169,8.208917,[ 4 26] ; [43 60],[10.60150376 19.39849624] ; [36.39849624 66.60150376],0
p11,1,0.004893,7.918604,[13 19] ; [71 33],[19.76470588 12.23529412] ; [64.23529412 39.76470588],0
u3,1,0.00632,7.456595,[ 1 16] ; [19 26],[ 5.48387097 11.51612903] ; [14.51612903 30.48387097],0
u2,1,0.009264,6.771292,[ 3 14] ; [25 21],[7.55555556 9.44444444] ; [20.44444444 25.55555556],0
p9,1,0.010779,6.50141,[15 16] ; [73 27],[20.82442748 10.17557252] ; [67.17557252 32.82442748],0
s7,1,0.013544,6.096631,[ 3 27] ; [33 67],[ 8.30769231 21.69230769] ; [27.69230769 72.30769231],0
p7,1,0.016117,5.790015,[ 9 23] ; [53 48],[14.91729323 17.08270677] ; [47.08270677 53.91729323],0
s6,1,0.023351,5.142183,[ 7 25] ; [46 58],[12.47058824 19.52941176] ; [40.52941176 63.47058824],0
p10,1,0.030973,4.654477,[13 18] ; [65 37],[18.18045113 12.81954887] ; [59.81954887 42.18045113],0
b4,1,0.037201,4.341194,[23  9] ; [53 51],[17.88235294 14.11764706] ; [58.11764706 45.88235294],0
s8,1,0.038522,4.281839,[ 3 29] ; [28 76],[ 7.29411765 24.70588235] ; [23.70588235 80.29411765],0
n3,1,0.071772,3.242026,[6 7] ; [30 11],[8.66666667 4.33333333] ; [27.33333333 13.66666667],0
s2,1,0.089371,2.885668,[ 6 26] ; [36 68],[ 9.88235294 22.11764706] ; [32.11764706 71.88235294],0
p6,1,0.114926,2.485148,[ 5 25] ; [32 70],[ 8.40909091 21.59090909] ; [28.59090909 73.40909091],0
n5,1,0.197262,1.662529,[23  9] ; [61 42],[19.91111111 12.08888889] ; [64.08888889 38.91111111],0
a8,1,0.207684,1.587498,[ 5 27] ; [ 8 92],[ 3.15151515 28.84848485] ; [ 9.84848485 90.15151515],0
b1,1,0.246144,1.345055,[16 16] ; [40 64],[13.17647059 18.82352941] ; [42.82352941 61.17647059],0
d2,1,0.25119,1.316671,[15 16] ; [38 65],[12.26119403 18.73880597] ; [40.73880597 62.26119403],0
a7,1,0.251432,1.315331,[14 18] ; [57 46],[16.82962963 15.17037037] ; [54.17037037 48.82962963],0
d1,1,0.252364,1.310169,[14 18] ; [34 70],[11.29411765 20.70588235] ; [36.70588235 67.29411765],0
p1,1,0.256456,1.287786,[ 5 27] ; [ 9 95],[ 3.29411765 28.70588235] ; [10.70588235 93.29411765],0
p4,1,0.288147,1.12826,[10 22] ; [43 60],[12.56296296 19.43703704] ; [40.43703704 62.56296296],0
n1,1,0.312612,1.019608,[6 7] ; [12 27],[4.5 8.5] ; [13.5 25.5],0
s4,1,0.315503,1.007499,[ 5 27] ; [25 79],[ 7.05882353 24.94117647] ; [22.94117647 81.05882353],0
a6,1,0.33617,0.924981,[16 16] ; [62 42],[18.35294118 13.64705882] ; [59.64705882 44.35294118],0
n4,1,0.37133,0.79921,[21 11] ; [59 45],[18.82352941 13.17647059] ; [61.17647059 42.82352941],0
p12,1,0.376341,0.782619,[ 2 30] ; [  3 101],[ 1.17647059 30.82352941] ; [  3.82352941 100.17647059],0
a3,1,0.377591,0.77853,[15 17] ; [58 46],[17.17647059 14.82352941] ; [55.82352941 48.17647059],0
s1,1,0.382559,0.762463,[ 2 30] ; [  3 100],[ 1.18518519 30.81481481] ; [ 3.81481481 99.18518519],0
a2,1,0.3893,0.741128,[ 2 30] ; [12 92],[ 3.29411765 28.70588235] ; [10.70588235 93.29411765],0
s5,1,0.4233,0.641135,[ 4 27] ; [19 80],[ 5.48461538 25.51538462] ; [17.51538462 81.48461538],0
d5,1,0.425014,0.636409,[18 14] ; [66 37],[19.91111111 12.08888889] ; [64.08888889 38.91111111],0
b5,1,0.453848,0.561023,[17 15] ; [63 41],[18.82352941 13.17647059] ; [61.17647059 42.82352941],0
a4,1,0.467306,0.528339,[ 8 23] ; [34 70],[ 9.64444444 21.35555556] ; [32.35555556 71.64444444],0
p3,1,0.46811,0.526434,[ 8 24] ; [33 71],[ 9.64705882 22.35294118] ; [31.35294118 72.64705882],0
v3,1,0.472985,0.514993,[ 4 27] ; [19 84],[ 5.32089552 25.67910448] ; [17.67910448 85.32089552],0
b3,1,0.521054,0.411807,[ 9 12] ; [21 39],[ 7.77777778 13.22222222] ; [22.22222222 37.77777778],0
b2,1,0.521054,0.411807,[ 9 12] ; [21 39],[ 7.77777778 13.22222222] ; [22.22222222 37.77777778],0
u1,1,0.562551,0.335306,[ 2 30] ; [  4 100],[ 1.41176471 30.58823529] ; [ 4.58823529 99.41176471],0
d3,1,0.615623,0.252068,[15 17] ; [53 49],[16.23880597 15.76119403] ; [51.76119403 50.23880597],0
p5,1,0.717114,0.131275,[ 2 29] ; [ 5 99],[ 1.60740741 29.39259259] ; [ 5.39259259 98.60740741],0
s3,1,0.728766,0.120248,[12 19] ; [36 66],[11.18796992 19.81203008] ; [36.81203008 65.18796992],0
a5,1,0.757164,0.095609,[15 17] ; [52 52],[15.76470588 16.23529412] ; [51.23529412 52.76470588],0
v2,1,0.892003,0.018434,[ 7 24] ; [24 77],[ 7.28030303 23.71969697] ; [23.71969697 77.28030303],0
a1,1,0.899912,0.015819,[ 3 29] ; [ 9 95],[ 2.82352941 29.17647059] ; [ 9.17647059 94.82352941],0
d4,1,0.922029,0.00958,[20 12] ; [64 40],[19.76470588 12.23529412] ; [64.23529412 39.76470588],0
