Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.5e-05,16.268261,[125  32] ; [11 15],[116.67759563  40.32240437] ; [19.32240437  6.67759563],1
b1,1,0.000604,11.764809,[ 46 112] ; [17 10],[ 53.80540541 104.19459459] ; [ 9.19459459 17.80540541],1
p10,1,0.002685,9.009797,[133  22] ; [16 10],[127.59668508  27.40331492] ; [21.40331492  4.59668508],0
r4,1,0.009786,6.673451,[144  14] ; [20  7],[140.06486486  17.93513514] ; [23.93513514  3.06486486],0
n4,1,0.010866,6.48718,[124  34] ; [15 12],[118.71351351  39.28648649] ; [20.28648649  6.71351351],0
d4,1,0.012544,6.23234,[132  26] ; [17 10],[127.25405405  30.74594595] ; [21.74594595  5.25405405],0
r2,1,0.019245,5.479099,[144  12] ; [21  6],[140.6557377  15.3442623] ; [24.3442623  2.6557377],0
d2,1,0.029734,4.724584,[64 94] ; [17 10],[69.17837838 88.82162162] ; [11.82162162 15.17837838],0
p11,1,0.069324,3.298951,[120  38] ; [16 11],[116.15135135  41.84864865] ; [19.84864865  7.15135135],0
r3,1,0.086689,2.934798,[149   9] ; [23  4],[146.8972973  11.1027027] ; [25.1027027  1.8972973],0
s5,1,0.087311,2.923263,[59 98] ; [ 5 20],[ 55.20879121 101.79120879] ; [ 8.79120879 16.20879121],0
p9,1,0.094977,2.787922,[135  22] ; [19  7],[132.12021858  24.87978142] ; [21.87978142  4.12021858],0
p3,1,0.113865,2.49974,[84 73] ; [10 17],[80.20652174 76.79347826] ; [13.79347826 13.20652174],0
b4,1,0.144021,2.13446,[94 64] ; [12 15],[90.52972973 67.47027027] ; [15.47027027 11.52972973],0
v3,1,0.156692,2.005865,[60 95] ; [ 6 19],[56.83333333 98.16666667] ; [ 9.16666667 15.83333333],0
u2,1,0.178597,1.809261,[31 23] ; [8 2],[32.90625 21.09375] ; [6.09375 3.90625],0
p6,1,0.17975,1.799694,[64 93] ; [ 7 19],[60.91256831 96.08743169] ; [10.08743169 15.91256831],0
a8,1,0.19741,1.661429,[ 16 125] ; [ 5 19],[ 17.94545455 123.05454545] ; [ 3.05454545 20.94545455],0
a2,1,0.205881,1.600154,[ 30 128] ; [ 8 19],[ 32.45405405 125.54594595] ; [ 5.54594595 21.45405405],0
s2,1,0.255471,1.293137,[ 39 118] ; [ 4 23],[ 36.69021739 120.30978261] ; [ 6.30978261 20.69021739],0
v4,1,0.291068,1.114673,[149   9] ; [24  3],[147.75135135  10.24864865] ; [25.24864865  1.75135135],0
u3,1,0.339976,0.910523,[29 25] ; [7 3],[30.375 23.625] ; [5.625 4.375],0
u1,1,0.357766,0.84572,[ 29 129] ; [ 3 24],[ 27.32972973 130.67027027] ; [ 4.67027027 22.32972973],0
n1,1,0.414399,0.666144,[13 26] ; [2 8],[11.93877551 27.06122449] ; [3.06122449 6.93877551],0
p5,1,0.418082,0.655702,[ 21 136] ; [ 2 24],[ 19.73224044 137.26775956] ; [ 3.26775956 22.73224044],0
s8,1,0.419721,0.651097,[ 57 100] ; [12 15],[58.875 98.125] ; [10.125 16.875],0
r1,1,0.440109,0.595998,[122  36] ; [19  8],[120.42162162  37.57837838] ; [20.57837838  6.42162162],0
s4,1,0.450728,0.56882,[ 26 128] ; [ 3 24],[ 24.67403315 129.32596685] ; [ 4.32596685 22.67403315],0
d5,1,0.464088,0.536018,[132  26] ; [21  6],[130.67027027  27.32972973] ; [22.32972973  4.67027027],0
s7,1,0.521961,0.410016,[59 89] ; [ 9 18],[57.50857143 90.49142857] ; [10.49142857 16.50857143],0
s1,1,0.559064,0.341328,[  3 153] ; [ 1 26],[  3.40983607 152.59016393] ; [ 0.59016393 26.40983607],0
b3,1,0.591162,0.288534,[34 60] ; [ 5 12],[33.02702703 60.97297297] ; [ 5.97297297 11.02702703],0
b2,1,0.591162,0.288534,[34 60] ; [ 5 12],[33.02702703 60.97297297] ; [ 5.97297297 11.02702703],0
d3,1,0.608285,0.26268,[113  45] ; [18  9],[111.88108108  46.11891892] ; [19.11891892  7.88108108],0
a5,1,0.665289,0.187162,[123  35] ; [20  7],[122.12972973  35.87027027] ; [20.87027027  6.12972973],0
a4,1,0.715219,0.13312,[64 93] ; [10 17],[63.14130435 93.85869565] ; [10.85869565 16.14130435],0
n3,1,0.726686,0.122177,[25 14] ; [7 3],[25.46938776 13.53061224] ; [6.53061224 3.46938776],0
p7,1,0.736831,0.112932,[96 59] ; [17  9],[96.7679558 58.2320442] ; [16.2320442  9.7679558],0
p2,1,0.766853,0.087908,[124  33] ; [22  5],[124.57608696  32.42391304] ; [21.42391304  5.57608696],0
