Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,28.524172,[ 7 52] ; [44 34],[21.96350365 37.03649635] ; [29.03649635 48.96350365],1
a3,1,3.4e-05,17.195475,[24 35] ; [59 19],[35.74452555 23.25547445] ; [47.25547445 30.74452555],1
a6,1,7.2e-05,15.75154,[22 38] ; [55 23],[33.47826087 26.52173913] ; [43.52173913 34.47826087],1
d2,1,0.00066,11.599624,[15 45] ; [41 35],[24.70588235 35.29411765] ; [31.29411765 44.70588235],1
d1,1,0.001037,10.759851,[16 44] ; [43 36],[25.4676259 34.5323741] ; [33.5323741 45.4676259],0
d5,1,0.002481,9.154613,[27 33] ; [55 23],[35.65217391 24.34782609] ; [46.34782609 31.65217391],0
a7,1,0.008132,7.004141,[29 31] ; [55 23],[36.52173913 23.47826087] ; [47.47826087 30.52173913],0
p4,1,0.040168,4.210788,[ 9 49] ; [24 54],[14.07352941 43.92647059] ; [18.92647059 59.07352941],0
d3,1,0.04373,4.066962,[25 35] ; [46 32],[30.86956522 29.13043478] ; [40.13043478 37.86956522],0
s5,1,0.046171,3.97535,[ 5 53] ; [16 59],[ 9.15789474 48.84210526] ; [11.84210526 63.15789474],0
d4,1,0.049221,3.867794,[36 24] ; [59 19],[41.30434783 18.69565217] ; [53.69565217 24.30434783],0
p3,1,0.068868,3.309791,[11 49] ; [25 53],[15.65217391 44.34782609] ; [20.34782609 57.65217391],0
v2,1,0.093828,2.807445,[18 38] ; [35 40],[22.65648855 33.34351145] ; [30.34351145 44.65648855],0
p5,1,0.109794,2.557185,[ 1 59] ; [ 6 72],[ 3.04347826 56.95652174] ; [ 3.95652174 74.04347826],0
a8,1,0.19002,1.717459,[ 3 54] ; [ 9 67],[ 5.14285714 51.85714286] ; [ 6.85714286 69.14285714],0
b2,1,0.201074,1.634553,[10 22] ; [21 25],[12.71794872 19.28205128] ; [18.28205128 27.71794872],0
b3,1,0.201074,1.634553,[10 22] ; [21 25],[12.71794872 19.28205128] ; [18.28205128 27.71794872],0
p8,1,0.235913,1.404849,[11 49] ; [21 57],[13.91304348 46.08695652] ; [18.08695652 59.91304348],0
