Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.3311,[22 26] ; [91 19],[34.32911392 13.67088608] ; [78.67088608 31.32911392],1
v4,1,9e-06,19.619023,[32 21] ; [98 11],[42.5308642 10.4691358] ; [87.4691358 21.5308642],1
p11,1,2.2e-05,17.980151,[22 31] ; [83 27],[34.14110429 18.85889571] ; [70.85889571 39.14110429],1
p4,1,0.000493,12.141967,[14 39] ; [61 49],[24.38650307 28.61349693] ; [50.61349693 59.38650307],1
p10,1,0.000912,10.999046,[23 28] ; [78 30],[32.39622642 18.60377358] ; [68.60377358 39.39622642],1
r3,1,0.005951,7.564971,[34 19] ; [91 18],[40.89506173 12.10493827] ; [84.10493827 24.89506173],0
d2,1,0.006793,7.326796,[25 26] ; [30 80],[17.42236025 33.57763975] ; [37.57763975 72.42236025],0
p8,1,0.013586,6.091167,[12 40] ; [47 62],[19.05590062 32.94409938] ; [39.94409938 69.05590062],0
a7,1,0.016602,5.737972,[22 31] ; [67 42],[29.11728395 23.88271605] ; [59.88271605 49.11728395],0
n3,1,0.016798,5.717377,[11 13] ; [26  8],[15.31034483  8.68965517] ; [21.68965517 12.31034483],0
s6,1,0.016868,5.71001,[16 37] ; [55 55],[23.08588957 29.91411043] ; [47.91411043 62.08588957],0
p7,1,0.021246,5.306503,[18 35] ; [57 50],[24.84375 28.15625] ; [50.15625 56.84375],0
p6,1,0.02427,5.075253,[ 7 44] ; [33 76],[12.75 38.25] ; [27.25 81.75],0
s1,1,0.024438,5.063272,[ 6 47] ; [  3 107],[ 2.92638037 50.07361963] ; [  6.07361963 103.92638037],0
s7,1,0.030894,4.658825,[ 9 41] ; [36 67],[14.70588235 35.29411765] ; [30.29411765 72.70588235],0
n6,1,0.039286,4.248438,[31 21] ; [83 27],[36.59259259 15.40740741] ; [77.40740741 32.59259259],0
p1,1,0.047291,3.93499,[ 7 46] ; [  5 105],[ 3.90184049 49.09815951] ; [  8.09815951 101.90184049],0
d1,1,0.053214,3.737197,[23 30] ; [31 79],[17.55828221 35.44171779] ; [36.44171779 73.55828221],0
p3,1,0.066827,3.359284,[14 38] ; [46 64],[19.25925926 32.74074074] ; [40.74074074 69.25925926],0
s2,1,0.07556,3.157897,[15 38] ; [47 63],[20.1595092 32.8404908] ; [41.8404908 68.1595092],0
r2,1,0.085258,2.961712,[32 18] ; [81 24],[36.4516129 13.5483871] ; [76.5483871 28.4516129],0
r4,1,0.093645,2.810574,[21 32] ; [59 51],[26.01226994 26.98773006] ; [53.98773006 56.01226994],0
u2,1,0.115082,2.483012,[ 8 17] ; [28 27],[11.25 13.75] ; [24.75 30.25],0
a5,1,0.116836,2.459231,[32 21] ; [52 58],[27.31288344 25.68711656] ; [56.68711656 53.31288344],0
b2,1,0.137255,2.208471,[14 22] ; [15 46],[10.7628866 25.2371134] ; [18.2371134 42.7628866],0
b3,1,0.137255,2.208471,[14 22] ; [15 46],[10.7628866 25.2371134] ; [18.2371134 42.7628866],0
s5,1,0.159009,1.983628,[ 8 43] ; [27 78],[11.44230769 39.55769231] ; [23.55769231 81.44230769],0
a1,1,0.179141,1.804733,[ 6 47] ; [  6 104],[ 3.90184049 49.09815951] ; [  8.09815951 101.90184049],0
s8,1,0.184479,1.761165,[ 9 44] ; [29 81],[12.35582822 40.64417178] ; [25.64417178 84.35582822],0
b1,1,0.185913,1.749715,[28 25] ; [46 64],[24.06134969 28.93865031] ; [49.93865031 60.06134969],0
p5,1,0.187841,1.73447,[ 2 49] ; [11 99],[ 4.11801242 46.88198758] ; [  8.88198758 101.11801242],0
s3,1,0.213316,1.548776,[18 34] ; [49 60],[21.63975155 30.36024845] ; [45.36024845 63.63975155],0
d3,1,0.217221,1.522639,[22 31] ; [56 52],[25.67701863 27.32298137] ; [52.32298137 55.67701863],0
u1,1,0.223105,1.484285,[ 5 48] ; [  5 105],[ 3.25153374 49.74846626] ; [  6.74846626 103.25153374],0
v1,1,0.224038,1.478318,[12 39] ; [35 71],[15.26751592 35.73248408] ; [31.73248408 74.26751592],0
n2,1,0.249643,1.325302,[15  9] ; [26  8],[16.96551724  7.03448276] ; [24.03448276  9.96551724],0
s4,1,0.275472,1.189296,[ 9 44] ; [27 83],[11.70552147 41.29447853] ; [24.29447853 85.70552147],0
a4,1,0.404287,0.695537,[17 35] ; [29 81],[14.7654321 37.2345679] ; [31.2345679 78.7654321],0
