Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,34.473269,[50 14] ; [ 7 31],[35.76470588 28.23529412] ; [21.23529412 16.76470588],1
a7,1,0.011016,6.462746,[25 38] ; [25 13],[31.18811881 31.81188119] ; [18.81188119 19.18811881],0
r3,1,0.015566,5.851217,[27 35] ; [26 12],[32.86 29.14] ; [20.14 17.86],0
d4,1,0.033949,4.497257,[33 30] ; [28 10],[38.04950495 24.95049505] ; [22.95049505 15.04950495],0
n1,1,0.05656,3.635488,[15 20] ; [ 3 15],[11.88679245 23.11320755] ; [ 6.11320755 11.88679245],0
n6,1,0.060675,3.518841,[37 26] ; [15 23],[32.43564356 30.56435644] ; [19.56435644 18.43564356],0
n2,1,0.06203,3.482248,[23 12] ; [ 7 11],[19.81132075 15.18867925] ; [10.18867925  7.81132075],0
a1,1,0.116325,2.466118,[10 54] ; [ 2 36],[ 7.52941176 56.47058824] ; [ 4.47058824 33.52941176],0
s7,1,0.142842,2.147075,[20 40] ; [ 7 29],[16.875 43.125] ; [10.125 25.875],0
u2,1,0.167975,1.900927,[ 9 17] ; [10  8],[11.22727273 14.77272727] ; [ 7.77272727 10.22727273],0
d3,1,0.171991,1.8655,[26 37] ; [21 17],[29.31683168 33.68316832] ; [17.68316832 20.31683168],0
s8,1,0.199767,1.644079,[13 51] ; [ 4 34],[10.66666667 53.33333333] ; [ 6.33333333 31.66666667],0
p1,1,0.203345,1.618184,[ 6 58] ; [ 1 36],[ 4.43564356 59.56435644] ; [ 2.56435644 34.43564356],0
p8,1,0.220381,1.501889,[12 51] ; [11 26],[14.49 48.51] ; [ 8.51 28.49],0
p6,1,0.234654,1.412426,[10 52] ; [ 3 35],[ 8.06 53.94] ; [ 4.94 33.06],0
b5,1,0.236957,1.398609,[31 33] ; [23 15],[33.88235294 30.11764706] ; [20.11764706 17.88235294],0
d2,1,0.279821,1.167961,[28 34] ; [13 25],[25.42 36.58] ; [15.58 22.42],0
p7,1,0.281309,1.160755,[16 46] ; [13 23],[18.34693878 43.65306122] ; [10.65306122 25.34693878],0
a5,1,0.302464,1.0633,[32 32] ; [15 23],[29.49019608 34.50980392] ; [17.50980392 20.49019608],0
s5,1,0.303037,1.060782,[ 7 56] ; [ 7 31],[ 8.73267327 54.26732673] ; [ 5.26732673 32.73267327],0
v2,1,0.348713,0.878136,[20 42] ; [15 21],[22.14285714 39.85714286] ; [12.85714286 23.14285714],0
n3,1,0.375144,0.786555,[16 19] ; [10  7],[17.5 17.5] ; [8.5 8.5],0
s3,1,0.375399,0.785714,[19 44] ; [14 22],[21. 42.] ; [12. 24.],0
b4,1,0.424986,0.636485,[37 27] ; [25 13],[38.90196078 25.09803922] ; [23.09803922 14.90196078],0
p2,1,0.465599,0.532401,[31 32] ; [21 16],[32.76 30.24] ; [19.24 17.76],0
v3,1,0.491723,0.472753,[14 50] ; [ 6 31],[12.67326733 51.32673267] ; [ 7.32673267 29.67326733],0
r1,1,0.518243,0.417388,[18 46] ; [13 25],[19.45098039 44.54901961] ; [11.54901961 26.45098039],0
a4,1,0.535228,0.384456,[22 41] ; [11 27],[20.58415842 42.41584158] ; [12.41584158 25.58415842],0
a3,1,0.540079,0.375393,[38 25] ; [20 17],[36.54 26.46] ; [21.46 15.54],0
u1,1,0.622452,0.242437,[ 5 59] ; [ 2 36],[ 4.39215686 59.60784314] ; [ 2.60784314 35.39215686],0
s6,1,0.63409,0.226555,[19 45] ; [13 25],[20.07843137 43.92156863] ; [11.92156863 26.07843137],0
u3,1,0.646796,0.209964,[ 7 19] ; [ 6 12],[ 7.68181818 18.31818182] ; [ 5.31818182 12.68181818],0
p9,1,0.653832,0.201103,[32 28] ; [18 19],[30.92783505 29.07216495] ; [19.07216495 17.92783505],0
d5,1,0.672401,0.178806,[36 28] ; [23 15],[37.01960784 26.98039216] ; [21.98039216 16.01960784],0
r2,1,0.700814,0.147627,[35 25] ; [19 16],[34.10526316 25.89473684] ; [19.89473684 15.10526316],0
p12,1,0.715166,0.133172,[ 1 62] ; [ 1 37],[ 1.24752475 61.75247525] ; [ 0.75247525 37.24752475],0
b2,1,0.747456,0.103681,[15 25] ; [ 7 14],[14.42622951 25.57377049] ; [ 7.57377049 13.42622951],0
b3,1,0.747456,0.103681,[15 25] ; [ 7 14],[14.42622951 25.57377049] ; [ 7.57377049 13.42622951],0
p11,1,0.760047,0.093281,[30 34] ; [19 19],[30.74509804 33.25490196] ; [18.25490196 19.74509804],0
a2,1,0.764847,0.089474,[ 8 56] ; [ 4 34],[ 7.52941176 56.47058824] ; [ 4.47058824 33.52941176],0
d1,1,0.800976,0.063547,[22 42] ; [14 24],[22.58823529 41.41176471] ; [13.41176471 24.58823529],0
a6,1,0.834093,0.043872,[30 34] ; [17 21],[29.49019608 34.50980392] ; [17.50980392 20.49019608],0
s1,1,0.837733,0.041941,[ 4 60] ; [ 2 36],[ 3.76470588 60.23529412] ; [ 2.23529412 35.76470588],0
v4,1,0.846542,0.037455,[38 25] ; [21 15],[37.54545455 25.45454545] ; [21.45454545 14.54545455],0
b1,1,0.878697,0.023293,[31 33] ; [19 19],[31.37254902 32.62745098] ; [18.62745098 19.37254902],0
p10,1,0.896482,0.016928,[31 31] ; [18 19],[30.68686869 31.31313131] ; [18.31313131 18.68686869],0
a8,1,0.920586,0.009939,[ 3 56] ; [ 2 34],[ 3.10526316 55.89473684] ; [ 1.89473684 34.10526316],0
s4,1,0.982381,0.000488,[10 54] ; [ 6 32],[10.03921569 53.96078431] ; [ 5.96078431 32.03921569],0
s2,1,0.988563,0.000205,[15 48] ; [ 9 29],[14.97029703 48.02970297] ; [ 9.02970297 28.97029703],0
p4,1,0.988563,0.000205,[15 48] ; [ 9 29],[14.97029703 48.02970297] ; [ 9.02970297 28.97029703],0
v1,1,0.992286,9.3e-05,[17 44] ; [10 26],[16.97938144 44.02061856] ; [10.02061856 25.97938144],0
