Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000382,12.62031,[16 13] ; [22 81],[ 8.34848485 20.65151515] ; [29.65151515 73.34848485],1
s2,1,0.000525,12.024747,[18 12] ; [28 79],[10.0729927 19.9270073] ; [35.9270073 71.0729927],1
s5,1,0.002778,8.947907,[11 17] ; [15 91],[ 5.43283582 22.56716418] ; [20.56716418 85.43283582],0
s6,1,0.003372,8.594583,[19 11] ; [36 71],[12.04379562 17.95620438] ; [42.95620438 64.04379562],0
u3,1,0.016053,5.797052,[10  7] ; [13 36],[ 5.92424242 11.07575758] ; [17.07575758 31.92424242],0
p2,1,0.034841,4.452958,[25  5] ; [66 39],[20.22222222  9.77777778] ; [70.77777778 34.22222222],0
n4,1,0.042946,4.097529,[12 18] ; [65 42],[16.86131387 13.13868613] ; [60.13868613 46.86131387],0
s8,1,0.064932,3.406699,[10 20] ; [19 88],[ 6.35036496 23.64963504] ; [22.64963504 84.35036496],0
d3,1,0.067601,3.340335,[17 12] ; [42 64],[12.67407407 16.32592593] ; [46.32592593 59.67407407],0
s3,1,0.171934,1.866002,[15 15] ; [38 67],[11.77777778 18.22222222] ; [41.22222222 63.77777778],0
u2,1,0.177562,1.817912,[10  7] ; [20 30],[7.6119403 9.3880597] ; [22.3880597 27.6119403],0
v4,1,0.191707,1.704452,[26  4] ; [80 26],[23.38235294  6.61764706] ; [82.61764706 23.38235294],0
d1,1,0.21641,1.528019,[11 19] ; [27 80],[ 8.32116788 21.67883212] ; [29.67883212 77.32116788],0
n2,1,0.219851,1.505341,[13  4] ; [17 12],[11.08695652  5.91304348] ; [18.91304348 10.08695652],0
d4,1,0.232394,1.426151,[21  9] ; [62 45],[18.17518248 11.82481752] ; [64.82481752 42.17518248],0
p5,1,0.269468,1.219452,[ 1 29] ; [10 94],[ 2.46268657 27.53731343] ; [ 8.53731343 95.46268657],0
a1,1,0.284176,1.147009,[ 1 29] ; [10 97],[ 2.40875912 27.59124088] ; [ 8.59124088 98.40875912],0
a3,1,0.312438,1.020343,[13 17] ; [57 49],[15.44117647 14.55882353] ; [54.55882353 51.44117647],0
a6,1,0.314503,1.01167,[14 16] ; [61 46],[16.42335766 13.57664234] ; [58.57664234 48.42335766],0
s1,1,0.318695,0.994294,[ 2 28] ; [  3 104],[ 1.09489051 28.90510949] ; [  3.90510949 103.09489051],0
b2,1,0.328175,0.956084,[ 6 16] ; [23 36],[ 7.87654321 14.12345679] ; [21.12345679 37.87654321],0
b3,1,0.328175,0.956084,[ 6 16] ; [23 36],[ 7.87654321 14.12345679] ; [21.12345679 37.87654321],0
b1,1,0.341657,0.904203,[10 20] ; [46 61],[12.26277372 17.73722628] ; [43.73722628 63.26277372],0
a2,1,0.344701,0.892868,[ 1 29] ; [ 9 98],[ 2.18978102 27.81021898] ; [ 7.81021898 99.18978102],0
