Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,135.057837,[315   9] ; [14 21],[296.92479109  27.07520891] ; [32.07520891  2.92479109],1
p11,1,0.0,39.650913,[289  35] ; [18 18],[276.3  47.7] ; [30.7  5.3],1
p2,1,0.000296,13.098399,[291  32] ; [25 11],[284.31197772  38.68802228] ; [31.68802228  4.31197772],1
a6,1,0.001068,10.70531,[237  86] ; [17 19],[228.52924791  94.47075209] ; [25.47075209 10.52924791],0
v3,1,0.001109,10.636762,[163 151] ; [ 8 27],[153.85100287 160.14899713] ; [17.14899713 17.85100287],0
v1,1,0.002654,9.031128,[211 104] ; [15 21],[202.82051282 112.17948718] ; [23.17948718 12.82051282],0
s1,1,0.00321,8.684044,[  7 315] ; [ 4 32],[  9.89385475 312.10614525] ; [ 1.10614525 34.89385475],0
a5,1,0.006951,7.285577,[261  63] ; [22 14],[254.7  69.3] ; [28.3  7.7],0
d4,1,0.007186,7.225967,[273  50] ; [24 12],[267.21727019  55.78272981] ; [29.78272981  6.21727019],0
p7,1,0.019146,5.488127,[252  69] ; [22 14],[246.3697479  74.6302521] ; [27.6302521  8.3697479],0
d1,1,0.025424,4.994798,[214 110] ; [17 19],[207.9 116.1] ; [23.1 12.9],0
p8,1,0.026205,4.942449,[225  97] ; [18 17],[219.17647059 102.82352941] ; [23.82352941 11.17647059],0
s5,1,0.026798,4.903801,[134 176] ; [ 8 26],[127.96511628 182.03488372] ; [14.03488372 19.96511628],0
v2,1,0.026933,4.895105,[204 111] ; [16 19],[198. 117.] ; [22. 13.],0
r3,1,0.029321,4.74864,[310  11] ; [32  4],[307.51260504  13.48739496] ; [34.48739496  1.51260504],0
n4,1,0.035809,4.406196,[302  22] ; [30  6],[298.8  25.2] ; [33.2  2.8],0
s7,1,0.042822,4.102431,[188 115] ; [15 19],[182.51928783 120.48071217] ; [20.48071217 13.51928783],0
p4,1,0.044743,4.028317,[276  48] ; [26 10],[271.8  52.2] ; [30.2  5.8],0
a3,1,0.046789,3.952946,[253  69] ; [23 13],[248.24581006  73.75418994] ; [27.75418994  8.24581006],0
b5,1,0.047104,3.941679,[178 146] ; [26 10],[183.6 140.4] ; [20.4 15.6],0
b1,1,0.051008,3.808025,[134 190] ; [21 15],[139.5 184.5] ; [15.5 20.5],0
a4,1,0.075944,3.14963,[167 156] ; [13 23],[161.94986072 161.05013928] ; [18.05013928 17.94986072],0
r4,1,0.084035,2.985075,[304  20] ; [31  5],[301.5  22.5] ; [33.5  2.5],0
a2,1,0.108878,2.570435,[ 95 229] ; [ 6 30],[ 90.9 233.1] ; [10.1 25.9],0
n6,1,0.111747,2.529341,[308  16] ; [31  4],[305.94986072  18.05013928] ; [33.05013928  1.94986072],0
u2,1,0.116428,2.464728,[41 30] ; [4 8],[38.4939759 32.5060241] ; [6.5060241 5.4939759],0
n1,1,0.145452,2.119309,[18 24] ; [8 4],[20.22222222 21.77777778] ; [5.77777778 6.22222222],0
d5,1,0.164326,1.933961,[279  44] ; [28  8],[276.21448468  46.78551532] ; [30.78551532  5.21448468],0
