Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.211249,[37  2] ; [1 5],[32.93333333  6.06666667] ; [5.06666667 0.93333333],1
r4,1,0.00011,14.958791,[34  5] ; [1 5],[30.33333333  8.66666667] ; [4.66666667 1.33333333],1
r1,1,0.002143,9.423077,[34  5] ; [2 4],[31.2  7.8] ; [4.8 1.2],0
a1,1,0.004911,7.912088,[ 1 38] ; [2 4],[ 2.6 36.4] ; [0.4 5.6],0
s1,1,0.005559,7.687919,[ 1 37] ; [2 4],[ 2.59090909 35.40909091] ; [0.40909091 5.59090909],0
p10,1,0.011743,6.349297,[26 11] ; [1 5],[23.23255814 13.76744186] ; [3.76744186 2.23255814],0
v2,1,0.036184,4.388404,[28  9] ; [2 4],[25.81395349 11.18604651] ; [4.18604651 1.81395349],0
p11,1,0.039473,4.240385,[24 15] ; [1 5],[21.66666667 17.33333333] ; [3.33333333 2.66666667],0
p1,1,0.062812,3.461538,[ 3 36] ; [2 4],[ 4.33333333 34.66666667] ; [0.66666667 5.33333333],0
a2,1,0.062812,3.461538,[ 3 36] ; [2 4],[ 4.33333333 34.66666667] ; [0.66666667 5.33333333],0
d4,1,0.11767,2.448067,[31  8] ; [3 3],[29.46666667  9.53333333] ; [4.53333333 1.46666667],0
p4,1,0.143385,2.14125,[18 19] ; [1 5],[16.34883721 20.65116279] ; [2.65116279 3.34883721],0
d5,1,0.165038,1.927448,[30  9] ; [3 3],[28.6 10.4] ; [4.4 1.6],0
a7,1,0.283023,1.152517,[28 11] ; [3 3],[26.86666667 12.13333333] ; [4.13333333 1.86666667],0
p9,1,0.303524,1.058647,[27 11] ; [3 3],[25.90909091 12.09090909] ; [4.09090909 1.90909091],0
u2,1,0.347465,0.882692,[12  3] ; [1 1],[11.47058824  3.52941176] ; [1.52941176 0.47058824],0
b5,1,0.349397,0.875646,[21 18] ; [2 4],[19.93333333 19.06666667] ; [3.06666667 2.93333333],0
b1,1,0.412906,0.670417,[19 20] ; [4 2],[19.93333333 19.06666667] ; [3.06666667 2.93333333],0
d3,1,0.427213,0.630388,[26 13] ; [3 3],[25.13333333 13.86666667] ; [3.86666667 2.13333333],0
d2,1,0.427213,0.630388,[13 26] ; [3 3],[13.86666667 25.13333333] ; [2.13333333 3.86666667],0
s3,1,0.44751,0.57695,[19 19] ; [2 4],[18.13636364 19.86363636] ; [2.86363636 3.13636364],0
s6,1,0.481924,0.494505,[19 20] ; [2 4],[18.2 20.8] ; [2.8 3.2],0
a5,1,0.481924,0.494505,[31  8] ; [4 2],[30.33333333  8.66666667] ; [4.66666667 1.33333333],0
d1,1,0.481924,0.494505,[19 20] ; [2 4],[18.2 20.8] ; [2.8 3.2],0
p8,1,0.485376,0.486761,[18 19] ; [2 4],[17.20930233 19.79069767] ; [2.79069767 3.20930233],0
a6,1,0.50714,0.439964,[25 14] ; [3 3],[24.26666667 14.73333333] ; [3.73333333 2.26666667],0
a4,1,0.50714,0.439964,[14 25] ; [3 3],[14.73333333 24.26666667] ; [2.26666667 3.73333333],0
s7,1,0.548262,0.36044,[12 24] ; [1 4],[11.41463415 24.58536585] ; [1.58536585 3.41463415],0
v1,1,0.556298,0.346154,[21 18] ; [4 2],[21.66666667 17.33333333] ; [3.33333333 2.66666667],0
s2,1,0.635836,0.224229,[17 22] ; [2 4],[16.46666667 22.53333333] ; [2.53333333 3.46666667],0
n5,1,0.635836,0.224229,[17 22] ; [2 4],[16.46666667 22.53333333] ; [2.53333333 3.46666667],0
r2,1,0.641838,0.216346,[35  4] ; [5 1],[34.66666667  4.33333333] ; [5.33333333 0.66666667],0
n4,1,0.678627,0.171675,[23 16] ; [3 3],[22.53333333 16.46666667] ; [3.46666667 2.53333333],0
p3,1,0.737671,0.112185,[15 22] ; [2 4],[14.62790698 22.37209302] ; [2.37209302 3.62790698],0
s4,1,0.796401,0.066568,[ 5 34] ; [1 5],[ 5.2 33.8] ; [0.8 5.2],0
a3,1,0.809401,0.058177,[24 15] ; [4 2],[24.26666667 14.73333333] ; [3.73333333 2.26666667],0
b4,1,0.902781,0.01492,[25 14] ; [4 2],[25.13333333 13.86666667] ; [3.86666667 2.13333333],0
b2,1,0.906855,0.01369,[ 6 14] ; [1 2],[ 6.08695652 13.91304348] ; [0.91304348 2.08695652],0
b3,1,0.906855,0.01369,[ 6 14] ; [1 2],[ 6.08695652 13.91304348] ; [0.91304348 2.08695652],0
