Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,75.249205,[45 83] ; [226  60],[83.78743961 44.21256039] ; [187.21256039  98.78743961],1
d3,1,0.0,48.656268,[62 66] ; [235  52],[91.60481928 36.39518072] ; [205.39518072  81.60481928],1
a2,1,1e-06,25.018625,[ 15 113] ; [103 186],[36.2206235 91.7793765] ; [ 81.7793765 207.2206235],1
u1,1,2e-06,22.747048,[ 12 116] ; [ 90 199],[31.30935252 96.69064748] ; [ 70.69064748 218.30935252],1
b5,1,0.000147,14.405985,[56 72] ; [184 105],[73.66906475 54.33093525] ; [166.33093525 122.66906475],1
b1,1,0.000665,11.584845,[66 62] ; [ 98 191],[50.34052758 77.65947242] ; [113.65947242 175.34052758],1
r4,1,0.001367,10.249329,[111  17] ; [276  13],[118.79136691   9.20863309] ; [268.20863309  20.79136691],0
d1,1,0.004151,8.216666,[69 59] ; [198  91],[81.95683453 46.04316547] ; [185.04316547 103.95683453],0
v2,1,0.010189,6.60155,[64 60] ; [183  98],[75.62469136 48.37530864] ; [171.37530864 109.62469136],0
r2,1,0.013834,6.059174,[118   8] ; [281   5],[122.02427184   3.97572816] ; [276.97572816   9.02427184],0
n1,1,0.014036,6.033582,[22 12] ; [20 33],[16.4137931 17.5862069] ; [25.5862069 27.4137931],0
r1,1,0.026324,4.934614,[100  28] ; [249  38],[107.64337349  20.35662651] ; [241.35662651  45.64337349],0
b4,1,0.030039,4.707041,[62 66] ; [173 116],[72.13429257 55.86570743] ; [162.86570743 126.13429257],0
b3,1,0.048822,3.88147,[49 46] ; [ 78 120],[41.1774744 53.8225256] ; [ 85.8225256 112.1774744],0
b2,1,0.048822,3.88147,[49 46] ; [ 78 120],[41.1774744 53.8225256] ; [ 85.8225256 112.1774744],0
n4,1,0.071052,3.25855,[113  14] ; [236  52],[106.80240964  20.19759036] ; [242.19759036  45.80240964],0
v4,1,0.105535,2.619844,[119   7] ; [281   7],[121.73913043   4.26086957] ; [278.26086957   9.73913043],0
s8,1,0.148485,2.087751,[95 33] ; [192  94],[88.73429952 39.26570048] ; [198.26570048  87.73429952],0
d4,1,0.164261,1.934556,[104  23] ; [250  37],[108.5942029  18.4057971] ; [245.4057971  41.5942029],0
p2,1,0.223475,1.481916,[104  23] ; [250  39],[108.07211538  18.92788462] ; [245.92788462  43.07211538],0
a8,1,0.227435,1.456831,[ 18 106] ; [ 49 201],[ 22.21390374 101.78609626] ; [ 44.78609626 205.21390374],0
u3,1,0.231819,1.429663,[12  8] ; [43 15],[14.1025641  5.8974359] ; [40.8974359 17.1025641],0
n5,1,0.23499,1.4104,[106  21] ; [225  62],[101.53864734  25.46135266] ; [229.46135266  57.53864734],0
s4,1,0.252166,1.311265,[31 96] ; [ 56 232],[ 26.62409639 100.37590361] ; [ 60.37590361 227.62409639],0
n6,1,0.268462,1.224589,[108  18] ; [256  30],[111.32038835  14.67961165] ; [252.67961165  33.32038835],0
p4,1,0.283558,1.149959,[81 47] ; [197  90],[85.74457831 42.25542169] ; [192.25542169  94.74457831],0
a3,1,0.344361,0.894127,[108  20] ; [231  56],[104.55903614  23.44096386] ; [234.44096386  52.55903614],0
p11,1,0.355156,0.854948,[106  22] ; [228  61],[102.52278177  25.47721823] ; [231.47721823  57.52278177],0
p3,1,0.356835,0.849003,[78 50] ; [161 126],[73.71566265 54.28433735] ; [165.28433735 121.71566265],0
d2,1,0.47781,0.503858,[67 61] ; [161 126],[70.32289157 57.67710843] ; [157.67710843 129.32289157],0
s3,1,0.534435,0.385952,[98 30] ; [210  75],[95.45762712 32.54237288] ; [212.54237288  72.45762712],0
a1,1,0.553116,0.351765,[  9 119] ; [ 16 273],[  7.67386091 120.32613909] ; [ 17.32613909 271.67386091],0
p10,1,0.562217,0.33588,[107  20] ; [248  39],[108.90096618  18.09903382] ; [246.09903382  40.90096618],0
u2,1,0.581139,0.304398,[14  6] ; [36 21],[12.98701299  7.01298701] ; [37.01298701 19.98701299],0
p12,1,0.597086,0.279414,[ 11 115] ; [ 30 258],[ 12.47826087 113.52173913] ; [ 28.52173913 259.47826087],0
a5,1,0.604958,0.267583,[99 29] ; [230  59],[100.98800959  27.01199041] ; [228.01199041  60.98800959],0
p9,1,0.611473,0.258035,[112  15] ; [257  29],[113.46973366  13.53026634] ; [255.53026634  30.46973366],0
s1,1,0.651756,0.203694,[  5 123] ; [ 14 271],[  5.88861985 122.11138015] ; [ 13.11138015 271.88861985],0
s6,1,0.660111,0.193389,[104  21] ; [242  43],[105.48780488  19.51219512] ; [240.51219512  44.48780488],0
v3,1,0.662337,0.190697,[60 65] ; [126 150],[57.98004988 67.01995012] ; [128.01995012 147.98004988],0
d5,1,0.67545,0.175293,[105  22] ; [242  45],[106.4468599  20.5531401] ; [240.5531401  46.4468599],0
p8,1,0.694639,0.154109,[68 57] ; [161 124],[69.81707317 55.18292683] ; [159.18292683 125.81707317],0
p7,1,0.74452,0.106194,[88 38] ; [200  80],[89.37931034 36.62068966] ; [198.62068966  81.37931034],0
p1,1,0.763212,0.090761,[ 12 115] ; [ 30 258],[ 12.85301205 114.14698795] ; [ 29.14698795 258.85301205],0
p6,1,0.769431,0.085919,[59 67] ; [129 156],[57.6350365 68.3649635] ; [130.3649635 154.6350365],0
a4,1,0.793679,0.068401,[64 64] ; [140 148],[62.76923077 65.23076923] ; [141.23076923 146.76923077],0
s5,1,0.845587,0.037928,[57 66] ; [125 151],[56.10526316 66.89473684] ; [125.89473684 150.10526316],0
n2,1,0.857149,0.032402,[27  8] ; [40 13],[26.64772727  8.35227273] ; [40.35227273 12.64772727],0
v1,1,0.901958,0.015175,[72 52] ; [165 116],[72.56296296 51.43703704] ; [164.43703704 116.56296296],0
n3,1,0.911124,0.012459,[24 10] ; [38 15],[24.22988506  9.77011494] ; [37.77011494 15.22988506],0
