Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.231866,[107  18] ; [ 7 21],[93.1372549 31.8627451] ; [20.8627451  7.1372549],1
r3,1,0.0,36.603225,[109  15] ; [10 18],[97.07894737 26.92105263] ; [21.92105263  6.07894737],1
n6,1,1e-06,23.95395,[103  22] ; [10 17],[92.92763158 32.07236842] ; [20.07236842  6.92763158],1
s6,1,1e-06,23.285763,[84 38] ; [ 5 22],[72.87248322 49.12751678] ; [16.12751678 10.87248322],1
p2,1,4e-06,21.123743,[92 32] ; [ 8 20],[81.57894737 42.42105263] ; [18.42105263  9.57894737],1
r2,1,5e-06,20.963934,[117   6] ; [17  9],[110.61744966  12.38255034] ; [23.38255034  2.61744966],1
r1,1,8e-06,19.83654,[100  24] ; [11 17],[90.55263158 33.44736842] ; [20.44736842  7.55263158],1
p9,1,0.000148,14.398758,[84 38] ; [ 8 19],[75.32885906 46.67114094] ; [16.67114094 10.32885906],1
p10,1,0.000254,13.385832,[75 48] ; [ 6 21],[66.42 56.58] ; [14.58 12.42],1
s8,1,0.000399,12.536214,[53 71] ; [ 2 26],[44.86842105 79.13157895] ; [10.13157895 17.86842105],1
s7,1,0.000434,12.377766,[63 52] ; [ 4 21],[55.03571429 59.96428571] ; [11.96428571 13.03571429],1
a1,1,0.00053,12.005792,[  6 119] ; [ 7 21],[ 10.62091503 114.37908497] ; [ 2.37908497 25.62091503],1
p7,1,0.000612,11.740059,[65 56] ; [ 5 23],[56.84563758 64.15436242] ; [13.15436242 14.84563758],1
n3,1,0.001517,10.057536,[29  9] ; [ 4 10],[24.11538462 13.88461538] ; [8.88461538 5.11538462],0
d3,1,0.004627,8.019738,[88 36] ; [12 16],[81.57894737 42.42105263] ; [18.42105263  9.57894737],0
d4,1,0.005333,7.762924,[98 26] ; [15 13],[92.18421053 31.81578947] ; [20.81578947  7.18421053],0
p4,1,0.006096,7.521772,[61 61] ; [ 6 22],[54.49333333 67.50666667] ; [12.50666667 15.49333333],0
n2,1,0.007437,7.164299,[33  8] ; [6 8],[29.07272727 11.92727273] ; [9.92727273 4.07272727],0
v2,1,0.007723,7.096616,[62 61] ; [ 6 21],[55.76 67.24] ; [12.24 14.76],0
d5,1,0.011485,6.388762,[99 25] ; [16 12],[93.81578947 30.18421053] ; [21.18421053  6.81578947],0
b5,1,0.012691,6.211674,[81 44] ; [11 17],[75.16339869 49.83660131] ; [16.83660131 11.16339869],0
s2,1,0.013343,6.123053,[63 61] ; [ 7 21],[57.10526316 66.89473684] ; [12.89473684 15.10526316],0
s5,1,0.013999,6.038234,[41 75] ; [ 3 24],[35.69230769 80.30769231] ; [ 8.30769231 18.69230769],0
a5,1,0.014415,5.986593,[92 33] ; [14 14],[86.60130719 38.39869281] ; [19.39869281  8.60130719],0
d1,1,0.014712,5.950607,[72 53] ; [ 9 19],[66.17647059 58.82352941] ; [14.82352941 13.17647059],0
a7,1,0.015498,5.858988,[88 37] ; [13 15],[82.51633987 42.48366013] ; [18.48366013  9.51633987],0
p6,1,0.02265,5.195175,[46 76] ; [ 4 23],[40.93959732 81.06040268] ; [ 9.06040268 17.93959732],0
a4,1,0.038219,4.295241,[64 60] ; [ 8 19],[59.12582781 64.87417219] ; [12.87417219 14.12582781],0
u3,1,0.043445,4.078006,[17 19] ; [ 2 11],[13.95918367 22.04081633] ; [5.04081633 7.95918367],0
v3,1,0.052025,3.774971,[49 70] ; [ 6 22],[44.52380952 74.47619048] ; [10.47619048 17.52380952],0
p3,1,0.059798,3.542976,[55 69] ; [ 7 21],[50.57894737 73.42105263] ; [11.42105263 16.57894737],0
u2,1,0.076967,3.127802,[15 20] ; [ 2 11],[12.39583333 22.60416667] ; [4.60416667 8.39583333],0
v1,1,0.085119,2.964349,[58 67] ; [ 8 20],[53.92156863 71.07843137] ; [12.07843137 15.92156863],0
a3,1,0.086428,2.939677,[89 34] ; [15 12],[85.28 37.72] ; [18.72  8.28],0
b2,1,0.115545,2.47669,[20 45] ; [10 10],[22.94117647 42.05882353] ; [ 7.05882353 12.94117647],0
b3,1,0.115545,2.47669,[20 45] ; [10 10],[22.94117647 42.05882353] ; [ 7.05882353 12.94117647],0
s3,1,0.136836,2.213189,[65 58] ; [10 17],[61.5 61.5] ; [13.5 13.5],0
a2,1,0.152837,2.043708,[34 91] ; [ 4 24],[31.04575163 93.95424837] ; [ 6.95424837 21.04575163],0
p5,1,0.180866,1.790494,[ 15 108] ; [ 1 27],[ 13.03311258 109.96688742] ; [ 2.96688742 25.03311258],0
d2,1,0.256381,1.288192,[70 54] ; [12 15],[67.33774834 56.66225166] ; [14.66225166 12.33774834],0
p1,1,0.297083,1.087241,[ 10 115] ; [ 4 24],[ 11.4379085 113.5620915] ; [ 2.5620915 25.4379085],0
b1,1,0.303698,1.057886,[67 58] ; [18 10],[69.44444444 55.55555556] ; [15.55555556 12.44444444],0
s1,1,0.328451,0.954994,[  7 117] ; [ 3 25],[  8.15789474 115.84210526] ; [ 1.84210526 26.15789474],0
s4,1,0.364912,0.820918,[ 22 102] ; [ 3 25],[ 20.39473684 103.60526316] ; [ 4.60526316 23.39473684],0
a6,1,0.501429,0.45191,[75 49] ; [15 13],[73.42105263 50.57894737] ; [16.57894737 11.42105263],0
b4,1,0.617622,0.249224,[69 56] ; [14 14],[67.81045752 57.18954248] ; [15.18954248 12.81045752],0
n5,1,0.635808,0.224267,[103  22] ; [22  6],[102.12418301  22.87581699] ; [22.87581699  5.12418301],0
n1,1,0.679359,0.170848,[22 17] ; [7 7],[21.33962264 17.66037736] ; [7.66037736 6.33962264],0
a8,1,0.720588,0.12793,[16 90] ; [ 5 23],[16.6119403 89.3880597] ; [ 4.3880597 23.6119403],0
p12,1,0.926211,0.008577,[  4 120] ; [ 1 27],[  4.07894737 119.92105263] ; [ 0.92105263 27.07894737],0
