Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,83.21613,[347  94] ; [ 78 110],[297.97297297 143.02702703] ; [127.02702703  60.97297297],1
d3,1,0.0,73.663458,[345  97] ; [ 81 107],[298.87619048 143.12380952] ; [127.12380952  60.87619048],1
a2,1,0.0,43.328823,[149 293] ; [ 16 172],[115.76190476 326.23809524] ; [ 49.23809524 138.76190476],1
u1,1,0.0,30.264412,[116 326] ; [ 13 175],[ 90.5047619 351.4952381] ; [ 38.4952381 149.5047619],1
b5,1,1e-06,24.503421,[291 151] ; [ 84 104],[263.0952381 178.9047619] ; [111.9047619  76.0952381],1
r4,1,5e-06,20.703459,[417  25] ; [156  32],[402.00952381  39.99047619] ; [170.99047619  17.00952381],1
d1,1,7e-05,15.806887,[291 151] ; [92 96],[268.70793651 173.29206349] ; [114.29206349  73.70793651],1
r2,1,0.000572,11.865986,[424  15] ; [166  19],[415.08012821  23.91987179] ; [174.91987179  10.08012821],1
r3,1,0.000579,11.842015,[422  16] ; [168  20],[412.8115016  25.1884984] ; [177.1884984  10.8115016],1
r1,1,0.000695,11.501591,[370  68] ; [137  51],[354.73801917  83.26198083] ; [152.26198083  35.73801917],1
v2,1,0.001547,10.021403,[257 167] ; [85 97],[239.28712871 184.71287129] ; [102.71287129  79.28712871],0
p4,1,0.003497,8.528155,[300 139] ; [105  82],[284.01757188 154.98242812] ; [120.98242812  66.01757188],0
v4,1,0.004137,8.222613,[426  14] ; [172  16],[418.98089172  21.01910828] ; [179.01910828   8.98089172],0
d4,1,0.006167,7.500767,[372  70] ; [140  47],[359.78378378  82.21621622] ; [152.21621622  34.78378378],0
d5,1,0.007685,7.105367,[373  69] ; [141  46],[361.18918919  80.81081081] ; [152.81081081  34.18918919],0
b1,1,0.013112,6.15389,[158 284] ; [ 87 101],[171.88888889 270.11111111] ; [ 73.11111111 114.88888889],0
u3,1,0.016754,5.721958,[71 49] ; [20 31],[63.85964912 56.14035088] ; [27.14035088 23.85964912],0
p2,1,0.025807,4.968925,[380  61] ; [147  39],[370.66507177  70.33492823] ; [156.33492823  29.66507177],0
a5,1,0.058947,3.56676,[346  96] ; [134  54],[336.76190476 105.23809524] ; [143.23809524  44.76190476],0
n2,1,0.060011,3.537067,[67 14] ; [35 16],[62.59090909 18.40909091] ; [39.40909091 11.59090909],0
p10,1,0.061509,3.496216,[383  55] ; [152  34],[375.52884615  62.47115385] ; [159.47115385  26.52884615],0
v1,1,0.064263,3.423797,[262 171] ; [96 87],[251.6461039 181.3538961] ; [106.3538961  76.6461039],0
s2,1,0.079015,3.085038,[241 193] ; [89 97],[231. 203.] ; [99. 87.],0
b4,1,0.080151,3.061835,[266 176] ; [99 89],[256.07936508 185.92063492] ; [108.92063492  79.07936508],0
u2,1,0.082702,3.010995,[65 54] ; [20 30],[59.85207101 59.14792899] ; [25.14792899 24.85207101],0
p3,1,0.155668,2.015814,[246 194] ; [93 94],[237.89473684 202.10526316] ; [101.10526316  85.89473684],0
s6,1,0.159391,1.979998,[311 120] ; [121  61],[303.73898858 127.26101142] ; [128.26101142  53.73898858],0
p8,1,0.180076,1.796994,[250 183] ; [96 89],[242.42394822 190.57605178] ; [103.57605178  81.42394822],0
n4,1,0.22632,1.463841,[401  40] ; [165  23],[396.82988871  44.17011129] ; [169.17011129  18.82988871],0
p9,1,0.243835,1.358285,[384  51] ; [157  28],[379.57258065  55.42741935] ; [161.42741935  23.57258065],0
a8,1,0.244266,1.355806,[ 63 328] ; [ 22 156],[ 58.40949033 332.59050967] ; [ 26.59050967 151.40949033],0
s8,1,0.247987,1.334607,[203 233] ; [97 91],[209.61538462 226.38461538] ; [90.38461538 97.61538462],0
a4,1,0.273969,1.196768,[215 225] ; [ 82 104],[208.75399361 231.24600639] ; [88.24600639 97.75399361],0
b3,1,0.29449,1.098982,[105 165] ; [56 70],[109.77272727 160.22727273] ; [51.22727273 74.77272727],0
b2,1,0.29449,1.098982,[105 165] ; [56 70],[109.77272727 160.22727273] ; [51.22727273 74.77272727],0
s1,1,0.321182,0.984127,[ 12 422] ; [  8 178],[ 14. 420.] ; [  6. 180.],0
p6,1,0.327276,0.959647,[179 258] ; [ 68 117],[173.53536977 263.46463023] ; [ 73.46463023 111.53536977],0
s3,1,0.353185,0.861981,[253 179] ; [102  85],[247.75444265 184.24555735] ; [107.24555735  79.75444265],0
p1,1,0.41796,0.656044,[ 47 393] ; [ 16 171],[ 44.21052632 395.78947368] ; [ 18.78947368 168.21052632],0
s5,1,0.419183,0.652604,[149 274] ; [ 70 111],[153.37251656 269.62748344] ; [ 65.62748344 115.37251656],0
s4,1,0.459474,0.547176,[ 68 363] ; [ 34 153],[ 71.13592233 359.86407767] ; [ 30.86407767 156.13592233],0
p12,1,0.460248,0.545291,[ 44 396] ; [ 15 170],[ 41.536 398.464] ; [ 17.464 167.536],0
n3,1,0.553203,0.351611,[59 22] ; [34 16],[57.50381679 23.49618321] ; [35.49618321 14.50381679],0
n1,1,0.622092,0.242938,[36 43] ; [21 30],[34.63846154 44.36153846] ; [22.36153846 28.63846154],0
v3,1,0.634794,0.225616,[184 243] ; [ 84 102],[186.68189233 240.31810767] ; [ 81.31810767 104.68189233],0
d2,1,0.635558,0.224599,[232 209] ; [94 92],[229.29186603 211.70813397] ; [96.70813397 89.29186603],0
s7,1,0.672804,0.17834,[222 192] ; [101  81],[224.36577181 189.63422819] ; [98.63422819 83.36577181],0
p7,1,0.675342,0.175417,[281 149] ; [117  67],[278.72964169 151.27035831] ; [119.27035831  64.72964169],0
u4,1,0.729739,0.119351,[ 14 427] ; [  5 183],[ 13.32114467 427.67885533] ; [  5.67885533 182.32114467],0
p5,1,0.770114,0.085396,[ 62 376] ; [ 28 158],[ 63.17307692 374.82692308] ; [ 26.82692308 159.17307692],0
a1,1,0.827596,0.047431,[ 23 419] ; [  9 179],[ 22.45079365 419.54920635] ; [  9.54920635 178.45079365],0
a3,1,0.901827,0.015216,[322 117] ; [137  51],[321.37320574 117.62679426] ; [137.62679426  50.37320574],0
p11,1,0.949446,0.00402,[363  79] ; [154  34],[362.72063492  79.27936508] ; [154.27936508  33.72063492],0
