Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.8e-05,16.966643,[118  50] ; [37 48],[102.92490119  65.07509881] ; [52.07509881 32.92490119],1
d4,1,0.000202,13.810183,[144  24] ; [55 29],[132.66666667  35.33333333] ; [66.33333333 17.66666667],1
d3,1,0.000972,10.879636,[122  46] ; [44 41],[110.22924901  57.77075099] ; [55.77075099 29.22924901],1
r4,1,0.0017,9.847649,[161   8] ; [71 14],[154.36220472  14.63779528] ; [77.63779528  7.36220472],0
r2,1,0.005153,7.825106,[161   6] ; [74 11],[155.73412698  11.26587302] ; [79.26587302  5.73412698],0
a2,1,0.008715,6.880374,[ 44 125] ; [10 75],[ 35.92913386 133.07086614] ; [18.07086614 66.92913386],0
u1,1,0.019743,5.434455,[ 33 136] ; [ 7 78],[ 26.61417323 142.38582677] ; [13.38582677 71.61417323],0
u3,1,0.025609,4.98225,[38 14] ; [14 15],[33.38271605 18.61728395] ; [18.61728395 10.38271605],0
b1,1,0.044668,4.031135,[ 69 100] ; [46 39],[76.51574803 92.48425197] ; [38.48425197 46.51574803],0
r3,1,0.080396,3.056878,[160   8] ; [76  9],[156.71146245  11.28853755] ; [79.28853755  5.71146245],0
p2,1,0.084189,2.98211,[147  22] ; [66 18],[142.28063241  26.71936759] ; [70.71936759 13.28063241],0
b5,1,0.093789,2.808102,[106  63] ; [44 41],[99.80314961 69.19685039] ; [50.19685039 34.80314961],0
s5,1,0.094008,2.80436,[ 65 102] ; [42 42],[71.19123506 95.80876494] ; [35.80876494 48.19123506],0
s4,1,0.102819,2.661267,[ 39 126] ; [28 56],[ 44.39759036 120.60240964] ; [22.60240964 61.39759036],0
d5,1,0.110252,2.550607,[135  33] ; [60 24],[130.  38.] ; [65. 19.],0
n5,1,0.134992,2.234136,[122  46] ; [69 16],[126.83003953  41.16996047] ; [64.16996047 20.83003953],0
s2,1,0.152313,2.04893,[111  58] ; [48 37],[105.79133858  63.20866142] ; [53.20866142 31.79133858],0
v4,1,0.152703,2.045042,[165   4] ; [80  5],[163.01181102   5.98818898] ; [81.98818898  3.01181102],0
v3,1,0.158399,1.989448,[ 32 134] ; [23 62],[ 36.37450199 129.62549801] ; [18.62549801 66.37450199],0
s7,1,0.191951,1.702578,[86 75] ; [51 31],[90.76954733 70.23045267] ; [46.23045267 35.76954733],0
p11,1,0.201647,1.630402,[125  44] ; [69 16],[129.07874016  39.92125984] ; [64.92125984 20.07874016],0
n3,1,0.21283,1.552071,[28 11] ; [16 12],[25.6119403 13.3880597] ; [18.3880597  9.6119403],0
n6,1,0.22092,1.498383,[147  22] ; [69 16],[143.71653543  25.28346457] ; [72.28346457 12.71653543],0
p6,1,0.232142,1.42769,[ 59 109] ; [36 48],[ 63.33333333 104.66666667] ; [31.66666667 52.33333333],0
p5,1,0.251943,1.3125,[ 21 147] ; [15 69],[ 24. 144.] ; [12. 72.],0
r1,1,0.255758,1.291576,[135  33] ; [63 22],[131.47826087  36.52173913] ; [66.52173913 18.47826087],0
p8,1,0.26566,1.239019,[94 75] ; [41 44],[89.82283465 79.17716535] ; [45.17716535 39.82283465],0
d1,1,0.30609,1.04747,[93 76] ; [41 44],[89.15748031 79.84251969] ; [44.84251969 40.15748031],0
p3,1,0.306534,1.045553,[77 92] ; [44 40],[80.82608696 88.17391304] ; [40.17391304 43.82608696],0
b2,1,0.317222,1.000367,[33 68] ; [22 32],[35.83870968 65.16129032] ; [19.16129032 34.83870968],0
b3,1,0.317222,1.000367,[33 68] ; [22 32],[35.83870968 65.16129032] ; [19.16129032 34.83870968],0
n1,1,0.317735,0.998246,[15 23] ; [15 14],[17.01492537 20.98507463] ; [12.98507463 16.01492537],0
p1,1,0.320819,0.985604,[ 15 153] ; [11 74],[ 17.26482213 150.73517787] ; [ 8.73517787 76.26482213],0
p9,1,0.37667,0.781541,[141  26] ; [68 17],[138.50396825  28.49603175] ; [70.49603175 14.50396825],0
s8,1,0.451839,0.566035,[85 84] ; [47 38],[87.82677165 81.17322835] ; [44.17322835 40.82677165],0
p4,1,0.505204,0.443987,[108  60] ; [51 34],[105.58102767  62.41897233] ; [53.41897233 31.58102767],0
u4,1,0.519297,0.41529,[  4 165] ; [ 1 84],[  3.32677165 165.67322835] ; [ 1.67322835 83.32677165],0
p7,1,0.526622,0.400906,[105  57] ; [51 33],[102.73170732  59.26829268] ; [53.26829268 30.73170732],0
u2,1,0.531251,0.391997,[33 20] ; [16 13],[31.67073171 21.32926829] ; [17.32926829 11.67073171],0
a1,1,0.537309,0.38055,[  7 162] ; [ 5 80],[  7.98425197 161.01574803] ; [ 4.01574803 80.98425197],0
b4,1,0.558772,0.341835,[96 73] ; [45 40],[93.81496063 75.18503937] ; [47.18503937 37.81496063],0
