Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.024271,5.075188,[ 4 17] ; [4 2],[ 6.22222222 14.77777778] ; [1.77777778 4.22222222],0
b4,1,0.040867,4.181507,[14  8] ; [1 5],[11.78571429 10.21428571] ; [3.21428571 2.78571429],0
a5,1,0.040867,4.181507,[14  8] ; [1 5],[11.78571429 10.21428571] ; [3.21428571 2.78571429],0
a6,1,0.040867,4.181507,[14  8] ; [1 5],[11.78571429 10.21428571] ; [3.21428571 2.78571429],0
a3,1,0.074247,3.186532,[16  6] ; [2 4],[14.14285714  7.85714286] ; [3.85714286 2.14285714],0
b1,1,0.099129,2.719503,[10 12] ; [5 1],[11.78571429 10.21428571] ; [3.21428571 2.78571429],0
p7,1,0.099129,2.719503,[10 12] ; [5 1],[11.78571429 10.21428571] ; [3.21428571 2.78571429],0
n1,1,0.165857,1.92,[1 9] ; [1 1],[1.66666667 8.33333333] ; [0.33333333 1.66666667],0
u3,1,0.196706,1.666667,[2 4] ; [3 1],[3. 3.] ; [2. 2.],0
p8,1,0.262125,1.257498,[ 9 13] ; [4 2],[10.21428571 11.78571429] ; [2.78571429 3.21428571],0
b5,1,0.262125,1.257498,[13  9] ; [2 4],[11.78571429 10.21428571] ; [3.21428571 2.78571429],0
r3,1,0.264145,1.246904,[19  3] ; [4 2],[18.07142857  3.92857143] ; [4.92857143 1.07142857],0
p11,1,0.264145,1.246904,[19  3] ; [4 2],[18.07142857  3.92857143] ; [4.92857143 1.07142857],0
v3,1,0.27198,1.206734,[ 9 13] ; [1 5],[ 7.85714286 14.14285714] ; [2.14285714 3.85714286],0
s1,1,0.306826,1.044289,[ 1 21] ; [1 5],[ 1.57142857 20.42857143] ; [0.42857143 5.57142857],0
a1,1,0.306826,1.044289,[ 1 21] ; [1 5],[ 1.57142857 20.42857143] ; [0.42857143 5.57142857],0
p10,1,0.326109,0.964286,[13  8] ; [5 1],[14.  7.] ; [4. 2.],0
d1,1,0.356981,0.848485,[12 10] ; [2 4],[11. 11.] ; [3. 3.],0
v4,1,0.359809,0.838561,[14  8] ; [5 1],[14.92857143  7.07142857] ; [4.07142857 1.92857143],0
n6,1,0.410004,0.678788,[15  7] ; [3 3],[14.14285714  7.85714286] ; [3.85714286 2.14285714],0
d3,1,0.410004,0.678788,[15  7] ; [3 3],[14.14285714  7.85714286] ; [3.85714286 2.14285714],0
d5,1,0.422702,0.642792,[18  4] ; [4 2],[17.28571429  4.71428571] ; [4.71428571 1.28571429],0
s3,1,0.430412,0.621711,[ 7 14] ; [1 5],[ 6.22222222 14.77777778] ; [1.77777778 4.22222222],0
p6,1,0.455924,0.555882,[ 7 14] ; [3 3],[ 7.77777778 13.22222222] ; [2.22222222 3.77777778],0
v1,1,0.544356,0.367526,[14  8] ; [3 3],[13.35714286  8.64285714] ; [3.64285714 2.35714286],0
a7,1,0.544356,0.367526,[14  8] ; [3 3],[13.35714286  8.64285714] ; [3.64285714 2.35714286],0
a4,1,0.544356,0.367526,[ 8 14] ; [3 3],[ 8.64285714 13.35714286] ; [2.35714286 3.64285714],0
n5,1,0.594853,0.282828,[16  6] ; [5 1],[16.5  5.5] ; [4.5 1.5],0
u2,1,0.598161,0.277778,[4 2] ; [2 2],[3.6 2.4] ; [2.4 1.6],0
s6,1,0.689995,0.159091,[13  9] ; [3 3],[12.57142857  9.42857143] ; [3.42857143 2.57142857],0
p4,1,0.736268,0.113434,[13  9] ; [4 2],[13.35714286  8.64285714] ; [3.64285714 2.35714286],0
r1,1,0.736268,0.113434,[ 9 13] ; [2 4],[ 8.64285714 13.35714286] ; [2.35714286 3.64285714],0
s8,1,0.770831,0.084848,[ 6 16] ; [2 4],[ 6.28571429 15.71428571] ; [1.71428571 4.28571429],0
p2,1,0.770831,0.084848,[16  6] ; [4 2],[15.71428571  6.28571429] ; [4.28571429 1.71428571],0
s7,1,0.771671,0.084211,[ 5 14] ; [1 4],[ 4.75 14.25] ; [1.25 3.75],0
b2,1,0.824745,0.049038,[4 9] ; [1 3],[3.82352941 9.17647059] ; [1.17647059 2.82352941],0
b3,1,0.824745,0.049038,[4 9] ; [1 3],[3.82352941 9.17647059] ; [1.17647059 2.82352941],0
p9,1,0.83131,0.045378,[13  8] ; [4 2],[13.22222222  7.77777778] ; [3.77777778 2.22222222],0
s5,1,0.931549,0.007378,[ 4 18] ; [1 5],[ 3.92857143 18.07142857] ; [1.07142857 4.92857143],0
d4,1,0.931549,0.007378,[18  4] ; [5 1],[18.07142857  3.92857143] ; [4.92857143 1.07142857],0
r4,1,0.943843,0.004962,[ 7 15] ; [2 4],[ 7.07142857 14.92857143] ; [1.92857143 4.07142857],0
d2,1,1.0,0.0,[11 11] ; [3 3],[11. 11.] ; [3. 3.],0
s2,1,1.0,0.0,[ 7 14] ; [2 4],[ 7. 14.] ; [2. 4.],0
