Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6.1e-05,16.06163,[47  7] ; [3 7],[42.1875 11.8125] ; [7.8125 2.1875],1
r3,1,9.4e-05,15.262258,[49  5] ; [4 6],[44.71875  9.28125] ; [8.28125 1.71875],1
r1,1,0.002964,8.829388,[45  9] ; [4 6],[41.34375 12.65625] ; [7.65625 2.34375],0
n6,1,0.003395,8.582264,[44  9] ; [4 6],[40.38095238 12.61904762] ; [7.61904762 2.38095238],0
r2,1,0.004891,7.919473,[51  2] ; [7 3],[48.79365079  4.20634921] ; [9.20634921 0.79365079],0
v2,1,0.026542,4.920361,[35 17] ; [3 7],[31.87096774 20.12903226] ; [6.12903226 3.87096774],0
p1,1,0.035497,4.421127,[ 4 50] ; [3 7],[ 5.90625 48.09375] ; [1.09375 8.90625],0
p10,1,0.044222,4.048058,[34 19] ; [3 7],[31.12698413 21.87301587] ; [5.87301587 4.12698413],0
p11,1,0.052527,3.7589,[34 20] ; [3 7],[31.21875 22.78125] ; [5.78125 4.21875],0
n5,1,0.125876,2.342647,[40 14] ; [5 5],[37.96875 16.03125] ; [7.03125 2.96875],0
p9,1,0.152203,2.050034,[34 19] ; [4 6],[31.96825397 21.03174603] ; [6.03174603 3.96825397],0
u3,1,0.154229,2.029915,[12  4] ; [1 2],[10.94736842  5.05263158] ; [2.05263158 0.94736842],0
b1,1,0.174427,1.844474,[20 34] ; [6 4],[21.9375 32.0625] ; [4.0625 5.9375],0
a7,1,0.207595,1.588122,[38 16] ; [5 5],[36.28125 17.71875] ; [6.71875 3.28125],0
d5,1,0.222862,1.485849,[37 16] ; [5 5],[35.33333333 17.66666667] ; [6.66666667 3.33333333],0
d1,1,0.244355,1.355294,[27 27] ; [3 7],[25.3125 28.6875] ; [4.6875 5.3125],0
s6,1,0.257404,1.282668,[37 17] ; [5 5],[35.4375 18.5625] ; [6.5625 3.4375],0
a6,1,0.275463,1.189338,[36 17] ; [5 5],[34.49206349 18.50793651] ; [6.50793651 3.49206349],0
n4,1,0.294909,1.097075,[41 13] ; [6 4],[39.65625 14.34375] ; [7.34375 2.65625],0
b5,1,0.309747,1.031753,[31 23] ; [4 6],[29.53125 24.46875] ; [5.46875 4.53125],0
s1,1,0.317495,0.999239,[ 5 49] ; [2 8],[ 5.90625 48.09375] ; [1.09375 8.90625],0
p7,1,0.405123,0.693066,[17 34] ; [2 8],[15.8852459 35.1147541] ; [3.1147541 6.8852459],0
p4,1,0.405123,0.693066,[17 34] ; [2 8],[15.8852459 35.1147541] ; [3.1147541 6.8852459],0
s3,1,0.429978,0.622883,[23 30] ; [3 7],[21.87301587 31.12698413] ; [4.12698413 5.87301587],0
a1,1,0.434967,0.609524,[ 6 48] ; [2 8],[ 6.75 47.25] ; [1.25 8.75],0
s7,1,0.446312,0.58,[26 24] ; [3 5],[25. 25.] ; [4. 4.],0
s8,1,0.495024,0.465587,[22 31] ; [3 7],[21.03174603 31.96825397] ; [3.96825397 6.03174603],0
a5,1,0.515763,0.422357,[38 16] ; [6 4],[37.125 16.875] ; [6.875 3.125],0
b4,1,0.522519,0.408919,[32 22] ; [7 3],[32.90625 21.09375] ; [6.09375 3.90625],0
d2,1,0.525494,0.403096,[27 26] ; [4 6],[26.07936508 26.92063492] ; [4.92063492 5.07936508],0
d3,1,0.540952,0.373779,[32 21] ; [5 5],[31.12698413 21.87301587] ; [5.87301587 4.12698413],0
n2,1,0.64315,0.214646,[10  5] ; [1 1],[9.70588235 5.29411765] ; [1.29411765 0.70588235],0
s4,1,0.672837,0.178302,[ 8 45] ; [1 9],[ 7.57142857 45.42857143] ; [1.42857143 8.57142857],0
s2,1,0.713321,0.134983,[25 29] ; [4 6],[24.46875 29.53125] ; [4.53125 5.46875],0
a4,1,0.751157,0.100561,[19 35] ; [3 7],[18.5625 35.4375] ; [3.4375 6.5625],0
a8,1,0.864359,0.029182,[ 4 44] ; [1 9],[ 4.13793103 43.86206897] ; [0.86206897 9.13793103],0
v1,1,0.869445,0.027015,[25 28] ; [5 5],[25.23809524 27.76190476] ; [4.76190476 5.23809524],0
p8,1,0.885841,0.020612,[15 39] ; [3 7],[15.1875 38.8125] ; [2.8125 7.1875],0
p3,1,0.897102,0.016724,[17 36] ; [3 7],[16.82539683 36.17460317] ; [3.17460317 6.82539683],0
a2,1,0.912209,0.012156,[10 44] ; [2 8],[10.125 43.875] ; [1.875 8.125],0
d4,1,0.913181,0.011887,[38 15] ; [7 3],[37.85714286 15.14285714] ; [7.14285714 2.85714286],0
u2,1,0.943209,0.005075,[11  5] ; [2 1],[10.94736842  5.05263158] ; [2.05263158 0.94736842],0
b2,1,0.961935,0.002278,[14 22] ; [2 3],[14.04878049 21.95121951] ; [1.95121951 3.04878049],0
b3,1,0.961935,0.002278,[14 22] ; [2 3],[14.04878049 21.95121951] ; [1.95121951 3.04878049],0
a3,1,0.981214,0.000554,[38 16] ; [7 3],[37.96875 16.03125] ; [7.03125 2.96875],0
