Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,27.290448,[56 56] ; [134  34],[76. 36.] ; [114.  54.],1
r3,1,9e-06,19.813317,[89 30] ; [157  11],[102.  17.] ; [144.  24.],1
v4,1,9e-06,19.742501,[88 31] ; [157  12],[101.23263889  17.76736111] ; [143.76736111  25.23263889],1
p10,1,1.5e-05,18.767434,[53 62] ; [121  48],[70.45774648 44.54225352] ; [103.54225352  65.45774648],1
p4,1,2.9e-05,17.458275,[24 94] ; [75 95],[40.5625 77.4375] ; [ 58.4375 111.5625],1
p11,1,0.00014,14.498526,[60 59] ; [123  47],[75.35294118 43.64705882] ; [107.64705882  62.35294118],1
a1,1,0.000377,12.64375,[ 14 105] ; [  3 167],[  7. 112.] ; [ 10. 160.],1
r4,1,0.001021,10.789847,[77 42] ; [139  31],[88.94117647 30.05882353] ; [127.05882353  42.94117647],0
v1,1,0.002541,9.110699,[34 81] ; [78 86],[46.16487455 68.83512545] ; [65.83512545 98.16487455],0
d5,1,0.003189,8.695981,[81 38] ; [141  29],[91.41176471 27.58823529] ; [130.58823529  39.41176471],0
a7,1,0.005692,7.645309,[68 51] ; [123  46],[78.92013889 40.07986111] ; [112.07986111  56.92013889],0
b1,1,0.008402,6.945782,[59 60] ; [ 58 112],[48.17647059 70.82352941] ; [ 68.82352941 101.17647059],0
s2,1,0.009273,6.769403,[37 81] ; [78 89],[47.61403509 70.38596491] ; [67.38596491 99.61403509],0
b5,1,0.010239,6.592774,[65 54] ; [118  52],[75.35294118 43.64705882] ; [107.64705882  62.35294118],0
p6,1,0.010246,6.591555,[  7 110] ; [ 27 142],[ 13.90909091 103.09090909] ; [ 20.09090909 148.90909091],0
s3,1,0.012188,6.283327,[43 74] ; [87 81],[53.36842105 63.63157895] ; [76.63157895 91.36842105],0
p3,1,0.012973,6.172824,[22 96] ; [ 54 116],[31.13888889 86.86111111] ; [ 44.86111111 125.13888889],0
n6,1,0.01958,5.448923,[79 40] ; [133  36],[87.59722222 31.40277778] ; [124.40277778  44.59722222],0
s6,1,0.027723,4.845224,[55 63] ; [101  68],[64.13937282 53.86062718] ; [91.86062718 77.13937282],0
v2,1,0.037866,4.311013,[40 70] ; [80 83],[48.35164835 61.64835165] ; [71.64835165 91.35164835],0
r2,1,0.038413,4.286634,[98 19] ; [155  14],[103.5  13.5] ; [149.5  19.5],0
a6,1,0.041734,4.145953,[68 51] ; [117  53],[76.17647059 42.82352941] ; [108.82352941  61.17647059],0
r1,1,0.056829,3.627589,[74 45] ; [123  46],[81.39930556 37.60069444] ; [115.60069444  53.39930556],0
s1,1,0.074657,3.177537,[  9 109] ; [  5 162],[  5.79649123 112.20350877] ; [  8.20350877 158.79649123],0
u4,1,0.075177,3.166207,[  4 115] ; [  1 169],[  2.05882353 116.94117647] ; [  2.94117647 167.05882353],0
n4,1,0.107537,2.590048,[77 42] ; [125  45],[83.17647059 35.82352941] ; [118.82352941  51.17647059],0
n3,1,0.116676,2.461378,[30 22] ; [39 15],[33.8490566 18.1509434] ; [35.1509434 18.8490566],0
d2,1,0.136997,2.211374,[62 55] ; [74 94],[55.83157895 61.16842105] ; [80.16842105 87.83157895],0
s4,1,0.150068,2.071563,[25 92] ; [ 25 144],[20.45454545 96.54545455] ; [ 29.54545455 139.45454545],0
b4,1,0.171913,1.866178,[69 50] ; [112  58],[74.52941176 44.47058824] ; [106.47058824  63.52941176],0
p1,1,0.18989,1.718472,[ 12 107] ; [ 10 159],[  9.09027778 109.90972222] ; [ 12.90972222 156.09027778],0
d3,1,0.193265,1.692551,[68 51] ; [110  60],[73.29411765 45.70588235] ; [104.70588235  65.29411765],0
n1,1,0.222586,1.487623,[25 30] ; [18 35],[21.89814815 33.10185185] ; [21.10185185 31.89814815],0
n5,1,0.224522,1.475231,[72 47] ; [114  55],[76.85416667 42.14583333] ; [109.14583333  59.85416667],0
n2,1,0.226122,1.465088,[34 22] ; [38 15],[36.99082569 19.00917431] ; [35.00917431 17.99082569],0
a2,1,0.23334,1.420383,[27 92] ; [ 29 141],[23.05882353 95.94117647] ; [ 32.94117647 137.05882353],0
u3,1,0.290174,1.118816,[21 21] ; [34 22],[23.57142857 18.42857143] ; [31.42857143 24.57142857],0
b3,1,0.343836,0.896076,[33 44] ; [31 56],[30.04878049 46.95121951] ; [33.95121951 53.04878049],0
b2,1,0.343836,0.896076,[33 44] ; [31 56],[30.04878049 46.95121951] ; [33.95121951 53.04878049],0
d4,1,0.437124,0.603819,[89 30] ; [133  36],[91.72916667 27.27083333] ; [130.27083333  38.72916667],0
a8,1,0.437601,0.602565,[  8 107] ; [ 15 141],[  9.7601476 105.2398524] ; [ 13.2398524 142.7601476],0
d1,1,0.508375,0.437411,[59 60] ; [91 79],[61.76470588 57.23529412] ; [88.23529412 81.76470588],0
s7,1,0.540333,0.374923,[36 75] ; [ 58 103],[38.36029412 72.63970588] ; [ 55.63970588 105.36029412],0
a5,1,0.545467,0.365501,[75 44] ; [113  57],[77.41176471 41.58823529] ; [110.58823529  59.41176471],0
v3,1,0.563993,0.332838,[35 74] ; [ 47 116],[32.86029412 76.13970588] ; [ 49.13970588 113.86029412],0
a4,1,0.605127,0.267332,[55 63] ; [74 96],[52.85416667 65.14583333] ; [76.14583333 93.85416667],0
s5,1,0.722184,0.12641,[26 85] ; [ 41 121],[27.24175824 83.75824176] ; [ 39.75824176 122.24175824],0
a3,1,0.749979,0.101549,[77 41] ; [114  56],[78.25694444 39.74305556] ; [112.74305556  57.25694444],0
p12,1,0.766823,0.087932,[  8 110] ; [ 10 159],[  7.40069686 110.59930314] ; [ 10.59930314 158.40069686],0
p5,1,0.772559,0.083538,[  4 112] ; [  7 163],[  4.46153846 111.53846154] ; [  6.53846154 163.46153846],0
u1,1,0.810802,0.057308,[ 18 101] ; [ 24 146],[ 17.29411765 101.70588235] ; [ 24.70588235 145.29411765],0
s8,1,0.866956,0.028065,[36 83] ; [ 53 117],[36.64705882 82.35294118] ; [ 52.35294118 117.64705882],0
u2,1,0.929295,0.007873,[21 21] ; [27 28],[20.78350515 21.21649485] ; [27.21649485 27.78350515],0
