Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.001944,9.601505,[32  3] ; [15 11],[26.96721311  8.03278689] ; [20.03278689  5.96721311],0
p7,1,0.002047,9.506784,[22 13] ; [ 6 20],[16.06557377 18.93442623] ; [11.93442623 14.06557377],0
p11,1,0.01397,6.04188,[20 15] ; [ 7 20],[15.24193548 19.75806452] ; [11.75806452 15.24193548],0
n6,1,0.022195,5.230433,[25 10] ; [11 15],[20.6557377 14.3442623] ; [15.3442623 10.6557377],0
p4,1,0.024869,5.032954,[16 19] ; [ 5 22],[11.85483871 23.14516129] ; [ 9.14516129 17.85483871],0
r3,1,0.02735,4.868588,[27  8] ; [13 13],[22.95081967 12.04918033] ; [17.04918033  8.95081967],0
u3,1,0.02854,4.795156,[ 4 17] ; [9 8],[ 7.18421053 13.81578947] ; [ 5.81578947 11.18421053],0
p8,1,0.035222,4.434389,[12 22] ; [ 3 23],[ 8.5 25.5] ; [ 6.5 19.5],0
s1,1,0.037142,4.343891,[ 1 33] ; [ 5 21],[ 3.4 30.6] ; [ 2.6 23.4],0
a1,1,0.03863,4.277047,[ 1 34] ; [ 5 22],[ 3.38709677 31.61290323] ; [ 2.61290323 24.38709677],0
v2,1,0.049366,3.862857,[12 23] ; [ 3 22],[ 8.75 26.25] ; [ 6.25 18.75],0
n3,1,0.054864,3.686201,[14  2] ; [6 5],[11.85185185  4.14814815] ; [8.14814815 2.85185185],0
b5,1,0.062045,3.481853,[25 10] ; [13 14],[21.4516129 13.5483871] ; [16.5483871 10.4516129],0
r4,1,0.062045,3.481853,[25 10] ; [13 14],[21.4516129 13.5483871] ; [16.5483871 10.4516129],0
p6,1,0.108162,2.580877,[10 25] ; [ 3 23],[ 7.45901639 27.54098361] ; [ 5.54098361 20.45901639],0
n2,1,0.111349,2.534965,[12  4] ; [6 7],[9.93103448 6.06896552] ; [8.06896552 4.93103448],0
n1,1,0.111349,2.534965,[ 4 12] ; [7 6],[6.06896552 9.93103448] ; [4.93103448 8.06896552],0
b2,1,0.144523,2.129128,[ 4 18] ; [ 7 11],[ 6.05 15.95] ; [ 4.95 13.05],0
b3,1,0.144523,2.129128,[ 4 18] ; [ 7 11],[ 6.05 15.95] ; [ 4.95 13.05],0
p9,1,0.146644,2.106818,[12 22] ; [ 5 22],[ 9.47540984 24.52459016] ; [ 7.52459016 19.47540984],0
n5,1,0.199966,1.64262,[20 15] ; [19  7],[22.37704918 12.62295082] ; [16.62295082  9.37704918],0
p3,1,0.206396,1.596526,[13 22] ; [ 6 21],[10.72580645 24.27419355] ; [ 8.27419355 18.72580645],0
s4,1,0.345408,0.890256,[ 7 28] ; [ 3 24],[ 5.64516129 29.35483871] ; [ 4.35483871 22.64516129],0
d5,1,0.348862,0.877591,[13 22] ; [ 7 20],[11.29032258 23.70967742] ; [ 8.70967742 18.29032258],0
s6,1,0.376079,0.78348,[ 9 25] ; [10 17],[10.59016393 23.40983607] ; [ 8.40983607 18.59016393],0
n4,1,0.40043,0.707034,[22 13] ; [19  7],[23.52459016 11.47540984] ; [17.47540984  8.52459016],0
r2,1,0.402145,0.701903,[25 10] ; [21  5],[26.39344262  8.60655738] ; [19.60655738  6.39344262],0
s3,1,0.407126,0.687177,[14 20] ; [ 8 18],[12.46666667 21.53333333] ; [ 9.53333333 16.46666667],0
d3,1,0.420421,0.649138,[11 24] ; [ 6 21],[ 9.59677419 25.40322581] ; [ 7.40322581 19.59677419],0
s5,1,0.424287,0.638409,[ 5 30] ; [ 2 24],[ 4.01639344 30.98360656] ; [ 2.98360656 23.01639344],0
