Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000225,13.607359,[10  2] ; [ 4 18],[4.94117647 7.05882353] ; [ 9.05882353 12.94117647],1
p6,1,0.001836,9.706529,[8 5] ; [ 3 21],[3.86486486 9.13513514] ; [ 7.13513514 16.86486486],0
r4,1,0.005378,7.747863,[8 5] ; [ 4 20],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
s5,1,0.010515,6.545455,[7 5] ; [ 4 20],[3.66666667 8.33333333] ; [ 7.33333333 16.66666667],0
s8,1,0.013286,6.130558,[8 5] ; [ 5 19],[4.56756757 8.43243243] ; [ 8.43243243 15.56756757],0
n6,1,0.038208,4.295748,[11  2] ; [12 12],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
s7,1,0.045563,3.997669,[8 5] ; [ 6 16],[5.2 7.8] ; [ 8.8 13.2],0
n5,1,0.051289,3.798825,[12  1] ; [15  9],[9.48648649 3.51351351] ; [17.51351351  6.48648649],0
n4,1,0.064008,3.43036,[11  2] ; [13 11],[8.43243243 4.56756757] ; [15.56756757  8.43243243],0
s6,1,0.065254,3.398532,[9 4] ; [ 9 15],[6.32432432 6.67567568] ; [11.67567568 12.32432432],0
s4,1,0.077141,3.124138,[4 9] ; [ 2 22],[ 2.10810811 10.89189189] ; [ 3.89189189 20.10810811],0
p10,1,0.129824,2.294609,[12  1] ; [17  7],[10.18918919  2.81081081] ; [18.81081081  5.18918919],0
b1,1,0.139488,2.183598,[6 7] ; [17  7],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
v2,1,0.160814,1.966555,[5 8] ; [ 4 19],[3.25 9.75] ; [ 5.75 17.25],0
u3,1,0.164264,1.934524,[3 1] ; [3 6],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
p11,1,0.172773,1.85872,[9 4] ; [11 13],[7.02702703 5.97297297] ; [12.97297297 11.02702703],0
a5,1,0.173023,1.856556,[10  3] ; [13 11],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
b5,1,0.173023,1.856556,[10  3] ; [13 11],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
p2,1,0.211986,1.557808,[11  2] ; [15  8],[9.38888889 3.61111111] ; [16.61111111  6.38888889],0
d1,1,0.225038,1.47195,[7 6] ; [ 8 16],[5.27027027 7.72972973] ; [ 9.72972973 14.27027027],0
s1,1,0.232707,1.42424,[ 2 11] ; [ 1 23],[ 1.05405405 11.94594595] ; [ 1.94594595 22.05405405],0
