Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,36.099629,[302  64] ; [36 36],[282.43835616  83.56164384] ; [55.56164384 16.43835616],1
n5,1,0.0,35.989318,[325  42] ; [44 29],[307.77954545  59.22045455] ; [61.22045455 11.77954545],1
r4,1,0.0,29.507342,[331  37] ; [48 25],[316.26303855  51.73696145] ; [62.73696145 10.26303855],1
r3,1,0.0,26.914003,[345  21] ; [55 18],[333.48519362  32.51480638] ; [66.51480638  6.48519362],1
v4,1,0.0,26.418196,[348  20] ; [54 17],[336.98405467  31.01594533] ; [65.01594533  5.98405467],1
p11,1,5e-06,20.741643,[301  67] ; [42 31],[286.22222222  81.77777778] ; [56.77777778 16.22222222],1
p9,1,7e-06,20.238609,[297  64] ; [42 30],[282.63048499  78.36951501] ; [56.36951501 15.63048499],1
p4,1,0.000327,12.909474,[189 176] ; [21 52],[175. 190.] ; [35. 38.],1
p8,1,0.000675,11.556791,[162 200] ; [17 56],[148.96091954 213.03908046] ; [30.03908046 42.96091954],1
s6,1,0.000936,10.950526,[233 128] ; [32 41],[220.42626728 140.57373272] ; [44.57373272 28.42626728],1
s8,1,0.002344,9.258821,[149 216] ; [16 57],[137.5 227.5] ; [27.5 45.5],0
d1,1,0.002496,9.143474,[217 151] ; [29 44],[205.27891156 162.72108844] ; [40.72108844 32.27891156],0
v2,1,0.002508,9.13446,[198 155] ; [25 44],[186.53791469 166.46208531] ; [36.46208531 32.53791469],0
p2,1,0.002702,8.998473,[291  76] ; [46 27],[281.08863636  85.91136364] ; [55.91136364 17.08863636],0
v3,1,0.006593,7.380748,[150 207] ; [16 50],[140.09929078 216.90070922] ; [25.90070922 40.09929078],0
n3,1,0.009303,6.763631,[59 17] ; [12 12],[53.96 22.04] ; [17.04  6.96],0
a1,1,0.010321,6.578668,[ 14 354] ; [ 8 65],[ 18.35827664 349.64172336] ; [ 3.64172336 69.35827664],0
p3,1,0.011263,6.423319,[164 202] ; [21 52],[154.23690205 211.76309795] ; [30.76309795 42.23690205],0
u1,1,0.012934,6.178107,[ 69 299] ; [ 5 68],[ 61.75056689 306.24943311] ; [12.24943311 60.75056689],0
d5,1,0.014348,5.994867,[302  66] ; [50 22],[294.4  73.6] ; [57.6 14.4],0
s2,1,0.018054,5.590871,[171 192] ; [23 49],[161.88965517 201.11034483] ; [32.11034483 39.88965517],0
b1,1,0.022951,5.172188,[139 229] ; [38 35],[147.70068027 220.29931973] ; [29.29931973 43.70068027],0
s5,1,0.038759,4.271386,[101 254] ; [12 60],[ 93.94613583 261.05386417] ; [19.05386417 52.94613583],0
r1,1,0.040352,4.203031,[295  71] ; [51 22],[288.46469248  77.53530752] ; [57.53530752 15.46469248],0
s7,1,0.041556,4.153204,[161 191] ; [22 46],[153.37142857 198.62857143] ; [29.62857143 38.37142857],0
d4,1,0.061203,3.504478,[296  71] ; [51 21],[290.08883827  76.91116173] ; [56.91116173 15.08883827],0
r2,1,0.070186,3.27867,[340  24] ; [61  9],[336.32258065  27.67741935] ; [64.67741935  5.32258065],0
v1,1,0.076654,3.134453,[178 177] ; [27 43],[171.23529412 183.76470588] ; [33.76470588 36.23529412],0
p5,1,0.07732,3.120353,[ 32 331] ; [ 2 71],[ 28.30733945 334.69266055] ; [ 5.69266055 67.30733945],0
p7,1,0.121507,2.39779,[187 175] ; [30 42],[181. 181.] ; [36. 36.],0
p12,1,0.192662,1.697147,[ 25 342] ; [ 2 70],[ 22.57175399 344.42824601] ; [ 4.42824601 67.57175399],0
a2,1,0.203275,1.618689,[ 91 277] ; [13 60],[ 86.7845805 281.2154195] ; [17.2154195 55.7845805],0
d3,1,0.246404,1.343578,[241 127] ; [42 30],[236.69090909 131.30909091] ; [46.30909091 25.69090909],0
s4,1,0.26328,1.251429,[ 53 312] ; [ 7 66],[ 50. 315.] ; [10. 63.],0
a4,1,0.264689,1.244067,[171 194] ; [29 44],[166.66666667 198.33333333] ; [33.33333333 39.66666667],0
s1,1,0.285627,1.140121,[ 11 351] ; [ 4 68],[ 12.51152074 349.48847926] ; [ 2.48847926 69.51152074],0
d2,1,0.312317,1.020852,[186 179] ; [32 40],[182.08237986 182.91762014] ; [35.91762014 36.08237986],0
u2,1,0.317752,0.998177,[54 54] ; [13  8],[56.09302326 51.90697674] ; [10.90697674 10.09302326],0
a7,1,0.340607,0.908144,[257 110] ; [47 26],[253.56363636 113.43636364] ; [50.43636364 22.56363636],0
u3,1,0.364962,0.820746,[51 59] ; [12  9],[52.90076336 57.09923664] ; [10.09923664 10.90076336],0
n1,1,0.416175,0.661091,[33 41] ; [14 12],[34.78 39.22] ; [12.22 13.78],0
b5,1,0.427211,0.630393,[225 143] ; [41 32],[221.96825397 146.03174603] ; [44.03174603 28.96825397],0
b3,1,0.455385,0.557213,[ 81 152] ; [14 34],[ 78.77224199 154.22775801] ; [16.22775801 31.77224199],0
b2,1,0.455385,0.557213,[ 81 152] ; [14 34],[ 78.77224199 154.22775801] ; [16.22775801 31.77224199],0
b4,1,0.455606,0.556669,[214 154] ; [39 34],[211.12018141 156.87981859] ; [41.87981859 31.12018141],0
a6,1,0.56293,0.334656,[253 115] ; [47 25],[250.90909091 117.09090909] ; [49.09090909 22.90909091],0
n2,1,0.636497,0.223353,[59 17] ; [19  7],[58.11764706 17.88235294] ; [19.88235294  6.11764706],0
s3,1,0.639358,0.219583,[194 167] ; [36 35],[192.19907407 168.80092593] ; [37.80092593 33.19907407],0
a5,1,0.741042,0.109213,[274  94] ; [53 20],[272.8707483  95.1292517] ; [54.1292517 18.8707483],0
a3,1,0.743341,0.107212,[258 109] ; [52 20],[259.1571754 107.8428246] ; [50.8428246 21.1571754],0
a8,1,0.823583,0.049702,[ 53 277] ; [12 58],[ 53.625 276.375] ; [11.375 58.625],0
u4,1,0.87074,0.026477,[  6 362] ; [ 1 72],[  5.84126984 362.15873016] ; [ 1.15873016 71.84126984],0
p1,1,0.902021,0.015156,[ 27 340] ; [ 5 67],[ 26.75170843 340.24829157] ; [ 5.24829157 66.75170843],0
