Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4e-05,16.877322,[ 7 16] ; [40 10],[14.80821918  8.19178082] ; [32.19178082 17.80821918],1
a6,1,0.000702,11.483125,[ 8 15] ; [38 12],[14.49315068  8.50684932] ; [31.50684932 18.49315068],1
d4,1,0.004128,8.226505,[15  8] ; [46  4],[19.21917808  3.78082192] ; [41.78082192  8.21917808],0
b5,1,0.004497,8.071335,[ 8 15] ; [35 15],[13.54794521  9.45205479] ; [29.45205479 20.54794521],0
s2,1,0.026284,4.937268,[13 10] ; [14 34],[ 8.74647887 14.25352113] ; [18.25352113 29.74647887],0
s5,1,0.056807,3.628234,[ 8 15] ; [ 7 40],[ 4.92857143 18.07142857] ; [10.07142857 36.92857143],0
a4,1,0.078271,3.100444,[ 4 19] ; [19 31],[ 7.24657534 15.75342466] ; [15.75342466 34.24657534],0
d1,1,0.096804,2.757427,[ 9 14] ; [30 20],[12.28767123 10.71232877] ; [26.71232877 23.28767123],0
n6,1,0.135347,2.230074,[13 10] ; [37 13],[15.75342466  7.24657534] ; [34.24657534 15.75342466],0
p7,1,0.144167,2.132906,[14  8] ; [22 27],[11.15492958 10.84507042] ; [24.84507042 24.15492958],0
p2,1,0.191975,1.702398,[11 12] ; [32 18],[13.54794521  9.45205479] ; [29.45205479 20.54794521],0
a3,1,0.193211,1.692958,[12 11] ; [34 16],[14.49315068  8.50684932] ; [31.50684932 18.49315068],0
p3,1,0.225038,1.471952,[ 6 17] ; [20 29],[ 8.30555556 14.69444444] ; [17.69444444 31.30555556],0
u3,1,0.237625,1.394628,[3 8] ; [8 8],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
v1,1,0.237812,1.393519,[ 9 14] ; [27 23],[11.34246575 11.65753425] ; [24.65753425 25.34246575],0
r4,1,0.247574,1.336941,[15  8] ; [39 11],[17.01369863  5.98630137] ; [36.98630137 13.01369863],0
a5,1,0.259084,1.273646,[12 11] ; [33 17],[14.17808219  8.82191781] ; [30.82191781 19.17808219],0
n4,1,0.2596,1.270888,[13 10] ; [35 15],[15.12328767  7.87671233] ; [32.87671233 17.12328767],0
s4,1,0.291607,1.112185,[ 1 22] ; [ 6 43],[ 2.23611111 20.76388889] ; [ 4.76388889 44.23611111],0
p11,1,0.319819,0.989688,[10 13] ; [28 22],[11.97260274 11.02739726] ; [26.02739726 23.97260274],0
u2,1,0.3268,0.961538,[6 4] ; [6 9],[4.8 5.2] ; [7.2 7.8],0
n5,1,0.403545,0.697737,[10 13] ; [27 23],[11.65753425 11.34246575] ; [25.34246575 24.65753425],0
s1,1,0.425488,0.635106,[ 2 21] ; [ 2 47],[ 1.27777778 21.72222222] ; [ 2.72222222 46.27777778],0
s6,1,0.448288,0.574978,[10 13] ; [26 23],[11.5 11.5] ; [24.5 24.5],0
s3,1,0.467652,0.527519,[11 12] ; [19 30],[ 9.58333333 13.41666667] ; [20.41666667 28.58333333],0
s8,1,0.472586,0.515923,[ 8 15] ; [13 36],[ 6.70833333 16.29166667] ; [14.29166667 34.70833333],0
s7,1,0.473674,0.513393,[ 6 15] ; [18 30],[ 7.30434783 13.69565217] ; [16.69565217 31.30434783],0
p4,1,0.476608,0.506614,[ 9 13] ; [25 25],[10.38888889 11.61111111] ; [23.61111111 26.38888889],0
d2,1,0.479358,0.500324,[ 9 14] ; [24 26],[10.39726027 12.60273973] ; [22.60273973 27.39726027],0
r2,1,0.484747,0.488164,[18  4] ; [44  6],[18.94444444  3.05555556] ; [43.05555556  6.94444444],0
r3,1,0.496593,0.46221,[20  3] ; [46  4],[20.79452055  2.20547945] ; [45.20547945  4.79452055],0
r1,1,0.560524,0.338798,[16  7] ; [38 12],[17.01369863  5.98630137] ; [36.98630137 13.01369863],0
p5,1,0.568092,0.325885,[ 1 22] ; [ 1 49],[ 0.63013699 22.36986301] ; [ 1.36986301 48.63013699],0
p8,1,0.656788,0.197449,[10 13] ; [19 31],[ 9.1369863 13.8630137] ; [19.8630137 30.1369863],0
d5,1,0.701135,0.147294,[17  6] ; [39 11],[17.64383562  5.35616438] ; [38.35616438 11.64383562],0
b3,1,0.752102,0.099773,[ 4 10] ; [10 20],[4.45454545 9.54545455] ; [ 9.54545455 20.45454545],0
b2,1,0.752102,0.099773,[ 4 10] ; [10 20],[4.45454545 9.54545455] ; [ 9.54545455 20.45454545],0
p1,1,0.773236,0.083028,[ 1 22] ; [ 3 47],[ 1.26027397 21.73972603] ; [ 2.73972603 47.26027397],0
a1,1,0.773236,0.083028,[ 1 22] ; [ 3 47],[ 1.26027397 21.73972603] ; [ 2.73972603 47.26027397],0
n3,1,0.823261,0.049887,[5 2] ; [10  5],[4.77272727 2.22727273] ; [10.22727273  4.77272727],0
p10,1,0.830952,0.045574,[ 7 16] ; [14 36],[ 6.61643836 16.38356164] ; [14.38356164 35.61643836],0
b4,1,0.893614,0.017884,[16  7] ; [34 16],[15.75342466  7.24657534] ; [34.24657534 15.75342466],0
v4,1,0.899752,0.01587,[20  3] ; [44  6],[20.16438356  2.83561644] ; [43.83561644  6.16438356],0
b1,1,0.905512,0.01409,[13 10] ; [29 21],[13.23287671  9.76712329] ; [28.76712329 21.23287671],0
n1,1,0.918517,0.010466,[2 4] ; [5 9],[2.1 3.9] ; [4.9 9.1],0
a8,1,0.93167,0.007352,[ 2 20] ; [ 4 37],[ 2.0952381 19.9047619] ; [ 3.9047619 37.0952381],0
p6,1,0.950486,0.003856,[ 5 17] ; [11 36],[ 5.10144928 16.89855072] ; [10.89855072 36.10144928],0
v3,1,0.965233,0.0019,[10 12] ; [22 27],[ 9.91549296 12.08450704] ; [22.08450704 26.91549296],0
n2,1,1.0,0.0,[5 2] ; [10  4],[5. 2.] ; [10.  4.],0
