Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3.1e-05,17.378225,[19  6] ; [29 67],[ 9.91735537 15.08264463] ; [38.08264463 57.91735537],1
s8,1,0.00015,14.367259,[12 13] ; [13 83],[ 5.16528926 19.83471074] ; [19.83471074 76.16528926],1
p10,1,0.000807,11.22452,[18  5] ; [37 57],[10.81196581 12.18803419] ; [44.18803419 49.81196581],1
u1,1,0.001861,9.681921,[ 8 17] ; [ 8 88],[ 3.30578512 21.69421488] ; [12.69421488 83.30578512],0
d4,1,0.003353,8.604444,[24  1] ; [64 32],[18.18181818  6.81818182] ; [69.81818182 26.18181818],0
s2,1,0.004529,8.058437,[10 15] ; [14 82],[ 4.95867769 20.04132231] ; [19.04132231 76.95867769],0
p5,1,0.005433,7.729213,[ 3 21] ; [ 1 94],[ 0.80672269 23.19327731] ; [ 3.19327731 91.80672269],0
r4,1,0.006609,7.376258,[21  4] ; [52 44],[15.08264463  9.91735537] ; [57.91735537 38.08264463],0
s7,1,0.007065,7.256396,[11 12] ; [18 71],[ 5.95535714 17.04464286] ; [23.04464286 65.95535714],0
d3,1,0.008862,6.850436,[21  4] ; [52 42],[15.33613445  9.66386555] ; [57.66386555 36.33613445],0
s4,1,0.011919,6.322869,[ 8 17] ; [11 85],[ 3.92561983 21.07438017] ; [15.07438017 80.92561983],0
p9,1,0.014721,5.949598,[17  7] ; [39 52],[11.68695652 12.31304348] ; [44.31304348 46.68695652],0
r3,1,0.033806,4.504485,[22  3] ; [63 32],[17.70833333  7.29166667] ; [67.29166667 27.70833333],0
p4,1,0.039058,4.25833,[12 11] ; [28 67],[ 7.79661017 15.20338983] ; [32.20338983 62.79661017],0
p3,1,0.044188,4.049372,[12 12] ; [27 68],[ 7.86554622 16.13445378] ; [31.13445378 63.86554622],0
r2,1,0.051912,3.778589,[24  1] ; [74 19],[20.76271186  4.23728814] ; [77.23728814 15.76271186],0
p6,1,0.052505,3.759597,[ 9 15] ; [18 77],[ 5.44537815 18.55462185] ; [21.55462185 73.44537815],0
d2,1,0.058752,3.572279,[15 10] ; [37 58],[10.83333333 14.16666667] ; [41.16666667 53.83333333],0
v2,1,0.072449,3.226646,[14 11] ; [34 60],[10.08403361 14.91596639] ; [37.91596639 56.08403361],0
a4,1,0.073173,3.210363,[15 10] ; [38 57],[11.04166667 13.95833333] ; [41.95833333 53.04166667],0
a8,1,0.074308,3.18519,[ 3 20] ; [ 3 83],[ 1.26605505 21.73394495] ; [ 4.73394495 81.26605505],0
v4,1,0.07577,3.153374,[23  2] ; [72 23],[19.79166667  5.20833333] ; [75.20833333 19.79166667],0
a5,1,0.087359,2.922384,[19  6] ; [55 41],[15.2892562  9.7107438] ; [58.7107438 37.2892562],0
d5,1,0.091584,2.846316,[22  3] ; [68 27],[18.75  6.25] ; [71.25 23.75],0
v3,1,0.10062,2.695691,[12 13] ; [28 64],[ 8.54700855 16.45299145] ; [31.45299145 60.54700855],0
p2,1,0.156471,2.008006,[16  8] ; [48 47],[12.90756303 11.09243697] ; [51.09243697 43.90756303],0
n5,1,0.181034,1.789116,[12 13] ; [59 35],[14.91596639 10.08403361] ; [56.08403361 37.91596639],0
d1,1,0.234502,1.413347,[14 11] ; [41 55],[11.36363636 13.63636364] ; [43.63636364 52.36363636],0
b4,1,0.247095,1.339657,[16  9] ; [49 47],[13.42975207 11.57024793] ; [51.57024793 44.42975207],0
p1,1,0.275346,1.18992,[ 2 23] ; [ 3 93],[ 1.03305785 23.96694215] ; [ 3.96694215 92.03305785],0
n6,1,0.295603,1.093925,[18  7] ; [57 37],[15.75630252  9.24369748] ; [59.24369748 34.75630252],0
u2,1,0.298458,1.08107,[5 4] ; [12 21],[3.64285714 5.35714286] ; [13.35714286 19.64285714],0
a1,1,0.320191,0.988167,[ 1 24] ; [10 86],[ 2.27272727 22.72727273] ; [ 8.72727273 87.27272727],0
u3,1,0.348977,0.877175,[5 4] ; [13 21],[3.76744186 5.23255814] ; [14.23255814 19.76744186],0
b2,1,0.41092,0.676136,[3 9] ; [21 35],[4.23529412 7.76470588] ; [19.76470588 36.23529412],0
b3,1,0.41092,0.676136,[3 9] ; [21 35],[4.23529412 7.76470588] ; [19.76470588 36.23529412],0
v1,1,0.428981,0.625579,[11 14] ; [34 62],[ 9.29752066 15.70247934] ; [35.70247934 60.29752066],0
r1,1,0.441958,0.591192,[17  8] ; [56 38],[15.33613445  9.66386555] ; [57.66386555 36.33613445],0
a7,1,0.444859,0.583718,[18  7] ; [60 34],[16.38655462  8.61344538] ; [61.61344538 32.38655462],0
b5,1,0.546641,0.363369,[17  8] ; [59 37],[15.70247934  9.29752066] ; [60.29752066 35.70247934],0
a2,1,0.595877,0.28126,[ 7 18] ; [22 74],[ 5.99173554 19.00826446] ; [23.00826446 72.99173554],0
n3,1,0.654641,0.200099,[5 4] ; [17 19],[4.4 4.6] ; [17.6 18.4],0
n4,1,0.715438,0.132906,[16  9] ; [57 38],[15.20833333  9.79166667] ; [57.79166667 37.20833333],0
n2,1,0.764336,0.089875,[4 5] ; [19 19],[4.40425532 4.59574468] ; [18.59574468 19.40425532],0
n1,1,0.782774,0.076014,[3 5] ; [12 25],[2.66666667 5.33333333] ; [12.33333333 24.66666667],0
s1,1,0.82638,0.048113,[ 1 23] ; [ 5 90],[ 1.21008403 22.78991597] ; [ 4.78991597 90.21008403],0
p8,1,0.836454,0.042614,[ 6 18] ; [26 70],[ 6.4 17.6] ; [25.6 70.4],0
b1,1,0.846547,0.037452,[13 12] ; [52 44],[13.42975207 11.57024793] ; [51.57024793 44.42975207],0
a3,1,0.854763,0.033506,[16  9] ; [62 32],[16.38655462  8.61344538] ; [61.61344538 32.38655462],0
a6,1,0.943457,0.005031,[14 11] ; [53 43],[13.84297521 11.15702479] ; [53.15702479 42.84297521],0
p7,1,0.99033,0.000147,[ 9 15] ; [35 58],[ 9.02564103 14.97435897] ; [34.97435897 58.02564103],0
