Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.000242,13.46932,[  8 109] ; [26 80],[17.83856502 99.16143498] ; [16.16143498 89.83856502],1
s2,1,0.000345,12.807335,[73 42] ; [89 16],[84.68181818 30.31818182] ; [77.31818182 27.68181818],1
s6,1,0.001811,9.731433,[87 30] ; [95 10],[95.91891892 21.08108108] ; [86.08108108 18.91891892],0
s7,1,0.002389,9.223728,[80 30] ; [91 11],[88.72641509 21.27358491] ; [82.27358491 19.72641509],0
s4,1,0.005218,7.802239,[ 10 107] ; [23 82],[17.39189189 99.60810811] ; [15.60810811 89.39189189],0
p7,1,0.016416,5.757805,[78 36] ; [85 18],[85.63133641 28.36866359] ; [77.36866359 25.63133641],0
a5,1,0.021003,5.326547,[90 27] ; [94 12],[96.53811659 20.46188341] ; [87.46188341 18.53811659],0
p8,1,0.037709,4.318116,[61 53] ; [70 34],[68.50458716 45.49541284] ; [62.49541284 41.50458716],0
a3,1,0.038431,4.285852,[90 27] ; [92 13],[95.91891892 21.08108108] ; [86.08108108 18.91891892],0
v1,1,0.059455,3.552509,[76 38] ; [82 23],[82.24657534 31.75342466] ; [75.75342466 29.24657534],0
p3,1,0.060973,3.510722,[64 53] ; [71 35],[70.82959641 46.17040359] ; [64.17040359 41.82959641],0
v4,1,0.073635,3.200069,[110   6] ; [104   1],[112.32579186   3.67420814] ; [101.67420814   3.32579186],0
n1,1,0.089264,2.887592,[ 5 14] ; [12 11],[ 7.69047619 11.30952381] ; [ 9.30952381 13.69047619],0
p11,1,0.118376,2.438675,[100  17] ; [82 24],[95.48878924 21.51121076] ; [86.51121076 19.48878924],0
s3,1,0.123363,2.374097,[77 37] ; [80 24],[82.10091743 31.89908257] ; [74.89908257 29.10091743],0
p1,1,0.147597,2.096913,[  7 110] ; [12 93],[ 10.01351351 106.98648649] ; [ 8.98648649 96.01351351],0
p6,1,0.186228,1.74721,[51 65] ; [55 49],[55.89090909 60.10909091] ; [50.10909091 53.89090909],0
p4,1,0.186715,1.743349,[75 42] ; [76 29],[79.58108108 37.41891892] ; [71.41891892 33.58108108],0
r2,1,0.189845,1.718817,[109   6] ; [103   2],[110.81818182   4.18181818] ; [101.18181818   3.81818182],0
n4,1,0.195485,1.675788,[104  13] ; [87 18],[100.66216216  16.33783784] ; [90.33783784 14.66216216],0
b5,1,0.201554,1.631077,[76 41] ; [60 46],[71.35426009 45.64573991] ; [64.64573991 41.35426009],0
v3,1,0.226635,1.461854,[69 44] ; [73 33],[73.26940639 39.73059361] ; [68.73059361 37.26940639],0
u1,1,0.229869,1.441672,[26 91] ; [31 75],[29.9058296 87.0941704] ; [27.0941704 78.9058296],0
a2,1,0.290848,1.115694,[29 88] ; [33 73],[32.52914798 84.47085202] ; [29.47085202 76.52914798],0
p9,1,0.310114,1.03019,[103  12] ; [99  7],[105.11312217   9.88687783] ; [96.88687783  9.11312217],0
n2,1,0.314927,1.009899,[15  5] ; [20  3],[16.27906977  3.72093023] ; [18.72093023  4.27906977],0
b1,1,0.325132,0.968189,[40 77] ; [43 63],[43.5470852 73.4529148] ; [39.4529148 66.5470852],0
