Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,35.023026,[54 90] ; [121  50],[80. 64.] ; [95. 76.],1
v3,1,0.000104,15.062233,[ 40 107] ; [82 87],[56.75316456 90.24683544] ; [ 65.24683544 103.75316456],1
s3,1,0.004769,7.964922,[108  42] ; [99 75],[95.83333333 54.16666667] ; [111.16666667  62.83333333],0
s4,1,0.018832,5.517015,[ 32 116] ; [ 21 155],[ 24.20987654 123.79012346] ; [ 28.79012346 147.20987654],0
p9,1,0.024406,5.065525,[116  34] ; [152  23],[123.69230769  26.30769231] ; [144.30769231  30.69230769],0
n5,1,0.044201,4.048867,[107  42] ; [143  33],[114.61538462  34.38461538] ; [135.38461538  40.61538462],0
r2,1,0.052712,3.753026,[133  15] ; [167   8],[137.46130031  10.53869969] ; [162.53869969  12.46130031],0
u4,1,0.05513,3.678164,[  1 149] ; [  7 170],[  3.66972477 146.33027523] ; [  4.33027523 172.66972477],0
p10,1,0.069426,3.296529,[111  38] ; [144  30],[117.63157895  31.36842105] ; [137.36842105  36.63157895],0
p3,1,0.076998,3.127155,[62 88] ; [90 86],[69.93865031 80.06134969] ; [82.06134969 93.93865031],0
s2,1,0.082748,3.010079,[89 61] ; [87 88],[81.23076923 68.76923077] ; [94.76923077 80.23076923],0
b2,1,0.139152,2.187315,[19 60] ; [40 78],[23.65989848 55.34010152] ; [35.34010152 82.65989848],0
b3,1,0.139152,2.187315,[19 60] ; [40 78],[23.65989848 55.34010152] ; [35.34010152 82.65989848],0
b5,1,0.142763,2.147923,[90 60] ; [120  57],[96.33027523 53.66972477] ; [113.66972477  63.33027523],0
b4,1,0.144603,2.128275,[83 67] ; [112  65],[89.44954128 60.55045872] ; [105.55045872  71.44954128],0
p6,1,0.145526,2.118535,[ 44 106] ; [ 64 109],[50.15479876 99.84520124] ; [ 57.84520124 115.15479876],0
p2,1,0.170801,1.875902,[120  30] ; [150  25],[124.61538462  25.38461538] ; [145.38461538  29.61538462],0
s7,1,0.192391,1.699212,[70 76] ; [94 76],[75.7721519 70.2278481] ; [88.2278481 81.7721519],0
p4,1,0.229525,1.443802,[86 64] ; [113  64],[91.28440367 58.71559633] ; [107.71559633  69.28440367],0
a5,1,0.273759,1.197813,[101  49] ; [129  48],[105.50458716  44.49541284] ; [124.49541284  52.50458716],0
p11,1,0.287359,1.131954,[113  37] ; [142  35],[116.97247706  33.02752294] ; [138.02752294  38.97247706],0
n4,1,0.287359,1.131954,[113  37] ; [142  35],[116.97247706  33.02752294] ; [138.02752294  38.97247706],0
u2,1,0.296178,1.091325,[28 22] ; [35 18],[30.58252427 19.41747573] ; [32.41747573 20.58252427],0
p1,1,0.307778,1.040186,[  7 143] ; [ 13 163],[  9.20245399 140.79754601] ; [ 10.79754601 165.20245399],0
n6,1,0.329241,0.951881,[121  29] ; [150  27],[124.31192661  25.68807339] ; [146.68807339  30.31192661],0
