Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,2e-06,22.732342,[ 2 10] ; [86 21],[8.87394958 3.12605042] ; [79.12605042 27.87394958],1
a6,1,1.4e-05,18.935574,[ 2 10] ; [83 25],[8.5 3.5] ; [76.5 31.5],1
r2,1,4.3e-05,16.739183,[6 6] ; [97  9],[10.47457627  1.52542373] ; [92.52542373 13.47457627],1
d5,1,0.000442,12.345679,[4 8] ; [86 22],[9. 3.] ; [81. 27.],1
a5,1,0.001238,10.432099,[ 2 10] ; [70 38],[7.2 4.8] ; [64.8 43.2],0
a7,1,0.003482,8.536155,[4 8] ; [80 28],[8.4 3.6] ; [75.6 32.4],0
d1,1,0.007119,7.242798,[ 1 11] ; [53 55],[5.4 6.6] ; [48.6 59.4],0
d3,1,0.008342,6.958539,[4 8] ; [76 31],[8.06722689 3.93277311] ; [71.93277311 35.06722689],0
s6,1,0.016367,5.763001,[3 9] ; [66 42],[6.9 5.1] ; [62.1 45.9],0
v4,1,0.017544,5.641071,[9 3] ; [99  6],[11.07692308  0.92307692] ; [96.92307692  8.07692308],0
d4,1,0.022624,5.19716,[6 6] ; [85 22],[9.17647059 2.82352941] ; [81.82352941 25.17647059],0
n4,1,0.038099,4.300595,[3 9] ; [61 47],[6.4 5.6] ; [57.6 50.4],0
p8,1,0.043671,4.069219,[ 2 10] ; [50 56],[5.28813559 6.71186441] ; [46.71186441 59.28813559],0
s3,1,0.043809,4.063913,[3 9] ; [59 47],[6.30508475 5.69491525] ; [55.69491525 50.30508475],0
p11,1,0.044011,4.056136,[5 7] ; [76 32],[8.1 3.9] ; [72.9 35.1],0
p3,1,0.064078,3.428571,[ 2 10] ; [48 60],[5. 7.] ; [45. 63.],0
p4,1,0.067889,3.333333,[3 9] ; [57 51],[6. 6.] ; [54. 54.],0
b1,1,0.088199,2.906934,[9 3] ; [53 55],[6.2 5.8] ; [55.8 52.2],0
s2,1,0.099024,2.7212,[ 2 10] ; [44 63],[4.63865546 7.36134454] ; [41.36134454 65.63865546],0
v2,1,0.115212,2.481231,[3 9] ; [49 51],[5.57142857 6.42857143] ; [46.42857143 53.57142857],0
a3,1,0.133083,2.256169,[5 7] ; [69 39],[7.4 4.6] ; [66.6 41.4],0
n2,1,0.134842,2.235853,[3 3] ; [23  6],[4.45714286 1.54285714] ; [21.54285714  7.45714286],0
d2,1,0.144415,2.130273,[ 2 10] ; [41 67],[4.3 7.7] ; [38.7 69.3],0
v3,1,0.158225,1.991111,[ 1 11] ; [27 73],[3. 9.] ; [25. 75.],0
s8,1,0.16046,1.969882,[ 2 10] ; [40 68],[4.2 7.8] ; [37.8 70.2],0
p10,1,0.260932,1.263806,[6 6] ; [71 36],[7.76470588 4.23529412] ; [69.23529412 37.76470588],0
s7,1,0.30258,1.062788,[2 8] ; [37 65],[3.48214286 6.51785714] ; [35.51785714 66.48214286],0
n1,1,0.450243,0.57004,[1 5] ; [ 9 19],[1.76470588 4.23529412] ; [ 8.23529412 19.76470588],0
a4,1,0.558746,0.34188,[3 9] ; [36 72],[3.9 8.1] ; [35.1 72.9],0
u3,1,0.560786,0.338346,[4 3] ; [26 12],[4.66666667 2.33333333] ; [25.33333333 12.66666667],0
b5,1,0.563643,0.333436,[7 5] ; [72 36],[7.9 4.1] ; [71.1 36.9],0
p5,1,0.582657,0.301959,[ 1 11] ; [  5 102],[ 0.60504202 11.39495798] ; [  5.39495798 101.60504202],0
s4,1,0.588404,0.292843,[3 9] ; [20 88],[2.3 9.7] ; [20.7 87.3],0
n3,1,0.638994,0.220061,[4 2] ; [22  7],[4.45714286 1.54285714] ; [21.54285714  7.45714286],0
p9,1,0.700178,0.148287,[8 4] ; [77 30],[8.57142857 3.42857143] ; [76.42857143 30.57142857],0
p7,1,0.725893,0.122916,[6 5] ; [63 42],[6.54310345 4.45689655] ; [62.45689655 42.54310345],0
v1,1,0.800336,0.063965,[6 6] ; [48 56],[5.5862069 6.4137931] ; [48.4137931 55.5862069],0
p6,1,0.847105,0.037177,[3 9] ; [29 76],[3.28205128 8.71794872] ; [28.71794872 76.28205128],0
s5,1,0.881345,0.02228,[3 9] ; [24 80],[2.79310345 9.20689655] ; [24.20689655 79.79310345],0
n5,1,0.92997,0.007723,[5 7] ; [46 61],[5.14285714 6.85714286] ; [45.85714286 61.14285714],0
b4,1,0.950637,0.003833,[7 5] ; [64 44],[7.1 4.9] ; [63.9 44.1],0
b2,1,0.956814,0.002932,[1 3] ; [15 48],[0.95522388 3.04477612] ; [15.04477612 47.95522388],0
b3,1,0.956814,0.002932,[1 3] ; [15 48],[0.95522388 3.04477612] ; [15.04477612 47.95522388],0
u2,1,0.983911,0.000407,[5 2] ; [27 11],[4.97777778 2.02222222] ; [27.02222222 10.97777778],0
