Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.2e-05,17.287897,[11 31] ; [19  5],[19.09090909 22.90909091] ; [10.90909091 13.09090909],1
s4,1,0.047494,3.92781,[15 28] ; [ 3 21],[11.55223881 31.44776119] ; [ 6.44776119 17.55223881],0
r1,1,0.062628,3.466387,[28 14] ; [21  3],[31.18181818 10.81818182] ; [17.81818182  6.18181818],0
n6,1,0.064846,3.408886,[34  9] ; [23  1],[36.58208955  6.41791045] ; [20.41791045  3.58208955],0
b3,1,0.071259,3.253782,[ 6 24] ; [ 8 10],[ 8.75 21.25] ; [ 5.25 12.75],0
b2,1,0.071259,3.253782,[ 6 24] ; [ 8 10],[ 8.75 21.25] ; [ 5.25 12.75],0
p6,1,0.083812,2.98938,[14 29] ; [13 11],[17.32835821 25.67164179] ; [ 9.67164179 14.32835821],0
n4,1,0.092431,2.831518,[29 13] ; [21  3],[31.81818182 10.18181818] ; [18.18181818  5.81818182],0
v1,1,0.103312,2.653661,[19 24] ; [15  8],[22.15151515 20.84848485] ; [11.84848485 11.15151515],0
n5,1,0.116854,2.458995,[32 10] ; [22  2],[34.36363636  7.63636364] ; [19.63636364  4.36363636],0
r4,1,0.142646,2.149182,[36  7] ; [23  1],[37.86567164  5.13432836] ; [21.13432836  2.86567164],0
s3,1,0.198538,1.653098,[27 16] ; [18  5],[29.31818182 13.68181818] ; [15.68181818  7.31818182],0
d3,1,0.20161,1.630674,[13 30] ; [11 13],[15.40298507 27.59701493] ; [ 8.59701493 15.40298507],0
s8,1,0.302969,1.061081,[25 18] ; [17  7],[26.95522388 16.04477612] ; [15.04477612  8.95522388],0
s5,1,0.305204,1.051318,[15 28] ; [11 12],[16.93939394 26.06060606] ; [ 9.06060606 13.93939394],0
p5,1,0.310643,1.027939,[ 5 38] ; [ 5 19],[ 6.41791045 36.58208955] ; [ 3.58208955 20.41791045],0
a6,1,0.396062,0.720249,[26 17] ; [17  7],[27.59701493 15.40298507] ; [15.40298507  8.59701493],0
d2,1,0.403043,0.699227,[15 28] ; [ 6 18],[13.47761194 29.52238806] ; [ 7.52238806 16.47761194],0
a5,1,0.403043,0.699227,[28 15] ; [18  6],[29.52238806 13.47761194] ; [16.47761194  7.52238806],0
a4,1,0.405288,0.69258,[13 30] ; [ 5 19],[11.55223881 31.44776119] ; [ 6.44776119 17.55223881],0
d1,1,0.443084,0.588281,[ 4 39] ; [ 1 23],[ 3.20895522 39.79104478] ; [ 1.79104478 22.20895522],0
p3,1,0.453305,0.562375,[17 25] ; [12 12],[18.45454545 23.54545455] ; [10.54545455 13.45454545],0
p2,1,0.466065,0.531289,[37  6] ; [19  5],[35.94029851  7.05970149] ; [20.05970149  3.94029851],0
p1,1,0.466065,0.531289,[ 6 37] ; [ 5 19],[ 7.05970149 35.94029851] ; [ 3.94029851 20.05970149],0
s2,1,0.506184,0.441948,[27 16] ; [17  7],[28.23880597 14.76119403] ; [15.76119403  8.23880597],0
u3,1,0.562343,0.335664,[8 8] ; [5 3],[8.66666667 7.33333333] ; [4.33333333 3.66666667],0
v4,1,0.610006,0.260167,[38  3] ; [23  1],[38.47692308  2.52307692] ; [22.52307692  1.47692308],0
p7,1,0.632804,0.228278,[28 15] ; [17  7],[28.88059701 14.11940299] ; [16.11940299  7.88059701],0
u1,1,0.641592,0.216666,[ 3 40] ; [ 1 23],[ 2.56716418 40.43283582] ; [ 1.43283582 22.56716418],0
b4,1,0.647217,0.209427,[19 24] ; [12 12],[19.89552239 23.10447761] ; [11.10447761 12.89552239],0
a2,1,0.6725,0.178691,[ 5 38] ; [ 2 22],[ 4.49253731 38.50746269] ; [ 2.50746269 21.49253731],0
r3,1,0.681596,0.168335,[39  4] ; [21  3],[38.50746269  4.49253731] ; [21.49253731  2.50746269],0
n3,1,0.726053,0.122767,[13  4] ; [5 1],[13.30434783  3.69565217] ; [4.69565217 1.30434783],0
a3,1,0.751045,0.100655,[27 16] ; [16  8],[27.59701493 15.40298507] ; [15.40298507  8.59701493],0
s6,1,0.793224,0.06871,[34  9] ; [18  4],[34.4  8.6] ; [17.6  4.4],0
a8,1,0.830809,0.045652,[ 6 34] ; [ 3 20],[ 5.71428571 34.28571429] ; [ 3.28571429 19.71428571],0
b5,1,0.841822,0.039825,[24 19] ; [14 10],[24.3880597 18.6119403] ; [13.6119403 10.3880597],0
p9,1,0.842763,0.039347,[35  8] ; [20  4],[35.29850746  7.70149254] ; [19.70149254  4.29850746],0
s1,1,0.860434,0.030913,[ 3 39] ; [ 2 22],[ 3.18181818 38.81818182] ; [ 1.81818182 22.18181818],0
a7,1,0.86456,0.029095,[26 17] ; [14 10],[25.67164179 17.32835821] ; [14.32835821  9.67164179],0
p4,1,0.86456,0.029095,[26 17] ; [14 10],[25.67164179 17.32835821] ; [14.32835821  9.67164179],0
p11,1,0.91266,0.012031,[31 12] ; [17  7],[30.80597015 12.19402985] ; [17.19402985  6.80597015],0
p12,1,0.926744,0.008453,[ 2 41] ; [ 1 23],[ 1.92537313 41.07462687] ; [ 1.07462687 22.92537313],0
d5,1,0.927269,0.008332,[22 21] ; [12 12],[21.82089552 21.17910448] ; [12.17910448 11.82089552],0
p10,1,0.943179,0.00508,[37  5] ; [21  3],[36.90909091  5.09090909] ; [21.09090909  2.90909091],0
p8,1,0.957421,0.002851,[23 20] ; [13 11],[23.10447761 19.89552239] ; [12.89552239 11.10447761],0
b1,1,0.987696,0.000238,[18 25] ; [10 14],[17.97014925 25.02985075] ; [10.02985075 13.97014925],0
n1,1,1.0,0.0,[8 8] ; [3 3],[8. 8.] ; [3. 3.],0
u2,1,1.0,0.0,[8 8] ; [4 4],[8. 8.] ; [4. 4.],0
