Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.307573,[91  7] ; [48 26],[79.19767442 18.80232558] ; [59.80232558 14.19767442],1
p8,1,5e-06,20.883403,[82 16] ; [38 36],[68.37209302 29.62790698] ; [51.62790698 22.37209302],1
p10,1,0.001323,10.310746,[95  3] ; [62 13],[88.93641618  9.06358382] ; [68.06358382  6.93641618],0
s4,1,0.001378,10.234534,[32 64] ; [ 9 65],[23.15294118 72.84705882] ; [17.84705882 56.15294118],0
p4,1,0.004263,8.168347,[89  9] ; [56 19],[82.13872832 15.86127168] ; [62.86127168 12.13872832],0
s7,1,0.012796,6.197092,[71 21] ; [40 28],[63.825 28.175] ; [47.175 20.825],0
s2,1,0.018243,5.572671,[77 21] ; [46 28],[70.08139535 27.91860465] ; [52.91860465 21.08139535],0
a1,1,0.034352,4.477099,[11 87] ; [ 2 73],[ 7.36416185 90.63583815] ; [ 5.63583815 69.36416185],0
p12,1,0.034468,4.471319,[17 80] ; [ 5 70],[12.40697674 84.59302326] ; [ 9.59302326 65.40697674],0
p9,1,0.039719,4.229848,[95  3] ; [66  8],[91.73255814  6.26744186] ; [69.26744186  4.73255814],0
s8,1,0.065118,3.401993,[64 34] ; [38 36],[58.11627907 39.88372093] ; [43.88372093 30.11627907],0
b5,1,0.088195,2.907006,[46 52] ; [45 30],[51.54913295 46.45086705] ; [39.45086705 35.54913295],0
p1,1,0.11074,2.543625,[19 78] ; [ 8 67],[15.22674419 81.77325581] ; [11.77325581 63.22674419],0
s1,1,0.11649,2.463895,[ 2 96] ; [ 5 68],[ 4.01169591 93.98830409] ; [ 2.98830409 70.01169591],0
r3,1,0.129606,2.297223,[95  2] ; [70  5],[93.05232558  3.94767442] ; [71.94767442  3.05232558],0
p5,1,0.148553,2.087051,[32 66] ; [17 58],[27.75722543 70.24277457] ; [21.24277457 53.75722543],0
v4,1,0.179423,1.802398,[93  5] ; [74  1],[94.60115607  3.39884393] ; [72.39884393  2.60115607],0
b2,1,0.180324,1.794948,[29 30] ; [17 30],[25.60377358 33.39622642] ; [20.39622642 26.60377358],0
b3,1,0.180324,1.794948,[29 30] ; [17 30],[25.60377358 33.39622642] ; [20.39622642 26.60377358],0
u3,1,0.200618,1.637868,[14  3] ; [10  6],[12.36363636  4.63636364] ; [11.63636364  4.36363636],0
a7,1,0.210215,1.569946,[69 29] ; [46 29],[65.14450867 32.85549133] ; [49.85549133 25.14450867],0
n3,1,0.213731,1.545974,[12  8] ; [9 2],[13.5483871  6.4516129] ; [7.4516129 3.5483871],0
v1,1,0.255986,1.290336,[66 32] ; [43 30],[62.46783626 35.53216374] ; [46.53216374 26.46783626],0
