Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.00518,7.815616,[ 2 12] ; [35 28],[6.72727273 7.27272727] ; [30.27272727 32.72727273],0
n3,1,0.008685,6.886511,[3 4] ; [32  5],[5.56818182 1.43181818] ; [29.43181818  7.56818182],0
s6,1,0.015292,5.882541,[19  6] ; [96 95],[13.31018519 11.68981481] ; [101.68981481  89.31018519],0
s2,1,0.021109,5.317761,[13 12] ; [ 56 136],[ 7.94930876 17.05069124] ; [ 61.05069124 130.94930876],0
n5,1,0.02346,5.134119,[25  2] ; [139  53],[20.21917808  6.78082192] ; [143.78082192  48.21917808],0
v3,1,0.028291,4.810223,[ 5 21] ; [ 77 108],[10.1042654 15.8957346] ; [ 71.8957346 113.1042654],0
n6,1,0.029167,4.757719,[26  1] ; [151  41],[21.82191781  5.17808219] ; [155.17808219  36.82191781],0
s8,1,0.040929,4.178965,[10 17] ; [ 38 155],[ 5.89090909 21.10909091] ; [ 42.10909091 150.89090909],0
a3,1,0.049988,3.841873,[13 14] ; [130  63],[17.55  9.45] ; [125.45  67.55],0
b1,1,0.071278,3.253335,[ 6 21] ; [ 78 116],[10.26244344 16.73755656] ; [ 73.73755656 120.26244344],0
s5,1,0.074328,3.18475,[10 14] ; [ 47 144],[ 6.3627907 17.6372093] ; [ 50.6372093 140.3627907],0
a7,1,0.087182,2.925647,[23  4] ; [133  59],[19.23287671  7.76712329] ; [136.76712329  55.23287671],0
r1,1,0.108544,2.575295,[18  9] ; [154  38],[21.20547945  5.79452055] ; [150.79452055  41.20547945],0
p2,1,0.135539,2.227884,[20  7] ; [163  28],[22.66513761  4.33486239] ; [160.33486239  30.66513761],0
v2,1,0.183317,1.770523,[14 13] ; [121  65],[17.11267606  9.88732394] ; [117.88732394  68.11267606],0
b2,1,0.184848,1.758207,[ 3 10] ; [48 66],[5.22047244 7.77952756] ; [45.77952756 68.22047244],0
b3,1,0.184848,1.758207,[ 3 10] ; [48 66],[5.22047244 7.77952756] ; [45.77952756 68.22047244],0
n1,1,0.228016,1.453193,[1 6] ; [14 23],[2.38636364 4.61363636] ; [12.61363636 24.38636364],0
p4,1,0.260643,1.265338,[18  9] ; [106  86],[15.28767123 11.71232877] ; [108.71232877  83.28767123],0
p7,1,0.276028,1.186545,[14 13] ; [118  70],[16.57674419 10.42325581] ; [115.42325581  72.57674419],0
p3,1,0.291293,1.113634,[15 12] ; [ 85 105],[12.44239631 14.55760369] ; [ 87.55760369 102.44239631],0
d2,1,0.315414,1.007869,[ 9 18] ; [ 84 109],[11.41363636 15.58636364] ; [ 81.58636364 111.41363636],0
s3,1,0.331135,0.944453,[12 14] ; [ 69 121],[ 9.75 16.25] ; [ 71.25 118.75],0
r4,1,0.347894,0.881123,[25  2] ; [167  27],[23.45701357  3.54298643] ; [168.54298643  25.45701357],0
p11,1,0.364794,0.821321,[20  7] ; [158  36],[21.74660633  5.25339367] ; [156.25339367  37.74660633],0
p1,1,0.367864,0.810868,[ 1 26] ; [ 17 177],[ 2.19909502 24.80090498] ; [ 15.80090498 178.19909502],0
d3,1,0.418973,0.653193,[19  8] ; [121  73],[17.1040724  9.8959276] ; [122.8959276  71.1040724],0
p10,1,0.424133,0.638835,[23  4] ; [150  41],[21.4266055  5.5733945] ; [151.5733945  39.4266055],0
b5,1,0.448372,0.574764,[19  8] ; [122  72],[17.22624434  9.77375566] ; [123.77375566  70.22624434],0
r3,1,0.489502,0.477621,[26  1] ; [178  14],[25.15068493  1.84931507] ; [178.84931507  13.15068493],0
a8,1,0.586341,0.296095,[ 2 24] ; [ 20 158],[ 2.80392157 23.19607843] ; [ 19.19607843 158.80392157],0
s1,1,0.604456,0.268327,[ 1 26] ; [  4 186],[ 0.62211982 26.37788018] ; [  4.37788018 185.62211982],0
d1,1,0.634275,0.226308,[14 13] ; [110  84],[15.14932127 11.85067873] ; [108.85067873  85.14932127],0
v4,1,0.665004,0.187502,[26  1] ; [181  11],[25.52054795  1.47945205] ; [181.47945205  10.52054795],0
b4,1,0.674514,0.176368,[15 12] ; [116  78],[16.00452489 10.99547511] ; [114.99547511  79.00452489],0
a6,1,0.676311,0.174308,[16 11] ; [123  71],[16.98190045 10.01809955] ; [122.01809955  71.98190045],0
n2,1,0.687423,0.16189,[5 2] ; [29  8],[5.40909091 1.59090909] ; [28.59090909  8.40909091],0
a4,1,0.691534,0.15743,[11 16] ; [ 86 106],[11.95890411 15.04109589] ; [ 85.04109589 106.95890411],0
a5,1,0.710715,0.137564,[20  7] ; [137  57],[19.18099548  7.81900452] ; [137.81900452  56.18099548],0
d4,1,0.748057,0.103171,[21  6] ; [156  38],[21.62443439  5.37556561] ; [155.37556561  38.62443439],0
d5,1,0.753792,0.098372,[22  5] ; [153  41],[21.3800905  5.6199095] ; [153.6199095  40.3800905],0
p6,1,0.777742,0.079673,[ 9 18] ; [ 57 129],[ 8.36619718 18.63380282] ; [ 57.63380282 128.36619718],0
p8,1,0.789244,0.071445,[14 12] ; [97 93],[13.36111111 12.63888889] ; [97.63888889 92.36111111],0
p9,1,0.799491,0.064519,[23  4] ; [159  32],[22.5412844  4.4587156] ; [159.4587156  31.5412844],0
r2,1,0.823426,0.049792,[25  2] ; [179  12],[25.26605505  1.73394495] ; [178.73394495  12.26605505],0
u3,1,0.877764,0.023656,[8 6] ; [38 26],[8.25641026 5.74358974] ; [37.74358974 26.25641026],0
u1,1,0.910423,0.012658,[ 3 24] ; [ 23 171],[ 3.17647059 23.82352941] ; [ 22.82352941 171.17647059],0
p5,1,0.941284,0.005425,[ 2 25] ; [ 15 177],[ 2.09589041 24.90410959] ; [ 14.90410959 177.09589041],0
a2,1,0.945228,0.00472,[ 5 22] ; [ 37 157],[ 5.13122172 21.86877828] ; [ 36.86877828 157.13122172],0
