Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,4.3e-05,16.722583,[5 2] ; [91  1],[6.78787879 0.21212121] ; [89.21212121  2.78787879],1
r4,1,5.2e-05,16.369724,[3 4] ; [86  7],[6.23 0.77] ; [82.77 10.23],1
s6,1,0.002499,9.141046,[2 4] ; [77 15],[4.83673469 1.16326531] ; [74.16326531 17.83673469],0
s2,1,0.003533,8.509309,[1 6] ; [64 29],[4.55 2.45] ; [60.45 32.55],0
p9,1,0.004532,8.057474,[3 4] ; [76 13],[5.76041667 1.23958333] ; [73.23958333 15.76041667],0
n2,1,0.005034,7.867179,[1 2] ; [24  2],[2.5862069 0.4137931] ; [22.4137931  3.5862069],0
v1,1,0.035176,4.436596,[1 6] ; [50 40],[3.68041237 3.31958763] ; [47.31958763 42.68041237],0
n6,1,0.061591,3.494029,[4 3] ; [78 14],[5.7979798 1.2020202] ; [76.2020202 15.7979798],0
r3,1,0.062914,3.458851,[5 2] ; [85  7],[6.36363636 0.63636364] ; [83.63636364  8.36363636],0
d2,1,0.068135,3.327391,[6 1] ; [46 46],[3.67676768 3.32323232] ; [48.32323232 43.67676768],0
b5,1,0.129527,2.298163,[2 5] ; [54 39],[3.92 3.08] ; [52.08 40.92],0
p10,1,0.140957,2.167482,[4 3] ; [75 18],[5.53 1.47] ; [73.47 19.53],0
p7,1,0.148442,2.088188,[2 5] ; [50 38],[3.83157895 3.16842105] ; [48.16842105 39.83157895],0
v2,1,0.166221,1.916695,[2 5] ; [49 39],[3.75789474 3.24210526] ; [47.24210526 40.75789474],0
s8,1,0.207674,1.587567,[2 5] ; [49 43],[3.60606061 3.39393939] ; [47.39393939 44.60606061],0
a1,1,0.242445,1.366319,[1 6] ; [ 4 89],[0.35 6.65] ; [ 4.65 88.35],0
p2,1,0.291718,1.111675,[4 3] ; [70 23],[5.18 1.82] ; [68.82 24.18],0
b1,1,0.307488,1.041435,[4 3] ; [35 58],[2.73 4.27] ; [36.27 56.73],0
a8,1,0.339732,0.911442,[2 5] ; [12 69],[1.11363636 5.88636364] ; [12.88636364 68.11363636],0
p3,1,0.373655,0.791475,[1 6] ; [28 65],[2.03 4.97] ; [26.97 66.03],0
a5,1,0.402129,0.70195,[4 3] ; [67 26],[4.97 2.03] ; [66.03 26.97],0
s4,1,0.446359,0.579882,[1 6] ; [25 66],[1.85714286 5.14285714] ; [24.14285714 66.85714286],0
b2,1,0.449124,0.572861,[4 3] ; [24 33],[3.0625 3.9375] ; [24.9375 32.0625],0
b3,1,0.449124,0.572861,[4 3] ; [24 33],[3.0625 3.9375] ; [24.9375 32.0625],0
n3,1,0.462336,0.540234,[1 1] ; [20  7],[1.44827586 0.55172414] ; [19.55172414  7.44827586],0
a4,1,0.488132,0.480642,[2 5] ; [39 54],[2.87 4.13] ; [38.13 54.87],0
s7,1,0.519411,0.415062,[3 4] ; [51 41],[3.81818182 3.18181818] ; [50.18181818 41.81818182],0
p5,1,0.525,0.404061,[1 6] ; [ 7 86],[0.56 6.44] ; [ 7.44 85.56],0
d5,1,0.532607,0.389414,[6 1] ; [70 23],[5.32 1.68] ; [70.68 22.32],0
n4,1,0.536485,0.382094,[4 3] ; [63 29],[4.73737374 2.26262626] ; [62.26262626 29.73737374],0
n5,1,0.536485,0.382094,[4 3] ; [63 29],[4.73737374 2.26262626] ; [62.26262626 29.73737374],0
s3,1,0.550214,0.356935,[4 3] ; [62 29],[4.71428571 2.28571429] ; [61.28571429 29.71428571],0
p6,1,0.591149,0.288554,[1 6] ; [21 70],[1.57142857 5.42857143] ; [20.42857143 70.57142857],0
b4,1,0.594086,0.284009,[5 2] ; [57 36],[4.34 2.66] ; [57.66 35.34],0
r1,1,0.610058,0.26009,[5 2] ; [74 19],[5.53 1.47] ; [73.47 19.53],0
d3,1,0.654954,0.199711,[3 4] ; [48 45],[3.57 3.43] ; [47.43 45.57],0
d1,1,0.73602,0.113655,[4 3] ; [47 46],[3.57 3.43] ; [47.43 45.57],0
n1,1,0.765064,0.089304,[2 1] ; [15 11],[1.75862069 1.24137931] ; [15.24137931 10.75862069],0
p1,1,0.781594,0.076863,[1 6] ; [10 82],[0.77777778 6.22222222] ; [10.22222222 81.77777778],0
p8,1,0.7866,0.073294,[2 4] ; [35 55],[2.3125 3.6875] ; [34.6875 55.3125],0
a7,1,0.800691,0.063732,[4 3] ; [57 35],[4.31313131 2.68686869] ; [56.68686869 35.31313131],0
u3,1,0.83224,0.044872,[1 1] ; [15 11],[1.14285714 0.85714286] ; [14.85714286 11.14285714],0
a3,1,0.899006,0.016108,[5 2] ; [67 24],[5.14285714 1.85714286] ; [66.85714286 24.14285714],0
a6,1,0.935917,0.006465,[4 3] ; [54 38],[4.1010101 2.8989899] ; [53.8989899 38.1010101],0
p11,1,0.972147,0.001219,[5 2] ; [67 26],[5.04 1.96] ; [66.96 26.04],0
