Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4e-06,21.394663,[172  69] ; [39 50],[154.09393939  86.90606061] ; [56.90606061 32.09393939],1
n4,1,6e-06,20.371472,[182  61] ; [44 46],[164.91891892  78.08108108] ; [61.08108108 28.91891892],1
p10,1,1.6e-05,18.65691,[175  66] ; [42 47],[158.47575758  82.52424242] ; [58.52424242 30.47575758],1
v4,1,1.6e-05,18.556558,[226  18] ; [67 22],[214.69069069  29.30930931] ; [78.30930931 10.69069069],1
p11,1,2.8e-05,17.569968,[181  63] ; [45 45],[165.10179641  78.89820359] ; [60.89820359 29.10179641],1
p9,1,3.6e-05,17.0928,[181  59] ; [46 43],[165.59270517  74.40729483] ; [61.40729483 27.59270517],1
p2,1,0.000125,14.715349,[187  57] ; [49 40],[172.92492492  71.07507508] ; [63.07507508 25.92492492],1
r3,1,0.000316,12.970658,[223  21] ; [69 21],[213.31736527  30.68263473] ; [78.68263473 11.31736527],1
r4,1,0.000493,12.1424,[201  43] ; [58 32],[189.20958084  54.79041916] ; [69.79041916 20.20958084],1
s7,1,0.002462,9.168289,[ 87 150] ; [15 66],[ 76.01886792 160.98113208] ; [25.98113208 55.01886792],0
s6,1,0.003448,8.553631,[121 120] ; [29 61],[109.21450151 131.78549849] ; [40.78549849 49.21450151],0
s8,1,0.005885,7.585216,[ 81 163] ; [16 74],[ 70.86227545 173.13772455] ; [26.13772455 63.86227545],0
d1,1,0.01193,6.321214,[130 114] ; [34 56],[119.80838323 124.19161677] ; [44.19161677 45.80838323],0
b1,1,0.012473,6.242386,[ 93 151] ; [48 42],[103.00598802 140.99401198] ; [37.99401198 52.00598802],0
d5,1,0.014487,5.977822,[188  55] ; [57 32],[179.32228916  63.67771084] ; [65.67771084 23.32228916],0
r2,1,0.018963,5.504916,[213  27] ; [70 19],[206.443769  33.556231] ; [76.556231 12.443769],0
p3,1,0.042565,4.112586,[ 88 155] ; [22 68],[ 80.27027027 162.72972973] ; [29.72972973 60.27027027],0
p6,1,0.055613,3.663609,[ 62 179] ; [14 75],[ 55.5030303 185.4969697] ; [20.4969697 68.5030303],0
a3,1,0.067492,3.342993,[161  83] ; [49 40],[153.87387387  90.12612613] ; [56.12612613 32.87387387],0
s1,1,0.070459,3.272298,[  6 235] ; [ 6 84],[  8.73716012 232.26283988] ; [ 3.26283988 86.73716012],0
s2,1,0.086982,2.929362,[ 92 151] ; [25 65],[ 85.37837838 157.62162162] ; [31.62162162 58.37837838],0
p4,1,0.100237,2.701762,[111 130] ; [32 57],[104.43333333 136.56666667] ; [38.56666667 50.43333333],0
p8,1,0.1418,2.158314,[106 136] ; [31 58],[100.16314199 141.83685801] ; [36.83685801 52.16314199],0
a5,1,0.149888,2.073389,[154  90] ; [49 41],[148.2994012  95.7005988] ; [54.7005988 35.2994012],0
d4,1,0.151052,2.0616,[188  56] ; [61 27],[183.  61.] ; [66. 22.],0
u2,1,0.20224,1.626124,[38 44] ; [24 17],[41.33333333 40.66666667] ; [20.66666667 20.33333333],0
v2,1,0.230595,1.437187,[ 88 147] ; [25 58],[ 83.50628931 151.49371069] ; [29.49371069 53.50628931],0
d3,1,0.239083,1.385996,[158  85] ; [51 37],[153.43504532  89.56495468] ; [55.56495468 32.43504532],0
r1,1,0.239727,1.382197,[171  73] ; [57 33],[166.56287425  77.43712575] ; [61.43712575 28.56287425],0
a1,1,0.24362,1.359527,[  9 235] ; [ 6 84],[ 10.95808383 233.04191617] ; [ 4.04191617 85.95808383],0
n3,1,0.253193,1.3056,[53 26] ; [16 13],[50.47222222 28.52777778] ; [18.52777778 10.47222222],0
u3,1,0.274061,1.196307,[34 47] ; [21 19],[36.81818182 44.18181818] ; [18.18181818 21.81818182],0
n2,1,0.283783,1.148882,[52 27] ; [17 14],[49.55454545 29.44545455] ; [19.44545455 11.55454545],0
a6,1,0.298151,1.082448,[155  89] ; [62 27],[159.003003  84.996997] ; [57.996997 31.003003],0
d2,1,0.315334,1.008203,[105 138] ; [33 56],[101.0060241 141.9939759] ; [36.9939759 52.0060241],0
u1,1,0.33529,0.928358,[ 31 213] ; [ 8 82],[ 28.49101796 215.50898204] ; [10.50898204 79.49101796],0
a7,1,0.336152,0.925052,[170  73] ; [58 32],[166.37837838  76.62162162] ; [61.62162162 28.37837838],0
p5,1,0.345842,0.888657,[ 11 233] ; [ 2 87],[  9.52552553 234.47447447] ; [ 3.47447447 85.52552553],0
v3,1,0.401976,0.702406,[ 62 179] ; [18 67],[ 59.14110429 181.85889571] ; [20.85889571 64.14110429],0
a8,1,0.42711,0.630669,[ 29 200] ; [ 8 77],[ 26.98407643 202.01592357] ; [10.01592357 74.98407643],0
b2,1,0.45662,0.554166,[40 91] ; [13 39],[37.93989071 93.06010929] ; [15.06010929 36.93989071],0
b3,1,0.45662,0.554166,[40 91] ; [13 39],[37.93989071 93.06010929] ; [15.06010929 36.93989071],0
u4,1,0.461095,0.543235,[  1 243] ; [ 1 89],[  1.46107784 242.53892216] ; [ 0.53892216 89.46107784],0
p7,1,0.647643,0.208885,[126 115] ; [43 44],[124.17378049 116.82621951] ; [44.82621951 42.17378049],0
s3,1,0.7171,0.131288,[111 130] ; [39 50],[109.54545455 131.45454545] ; [40.45454545 48.54545455],0
a2,1,0.771465,0.084367,[ 44 200] ; [15 75],[ 43.10179641 200.89820359] ; [15.89820359 74.10179641],0
s4,1,0.856167,0.032854,[ 34 207] ; [12 78],[ 33.49244713 207.50755287] ; [12.50755287 77.49244713],0
a4,1,0.856931,0.032502,[ 89 154] ; [32 58],[ 88.2972973 154.7027027] ; [32.7027027 57.2972973],0
n1,1,0.866144,0.028412,[25 54] ; [10 20],[25.36697248 53.63302752] ; [ 9.63302752 20.36697248],0
b4,1,0.869915,0.026819,[138 106] ; [50 40],[137.34131737 106.65868263] ; [50.65868263 39.34131737],0
b5,1,0.947595,0.00432,[140 104] ; [52 38],[140.26347305 103.73652695] ; [51.73652695 38.26347305],0
p1,1,0.966751,0.001738,[ 14 230] ; [ 5 84],[ 13.92192192 230.07807808] ; [ 5.07807808 83.92192192],0
