Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,6.1e-05,16.075986,[ 7 25] ; [20  7],[14.6440678 17.3559322] ; [12.3559322 14.6440678],1
a2,1,8.7e-05,15.407858,[ 2 30] ; [14 13],[ 8.6779661 23.3220339] ; [ 7.3220339 19.6779661],1
d2,1,0.000219,13.663462,[ 9 23] ; [20  6],[16. 16.] ; [13. 13.],1
d3,1,0.000683,11.536044,[15 17] ; [24  3],[21.15254237 10.84745763] ; [17.84745763  9.15254237],1
p9,1,0.002624,9.052109,[ 5 26] ; [14 12],[10.33333333 20.66666667] ; [ 8.66666667 17.33333333],0
a5,1,0.003071,8.764823,[14 18] ; [22  5],[19.52542373 12.47457627] ; [16.47457627 10.52542373],0
a6,1,0.004449,8.090788,[16 16] ; [23  4],[21.15254237 10.84745763] ; [17.84745763  9.15254237],0
a3,1,0.048796,3.882349,[17 15] ; [21  6],[20.61016949 11.38983051] ; [17.38983051  9.61016949],0
s7,1,0.059163,3.560708,[ 9 22] ; [13 11],[12.4 18.6] ; [ 9.6 14.4],0
n1,1,0.066075,3.377922,[5 2] ; [3 8],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
p3,1,0.066169,3.375582,[13 19] ; [ 5 22],[ 9.76271186 22.23728814] ; [ 8.23728814 18.76271186],0
b1,1,0.087287,2.923706,[19 13] ; [10 17],[15.72881356 16.27118644] ; [13.27118644 13.72881356],0
v2,1,0.092963,2.822302,[16 16] ; [18  7],[19.0877193 12.9122807] ; [14.9122807 10.0877193],0
u2,1,0.095437,2.780183,[6 8] ; [5 1],[7.7 6.3] ; [3.3 2.7],0
a7,1,0.099495,2.713613,[18 14] ; [20  6],[20.96551724 11.03448276] ; [17.03448276  8.96551724],0
u3,1,0.12506,2.352778,[7 8] ; [5 1],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
p2,1,0.127126,2.327251,[15 17] ; [18  9],[17.89830508 14.10169492] ; [15.10169492 11.89830508],0
r3,1,0.137917,2.201051,[25  7] ; [24  2],[27.03448276  4.96551724] ; [21.96551724  4.03448276],0
s8,1,0.155375,2.018674,[ 9 23] ; [12 14],[11.5862069 20.4137931] ; [ 9.4137931 16.5862069],0
n6,1,0.17229,1.862906,[21 11] ; [22  5],[23.3220339  8.6779661] ; [19.6779661  7.3220339],0
v4,1,0.204854,1.607423,[26  6] ; [25  2],[27.66101695  4.33898305] ; [23.33898305  3.66101695],0
p6,1,0.221645,1.493687,[ 5 27] ; [ 7 17],[ 6.85714286 25.14285714] ; [ 5.14285714 18.85714286],0
p11,1,0.235159,1.409382,[14 18] ; [16 11],[16.27118644 15.72881356] ; [13.72881356 13.27118644],0
a8,1,0.254558,1.298116,[ 6 24] ; [ 2 21],[ 4.52830189 25.47169811] ; [ 3.47169811 19.52830189],0
b2,1,0.27009,1.216288,[ 6 16] ; [ 2 14],[ 4.63157895 17.36842105] ; [ 3.36842105 12.63157895],0
b3,1,0.27009,1.216288,[ 6 16] ; [ 2 14],[ 4.63157895 17.36842105] ; [ 3.36842105 12.63157895],0
s6,1,0.345797,0.888822,[17 15] ; [17  9],[18.75862069 13.24137931] ; [15.24137931 10.75862069],0
p5,1,0.387981,0.74526,[ 3 29] ; [ 1 26],[ 2.16949153 29.83050847] ; [ 1.83050847 25.16949153],0
s2,1,0.413452,0.668852,[11 20] ; [12 14],[12.50877193 18.49122807] ; [10.49122807 15.50877193],0
r1,1,0.437108,0.603864,[22 10] ; [21  6],[23.3220339  8.6779661] ; [19.6779661  7.3220339],0
b4,1,0.482551,0.493092,[21 11] ; [20  7],[22.23728814  9.76271186] ; [18.76271186  8.23728814],0
r4,1,0.507627,0.438955,[26  6] ; [20  7],[24.94915254  7.05084746] ; [21.05084746  5.94915254],0
n4,1,0.549559,0.358107,[24  8] ; [22  5],[24.94915254  7.05084746] ; [21.05084746  5.94915254],0
s3,1,0.570864,0.321239,[15 16] ; [14 11],[16.05357143 14.94642857] ; [12.94642857 12.05357143],0
n5,1,0.601011,0.273473,[18 14] ; [17 10],[18.98305085 13.01694915] ; [16.01694915 10.98305085],0
s5,1,0.641509,0.216774,[ 7 24] ; [ 7 18],[ 7.75 23.25] ; [ 6.25 18.75],0
r2,1,0.657372,0.196732,[30  2] ; [26  1],[30.37288136  1.62711864] ; [25.62711864  1.37288136],0
p1,1,0.657372,0.196732,[ 2 30] ; [ 1 26],[ 1.62711864 30.37288136] ; [ 1.37288136 25.62711864],0
s1,1,0.681004,0.168998,[ 2 30] ; [ 1 25],[ 1.65517241 30.34482759] ; [ 1.34482759 24.65517241],0
p4,1,0.727964,0.12099,[15 17] ; [11 15],[14.34482759 17.65517241] ; [11.65517241 14.34482759],0
v1,1,0.727964,0.12099,[17 15] ; [15 11],[17.65517241 14.34482759] ; [14.34482759 11.65517241],0
n3,1,0.750042,0.101496,[5 1] ; [10  3],[4.73684211 1.26315789] ; [10.26315789  2.73684211],0
a1,1,0.786886,0.073092,[ 3 29] ; [ 2 25],[ 2.71186441 29.28813559] ; [ 2.28813559 24.71186441],0
p8,1,0.898496,0.016272,[11 21] ; [ 9 16],[11.22807018 20.77192982] ; [ 8.77192982 16.22807018],0
s4,1,0.910989,0.012497,[ 4 28] ; [ 3 23],[ 3.86206897 28.13793103] ; [ 3.13793103 22.86206897],0
b5,1,0.932889,0.007091,[21 11] ; [18  9],[21.15254237 10.84745763] ; [17.84745763  9.15254237],0
p7,1,0.961934,0.002278,[13 19] ; [10 15],[12.9122807 19.0877193] ; [10.0877193 14.9122807],0
