Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.009616,6.704762,[ 3 11] ; [19 11],[7. 7.] ; [15. 15.],0
s7,1,0.016625,5.735538,[4 9] ; [21  9],[7.55813953 5.44186047] ; [17.44186047 12.55813953],0
s8,1,0.01797,5.599078,[ 2 12] ; [16 15],[5.6 8.4] ; [12.4 18.6],0
r3,1,0.029508,4.737703,[8 6] ; [26  4],[10.81818182  3.18181818] ; [23.18181818  6.81818182],0
s1,1,0.046989,3.945782,[ 3 11] ; [ 1 30],[ 1.24444444 12.75555556] ; [ 2.75555556 28.24444444],0
a1,1,0.046989,3.945782,[ 3 11] ; [ 1 30],[ 1.24444444 12.75555556] ; [ 2.75555556 28.24444444],0
b5,1,0.071766,3.242168,[6 8] ; [22  9],[8.71111111 5.28888889] ; [19.28888889 11.71111111],0
a5,1,0.071852,3.240207,[5 9] ; [20 11],[7.77777778 6.22222222] ; [17.22222222 13.77777778],0
a7,1,0.111363,2.534768,[9 5] ; [12 19],[6.53333333 7.46666667] ; [14.46666667 16.53333333],0
s5,1,0.143967,2.135032,[ 2 11] ; [11 18],[4.02380952 8.97619048] ; [ 8.97619048 20.02380952],0
p4,1,0.164973,1.928039,[5 9] ; [18 13],[7.15555556 6.84444444] ; [15.84444444 15.15555556],0
a2,1,0.168529,1.895984,[ 2 12] ; [ 1 30],[ 0.93333333 13.06666667] ; [ 2.06666667 28.93333333],0
p7,1,0.173101,1.855884,[5 7] ; [20 11],[6.97674419 5.02325581] ; [18.02325581 12.97674419],0
p11,1,0.173726,1.850494,[7 7] ; [22  9],[9.02222222 4.97777778] ; [19.97777778 11.02222222],0
p2,1,0.181746,1.783292,[8 5] ; [25  6],[9.75 3.25] ; [23.25  7.75],0
n5,1,0.198959,1.65,[7 7] ; [21  9],[8.90909091 5.09090909] ; [19.09090909 10.90909091],0
d5,1,0.252709,1.308267,[8 6] ; [23  8],[9.64444444 4.35555556] ; [21.35555556  9.64444444],0
a3,1,0.25577,1.291509,[7 7] ; [21 10],[8.71111111 5.28888889] ; [19.28888889 11.71111111],0
p9,1,0.345753,0.888982,[11  3] ; [20 11],[9.64444444 4.35555556] ; [21.35555556  9.64444444],0
n4,1,0.357467,0.846774,[7 7] ; [20 11],[8.4 5.6] ; [18.6 12.4],0
b2,1,0.422702,0.642792,[2 4] ; [ 4 18],[1.28571429 4.71428571] ; [ 4.71428571 17.28571429],0
b3,1,0.422702,0.642792,[2 4] ; [ 4 18],[1.28571429 4.71428571] ; [ 4.71428571 17.28571429],0
n6,1,0.424415,0.638058,[7 6] ; [20 10],[8.1627907 4.8372093] ; [18.8372093 11.1627907],0
u3,1,0.485845,0.485714,[3 4] ; [6 4],[3.70588235 3.29411765] ; [5.29411765 4.70588235],0
a4,1,0.497224,0.460857,[5 9] ; [ 8 23],[4.04444444 9.95555556] ; [ 8.95555556 22.04444444],0
p6,1,0.510704,0.432624,[ 4 10] ; [12 19],[4.97777778 9.02222222] ; [11.02222222 19.97777778],0
p1,1,0.516375,0.421127,[ 1 12] ; [ 1 30],[ 0.59090909 12.40909091] ; [ 1.40909091 29.59090909],0
p5,1,0.516375,0.421127,[ 1 12] ; [ 1 30],[ 0.59090909 12.40909091] ; [ 1.40909091 29.59090909],0
r2,1,0.598312,0.27755,[9 4] ; [17 11],[8.24390244 4.75609756] ; [17.75609756 10.24390244],0
v4,1,0.636906,0.222812,[8 5] ; [20  9],[8.66666667 4.33333333] ; [19.33333333  9.66666667],0
n2,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
r1,1,0.665079,0.187412,[ 4 10] ; [ 7 24],[ 3.42222222 10.57777778] ; [ 7.57777778 23.42222222],0
a6,1,0.693306,0.15553,[9 5] ; [18 13],[8.4 5.6] ; [18.6 12.4],0
d3,1,0.693306,0.15553,[9 5] ; [18 13],[8.4 5.6] ; [18.6 12.4],0
b1,1,0.730668,0.118499,[6 8] ; [15 16],[6.53333333 7.46666667] ; [14.46666667 16.53333333],0
b4,1,0.730668,0.118499,[6 8] ; [15 16],[6.53333333 7.46666667] ; [14.46666667 16.53333333],0
n1,1,0.750042,0.101496,[1 5] ; [ 3 10],[1.26315789 4.73684211] ; [ 2.73684211 10.26315789],0
d4,1,0.751731,0.100083,[11  3] ; [23  8],[10.57777778  3.42222222] ; [23.42222222  7.57777778],0
v1,1,0.756871,0.095847,[6 8] ; [11 18],[5.53488372 8.46511628] ; [11.46511628 17.53488372],0
d1,1,0.763256,0.090726,[7 7] ; [14 17],[6.53333333 7.46666667] ; [14.46666667 16.53333333],0
p10,1,0.763406,0.090608,[9 4] ; [20 11],[8.56818182 4.43181818] ; [20.43181818 10.56818182],0
p8,1,0.785671,0.07395,[5 9] ; [12 18],[5.40909091 8.59090909] ; [11.59090909 18.40909091],0
s4,1,0.804671,0.061161,[ 4 10] ; [10 21],[4.35555556 9.64444444] ; [ 9.64444444 21.35555556],0
d2,1,0.847846,0.036813,[5 9] ; [12 19],[5.28888889 8.71111111] ; [11.71111111 19.28888889],0
v3,1,0.848705,0.036394,[ 3 10] ; [ 8 23],[3.25 9.75] ; [ 7.75 23.25],0
n3,1,0.875975,0.024359,[3 3] ; [6 7],[2.84210526 3.15789474] ; [6.15789474 6.84210526],0
p3,1,0.885497,0.020737,[6 8] ; [14 17],[6.22222222 7.77777778] ; [13.77777778 17.22222222],0
s3,1,0.931419,0.007406,[11  3] ; [24  7],[10.88888889  3.11111111] ; [24.11111111  6.88888889],0
u2,1,0.949375,0.004031,[3 4] ; [4 5],[3.0625 3.9375] ; [3.9375 5.0625],0
