Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,86.562298,[ 9 35] ; [232  41],[33.4511041 10.5488959] ; [207.5488959  65.4511041],1
r3,1,0.0,52.35606,[23 21] ; [250  21],[38.13333333  5.86666667] ; [234.86666667  36.13333333],1
r2,1,0.0,39.371,[24 18] ; [249  22],[36.63258786  5.36741214] ; [236.36741214  34.63258786],1
p2,1,0.0,34.720555,[13 30] ; [204  68],[29.62222222 13.37777778] ; [187.37777778  84.62222222],1
r1,1,1e-06,24.607664,[15 29] ; [196  76],[29.37974684 14.62025316] ; [181.62025316  90.37974684],1
n6,1,1e-06,24.029337,[18 25] ; [212  61],[31.29746835 11.70253165] ; [198.70253165  74.29746835],1
p10,1,7e-06,20.194952,[14 29] ; [182  85],[27.18709677 15.81290323] ; [168.81290323  98.18709677],1
p9,1,2.6e-05,17.711821,[17 26] ; [190  74],[28.99348534 14.00651466] ; [178.00651466  85.99348534],1
p11,1,4.9e-05,16.482479,[17 27] ; [191  82],[28.87066246 15.12933754] ; [179.12933754  93.87066246],1
u3,1,6.5e-05,15.944102,[ 1 21] ; [52 50],[ 9.40322581 12.59677419] ; [43.59677419 58.40322581],1
p8,1,0.000157,14.281857,[ 5 37] ; [114 155],[16.07073955 25.92926045] ; [102.92926045 166.07073955],1
a7,1,0.000253,13.388943,[19 25] ; [192  78],[29.56687898 14.43312102] ; [181.43312102  88.56687898],1
p7,1,0.00031,13.008288,[11 33] ; [143 120],[22.07166124 21.92833876] ; [131.92833876 131.07166124],1
a6,1,0.000438,12.363529,[18 26] ; [185  86],[28.35555556 15.64444444] ; [174.64444444  96.35555556],1
n3,1,0.001068,10.706328,[ 7 13] ; [59 21],[13.2  6.8] ; [52.8 27.2],0
n2,1,0.001161,10.552133,[ 8 13] ; [61 20],[14.20588235  6.79411765] ; [54.79411765 26.20588235],0
s6,1,0.002251,9.332485,[10 34] ; [127 141],[19.32051282 24.67948718] ; [117.67948718 150.32051282],0
d3,1,0.007042,7.26224,[20 24] ; [179  90],[27.97444089 16.02555911] ; [171.02555911  97.97444089],0
