Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,98.375697,[426 113] ; [ 83 119],[370.24426451 168.75573549] ; [138.75573549  63.24426451],1
d3,1,0.0,90.424801,[429 110] ; [ 88 114],[376.0634278 162.9365722] ; [140.9365722  61.0634278],1
a2,1,0.0,30.884404,[160 382] ; [ 20 182],[131.12903226 410.87096774] ; [ 48.87096774 153.12903226],1
u1,1,0.0,27.356606,[122 420] ; [ 12 190],[ 97.61827957 444.38172043] ; [ 36.38172043 165.61827957],1
b5,1,8.4e-05,15.461877,[354 188] ; [100 102],[330.73655914 211.26344086] ; [123.26344086  78.73655914],1
r1,1,0.000219,13.664165,[449  89] ; [144  58],[431.12702703 106.87297297] ; [161.87297297  40.12702703],1
b1,1,0.00031,13.008589,[165 377] ; [ 90 112],[185.76612903 356.23387097] ; [ 69.23387097 132.76612903],1
r4,1,0.000489,12.157999,[513  29] ; [176  26],[501.9327957  40.0672043] ; [187.0672043  14.9327957],1
d1,1,0.001319,10.315552,[344 198] ; [102 100],[324.90860215 217.09139785] ; [121.09139785  80.90860215],0
r2,1,0.002441,9.184267,[517  19] ; [181  18],[509.01768707  26.98231293] ; [188.98231293  10.01768707],0
d5,1,0.002599,9.069476,[455  85] ; [150  51],[440.89068826  99.10931174] ; [164.10931174  36.89068826],0
v4,1,0.009111,6.800916,[524  15] ; [187  14],[517.87702703  21.12297297] ; [193.12297297   7.87702703],0
u3,1,0.011025,6.461328,[93 58] ; [21 30],[85.21782178 65.78217822] ; [28.78217822 22.21782178],0
v2,1,0.016221,5.778808,[318 199] ; [100  94],[303.94655415 213.05344585] ; [114.05344585  79.94655415],0
b2,1,0.017634,5.632152,[113 200] ; [64 69],[124.21748879 188.78251121] ; [52.78251121 80.21748879],0
b3,1,0.017634,5.632152,[113 200] ; [64 69],[124.21748879 188.78251121] ; [52.78251121 80.21748879],0
p10,1,0.031846,4.606747,[496  42] ; [175  26],[488.49526387  49.50473613] ; [182.50473613  18.49526387],0
p2,1,0.04785,3.915246,[473  67] ; [163  36],[464.73612991  75.26387009] ; [171.26387009  27.73612991],0
a5,1,0.062377,3.473022,[417 125] ; [142  60],[407.22849462 134.77150538] ; [151.77150538  50.22849462],0
n1,1,0.073653,3.19967,[32 68] ; [26 30],[37.17948718 62.82051282] ; [20.82051282 35.17948718],0
n5,1,0.074414,3.182865,[405 133] ; [163  37],[414.0704607 123.9295393] ; [153.9295393  46.0704607],0
s7,1,0.079475,3.075603,[257 262] ; [112  85],[267.47346369 251.52653631] ; [101.52653631  95.47346369],0
u2,1,0.092624,2.828173,[92 60] ; [24 27],[86.85714286 65.14285714] ; [29.14285714 21.85714286],0
d4,1,0.10308,2.657232,[457  83] ; [160  41],[449.63562753  90.36437247] ; [167.36437247  33.63562753],0
p4,1,0.121858,2.393277,[343 197] ; [114  85],[333.93775372 206.06224628] ; [123.06224628  75.93775372],0
s5,1,0.165041,1.927416,[178 343] ; [ 76 115],[185.86235955 335.13764045] ; [ 68.13764045 122.86235955],0
a1,1,0.173313,1.854055,[ 22 520] ; [ 13 189],[ 25.49731183 516.50268817] ; [  9.50268817 192.49731183],0
n4,1,0.183425,1.769656,[414 127] ; [163  38],[420.6967655 120.3032345] ; [156.3032345  44.6967655],0
s8,1,0.183935,1.765543,[248 291] ; [104  98],[256.04318489 282.95681511] ; [ 95.95681511 106.04318489],0
p12,1,0.245741,1.347353,[ 53 488] ; [ 14 185],[ 48.98243243 492.01756757] ; [ 18.01756757 180.98243243],0
b4,1,0.345493,0.889943,[316 226] ; [110  92],[310.33870968 231.66129032] ; [115.66129032  86.33870968],0
a3,1,0.373766,0.791105,[388 152] ; [151  50],[392.79352227 147.20647773] ; [146.20647773  54.79352227],0
s2,1,0.375795,0.784412,[290 248] ; [101 100],[284.65223275 253.34776725] ; [106.34776725  94.65223275],0
p8,1,0.398922,0.711572,[297 238] ; [103  95],[291.95088677 243.04911323] ; [108.04911323  89.95088677],0
