Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.75258,[1 8] ; [133  22],[7.35365854 1.64634146] ; [126.64634146  28.35365854],1
r3,1,0.006173,7.499158,[6 3] ; [144  11],[8.23170732 0.76829268] ; [141.76829268  13.23170732],0
r1,1,0.011729,6.351416,[3 6] ; [112  42],[6.34969325 2.65030675] ; [108.65030675  45.34969325],0
r2,1,0.020064,5.406333,[6 3] ; [141  14],[8.06707317 0.93292683] ; [138.93292683  16.06707317],0
s1,1,0.032567,4.568395,[1 8] ; [  2 153],[0.16463415 8.83536585] ; [  2.83536585 152.16463415],0
b1,1,0.034322,4.47858,[6 3] ; [ 50 105],[3.07317073 5.92682927] ; [ 52.92682927 102.07317073],0
a6,1,0.048451,3.894258,[3 6] ; [102  53],[5.76219512 3.23780488] ; [99.23780488 55.76219512],0
s6,1,0.068738,3.312912,[3 6] ; [98 56],[5.57668712 3.42331288] ; [95.42331288 58.57668712],0
v2,1,0.093425,2.814347,[2 7] ; [74 71],[4.44155844 4.55844156] ; [71.55844156 73.44155844],0
p9,1,0.102492,2.666332,[7 2] ; [144  11],[8.28658537 0.71341463] ; [142.71341463  12.28658537],0
s8,1,0.102671,2.663549,[1 8] ; [59 96],[3.29268293 5.70731707] ; [56.70731707 98.29268293],0
n6,1,0.120896,2.405677,[4 5] ; [106  47],[6.11111111 2.88888889] ; [103.88888889  49.11111111],0
a7,1,0.137717,2.203287,[5 4] ; [119  35],[6.84662577 2.15337423] ; [117.15337423  36.84662577],0
p11,1,0.165836,1.920191,[5 4] ; [118  37],[6.75 2.25] ; [116.25  38.75],0
d5,1,0.225032,1.471989,[5 4] ; [114  40],[6.57055215 2.42944785] ; [112.42944785  41.57055215],0
v3,1,0.226355,1.463619,[1 8] ; [ 44 103],[2.59615385 6.40384615] ; [ 42.40384615 104.59615385],0
b4,1,0.256774,1.286065,[7 2] ; [91 64],[5.37804878 3.62195122] ; [92.62195122 62.37804878],0
a3,1,0.287823,1.129778,[7 2] ; [93 62],[5.48780488 3.51219512] ; [94.51219512 60.48780488],0
a5,1,0.295669,1.093627,[4 5] ; [96 59],[5.48780488 3.51219512] ; [94.51219512 60.48780488],0
p6,1,0.296676,1.089076,[1 8] ; [ 41 112],[2.33333333 6.66666667] ; [ 39.66666667 113.33333333],0
b5,1,0.315162,1.00892,[4 5] ; [95 60],[5.43292683 3.56707317] ; [93.56707317 61.43292683],0
p7,1,0.352338,0.865018,[4 5] ; [89 59],[5.33121019 3.66878981] ; [87.66878981 60.33121019],0
d3,1,0.364126,0.823613,[5 4] ; [107  46],[6.22222222 2.77777778] ; [105.77777778  47.22222222],0
p2,1,0.37266,0.794776,[6 3] ; [122  32],[7.06748466 1.93251534] ; [120.93251534  33.06748466],0
s2,1,0.379326,0.772886,[3 6] ; [75 80],[4.2804878 4.7195122] ; [73.7195122 81.2804878],0
a8,1,0.405821,0.691011,[1 8] ; [  7 139],[0.46451613 8.53548387] ; [  7.53548387 138.46451613],0
n2,1,0.406282,0.689655,[1 1] ; [44 14],[1.5 0.5] ; [43.5 14.5],0
p4,1,0.410852,0.676333,[3 6] ; [73 81],[4.19631902 4.80368098] ; [71.80368098 82.19631902],0
d1,1,0.420828,0.648001,[3 6] ; [73 82],[4.17073171 4.82926829] ; [71.82926829 83.17073171],0
d4,1,0.426441,0.632497,[6 3] ; [121  34],[6.9695122 2.0304878] ; [120.0304878  34.9695122],0
s5,1,0.474391,0.511729,[2 7] ; [ 51 100],[2.98125 6.01875] ; [ 50.01875 100.98125],0
d2,1,0.482113,0.49408,[2 7] ; [ 52 103],[2.96341463 6.03658537] ; [ 51.03658537 103.96341463],0
n1,1,0.500899,0.453032,[1 1] ; [16 41],[0.57627119 1.42372881] ; [16.42372881 40.57627119],0
p8,1,0.501676,0.45139,[3 5] ; [77 78],[3.92638037 4.07361963] ; [76.07361963 78.92638037],0
p1,1,0.52645,0.401238,[1 8] ; [  9 144],[0.55555556 8.44444444] ; [  9.44444444 143.55555556],0
a4,1,0.55407,0.350077,[2 7] ; [ 49 106],[2.79878049 6.20121951] ; [ 48.20121951 106.79878049],0
p3,1,0.586075,0.296516,[4 5] ; [ 55 100],[3.23780488 5.76219512] ; [55.76219512 99.23780488],0
s4,1,0.617701,0.249112,[3 6] ; [ 40 115],[2.3597561 6.6402439] ; [ 40.6402439 114.3597561],0
s7,1,0.669034,0.182734,[4 5] ; [56 94],[3.39622642 5.60377358] ; [56.60377358 93.39622642],0
u2,1,0.687125,0.162215,[1 1] ; [39 22],[1.26984127 0.73015873] ; [38.73015873 22.26984127],0
s3,1,0.717444,0.130955,[4 5] ; [78 76],[4.52760736 4.47239264] ; [77.47239264 76.52760736],0
n5,1,0.724993,0.123759,[3 6] ; [60 93],[3.5 5.5] ; [59.5 93.5],0
b2,1,0.791391,0.069963,[3 5] ; [22 45],[2.66666667 5.33333333] ; [22.33333333 44.66666667],0
b3,1,0.791391,0.069963,[3 5] ; [22 45],[2.66666667 5.33333333] ; [22.33333333 44.66666667],0
u1,1,0.887933,0.019859,[1 8] ; [ 15 140],[0.87804878 8.12195122] ; [ 15.12195122 139.87804878],0
v1,1,0.941651,0.005357,[4 5] ; [69 82],[4.10625 4.89375] ; [68.89375 82.10625],0
