Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,30.874471,[82 38] ; [ 4 27],[68.34437086 51.65562914] ; [17.65562914 13.34437086],1
p2,1,1e-05,19.560606,[93 26] ; [11 19],[83.06040268 35.93959732] ; [20.93959732  9.06040268],1
r3,1,1.8e-05,18.362685,[103  17] ; [15 15],[94.4 25.6] ; [23.6  6.4],1
r2,1,0.00019,13.92708,[100  18] ; [16 14],[92.48648649 25.51351351] ; [23.51351351  6.48648649],1
p9,1,0.000244,13.45844,[102  16] ; [17 13],[94.87837838 23.12162162] ; [24.12162162  5.87837838],1
p8,1,0.000888,11.048594,[55 63] ; [ 4 26],[47.04054054 70.95945946] ; [11.95945946 18.04054054],1
p11,1,0.000909,11.003443,[94 26] ; [15 16],[86.62251656 33.37748344] ; [22.37748344  8.62251656],1
s6,1,0.000913,10.997125,[67 50] ; [ 7 23],[58.89795918 58.10204082] ; [15.10204082 14.89795918],1
p10,1,0.001364,10.254447,[94 25] ; [15 15],[87.05369128 31.94630872] ; [21.94630872  8.05369128],0
n6,1,0.003457,8.549065,[101  19] ; [18 12],[95.2 24.8] ; [23.8  6.2],0
n2,1,0.008646,6.894498,[33  8] ; [5 7],[29.39622642 11.60377358] ; [8.60377358 3.39622642],0
s7,1,0.01064,6.524407,[47 65] ; [ 5 25],[41.01408451 70.98591549] ; [10.98591549 19.01408451],0
u2,1,0.017563,5.639254,[22 24] ; [ 2 13],[18.09836066 27.90163934] ; [5.90163934 9.09836066],0
s1,1,0.027157,4.880773,[  2 117] ; [ 3 28],[  3.96666667 115.03333333] ; [ 1.03333333 29.96666667],0
s5,1,0.028913,4.772778,[28 84] ; [ 2 28],[23.66197183 88.33802817] ; [ 6.33802817 23.66197183],0
v1,1,0.034483,4.470592,[54 61] ; [ 8 23],[48.83561644 66.16438356] ; [13.16438356 17.83561644],0
p7,1,0.036215,4.386974,[63 55] ; [10 21],[57.81208054 60.18791946] ; [15.18791946 15.81208054],0
s2,1,0.04208,4.131992,[51 69] ; [ 7 24],[46.09271523 73.90728477] ; [11.90728477 19.09271523],0
p6,1,0.057619,3.604614,[42 76] ; [ 5 24],[37.72789116 80.27210884] ; [ 9.27210884 19.72789116],0
d4,1,0.066709,3.362187,[83 37] ; [16 15],[78.67549669 41.32450331] ; [20.32450331 10.67549669],0
v2,1,0.079154,3.082181,[51 64] ; [ 8 22],[46.79310345 68.20689655] ; [12.20689655 17.79310345],0
p4,1,0.08334,2.998534,[63 56] ; [11 20],[58.70666667 60.29333333] ; [15.29333333 15.70666667],0
d5,1,0.089952,2.875224,[85 35] ; [17 14],[81.05960265 38.94039735] ; [20.94039735 10.05960265],0
u3,1,0.094844,2.79018,[17 30] ; [ 2 13],[14.40322581 32.59677419] ; [ 4.59677419 10.40322581],0
a8,1,0.099207,2.718242,[ 10 103] ; [ 6 25],[ 12.55555556 100.44444444] ; [ 3.44444444 27.55555556],0
n3,1,0.130416,2.287542,[30 11] ; [6 6],[27.8490566 13.1509434] ; [8.1509434 3.8490566],0
a7,1,0.142582,2.149869,[68 52] ; [13 18],[64.37086093 55.62913907] ; [16.62913907 14.37086093],0
s8,1,0.153729,2.034854,[39 81] ; [ 6 25],[35.7615894 84.2384106] ; [ 9.2384106 21.7615894],0
s3,1,0.173231,1.854755,[59 61] ; [11 20],[55.62913907 64.37086093] ; [14.37086093 16.62913907],0
p1,1,0.195804,1.6734,[ 10 110] ; [ 5 26],[ 11.9205298 108.0794702] ; [ 3.0794702 27.9205298],0
p3,1,0.249306,1.32719,[52 67] ; [10 21],[49.18666667 69.81333333] ; [12.81333333 18.18666667],0
a1,1,0.252426,1.309827,[  8 112] ; [ 4 27],[  9.53642384 110.46357616] ; [ 2.46357616 28.53642384],0
s4,1,0.275653,1.1884,[26 94] ; [ 4 27],[23.8410596 96.1589404] ; [ 6.1589404 24.8410596],0
n1,1,0.292034,1.110219,[16 23] ; [7 5],[17.58823529 21.41176471] ; [5.41176471 6.58823529],0
a4,1,0.303294,1.059655,[44 76] ; [ 8 22],[41.6 78.4] ; [10.4 19.6],0
v3,1,0.327351,0.959347,[37 80] ; [ 7 24],[34.78378378 82.21621622] ; [ 9.21621622 21.78378378],0
b2,1,0.329689,0.95012,[28 45] ; [ 5 14],[26.18478261 46.81521739] ; [ 6.81521739 12.18478261],0
b3,1,0.329689,0.95012,[28 45] ; [ 5 14],[26.18478261 46.81521739] ; [ 6.81521739 12.18478261],0
d2,1,0.330567,0.946675,[44 75] ; [14 16],[46.32214765 72.67785235] ; [11.67785235 18.32214765],0
b1,1,0.352219,0.865447,[47 73] ; [15 16],[49.27152318 70.72847682] ; [12.72847682 18.27152318],0
a3,1,0.352219,0.865447,[73 47] ; [16 15],[70.72847682 49.27152318] ; [18.27152318 12.72847682],0
p5,1,0.360565,0.835924,[ 15 104] ; [ 2 28],[ 13.57718121 105.42281879] ; [ 3.42281879 26.57718121],0
d3,1,0.399878,0.708692,[60 59] ; [13 18],[57.91333333 61.08666667] ; [15.08666667 15.91333333],0
d1,1,0.531708,0.391127,[50 70] ; [11 20],[48.47682119 71.52317881] ; [12.52317881 18.47682119],0
a5,1,0.602543,0.271178,[72 48] ; [17 14],[70.72847682 49.27152318] ; [18.27152318 12.72847682],0
b5,1,0.602543,0.271178,[72 48] ; [17 14],[70.72847682 49.27152318] ; [18.27152318 12.72847682],0
p12,1,0.604098,0.26886,[  5 113] ; [ 2 29],[  5.54362416 112.45637584] ; [ 1.45637584 29.54362416],0
a2,1,0.745154,0.105648,[ 13 107] ; [ 4 27],[ 13.50993377 106.49006623] ; [ 3.49006623 27.50993377],0
u1,1,0.74771,0.103465,[  6 114] ; [ 2 29],[  6.35761589 113.64238411] ; [ 1.64238411 29.35761589],0
n4,1,0.751156,0.100562,[96 24] ; [24  7],[95.36423841 24.63576159] ; [24.63576159  6.36423841],0
a6,1,0.76544,0.08901,[70 50] ; [19 12],[70.72847682 49.27152318] ; [18.27152318 12.72847682],0
b4,1,0.829914,0.046144,[71 49] ; [19 12],[71.52317881 48.47682119] ; [18.47682119 12.52317881],0
