Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,25.2,[63 27] ; [42 78],[45. 45.] ; [60. 60.],1
p8,1,0.00015,14.371976,[55 34] ; [42 77],[41.50480769 47.49519231] ; [55.49519231 63.50480769],1
p5,1,0.000158,14.27843,[16 74] ; [  3 115],[ 8.22115385 81.77884615] ; [ 10.77884615 107.22115385],1
p7,1,0.002196,9.378165,[71 18] ; [68 46],[60.9408867 28.0591133] ; [78.0591133 35.9408867],0
p6,1,0.002241,9.341162,[36 51] ; [26 94],[26.05797101 60.94202899] ; [35.94202899 84.05797101],0
a5,1,0.012378,6.255895,[58 32] ; [57 64],[49.0521327 40.9478673] ; [65.9478673 55.0521327],0
v3,1,0.013951,6.044316,[37 52] ; [30 88],[28.80676329 60.19323671] ; [38.19323671 79.80676329],0
s7,1,0.016441,5.755102,[56 31] ; [54 60],[47.6119403 39.3880597] ; [62.3880597 51.6119403],0
n4,1,0.017257,5.67,[72 18] ; [78 42],[64.28571429 25.71428571] ; [85.71428571 34.28571429],0
b1,1,0.027965,4.830246,[44 46] ; [41 80],[36.25592417 53.74407583] ; [48.74407583 72.25592417],0
v2,1,0.04471,4.029545,[47 39] ; [46 68],[39.99 46.01] ; [53.01 60.99],0
p1,1,0.097185,2.751141,[10 79] ; [  6 113],[ 6.84615385 82.15384615] ; [  9.15384615 109.84615385],0
b2,1,0.110596,2.54569,[20 35] ; [15 50],[16.04166667 38.95833333] ; [18.95833333 46.04166667],0
b3,1,0.110596,2.54569,[20 35] ; [15 50],[16.04166667 38.95833333] ; [18.95833333 46.04166667],0
n6,1,0.120916,2.405411,[74 16] ; [87 32],[69.33014354 20.66985646] ; [91.66985646 27.33014354],0
n5,1,0.135256,2.231113,[69 21] ; [80 39],[64.16267943 25.83732057] ; [84.83732057 34.16267943],0
p11,1,0.139269,2.18602,[72 18] ; [86 35],[67.39336493 22.60663507] ; [90.60663507 30.39336493],0
a8,1,0.167939,1.901242,[11 77] ; [22 89],[14.59296482 73.40703518] ; [18.40703518 92.59296482],0
a6,1,0.175944,1.831552,[56 34] ; [64 57],[51.18483412 38.81516588] ; [68.81516588 52.18483412],0
d5,1,0.180266,1.795432,[53 37] ; [60 61],[48.19905213 41.80094787] ; [64.80094787 56.19905213],0
d3,1,0.184702,1.759381,[32 58] ; [54 67],[36.68246445 53.31753555] ; [49.31753555 71.68246445],0
s6,1,0.256546,1.287302,[71 17] ; [88 31],[67.5942029 20.4057971] ; [91.4057971 27.5942029],0
s1,1,0.265183,1.241498,[ 3 87] ; [  8 109],[ 4.7826087 85.2173913] ; [  6.2173913 110.7826087],0
s5,1,0.269328,1.220168,[32 53] ; [36 83],[28.33333333 56.66666667] ; [39.66666667 79.33333333],0
s8,1,0.274087,1.196177,[44 46] ; [50 71],[40.09478673 49.90521327] ; [53.90521327 67.09478673],0
p2,1,0.349105,0.876707,[75 14] ; [95 25],[72.3923445 16.6076555] ; [97.6076555 22.3923445],0
