Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,32.092289,[59  8] ; [ 8 19],[47.75531915 19.24468085] ; [19.24468085  7.75531915],1
d1,1,0.0,28.268401,[43 24] ; [ 1 26],[31.36170213 35.63829787] ; [12.63829787 14.36170213],1
d3,1,0.000771,11.310422,[43 24] ; [ 7 20],[35.63829787 31.36170213] ; [14.36170213 12.63829787],1
n5,1,0.001747,9.798293,[30 37] ; [21  5],[36.74193548 30.25806452] ; [14.25806452 11.74193548],0
r3,1,0.003035,8.786066,[48 19] ; [10 16],[41.78494624 25.21505376] ; [16.21505376  9.78494624],0
v2,1,0.006715,7.347561,[31 35] ; [ 4 21],[25.38461538 40.61538462] ; [ 9.61538462 15.38461538],0
d2,1,0.009897,6.653316,[39 27] ; [ 8 19],[33.35483871 32.64516129] ; [13.64516129 13.35483871],0
p1,1,0.020759,5.346932,[ 4 63] ; [ 6 21],[ 7.12765957 59.87234043] ; [ 2.87234043 24.12765957],0
a3,1,0.023272,5.148085,[49 18] ; [12 13],[44.42391304 22.57608696] ; [16.57608696  8.42391304],0
n4,1,0.027691,4.847218,[32 35] ; [19  7],[36.74193548 30.25806452] ; [14.25806452 11.74193548],0
a5,1,0.030827,4.662549,[48 19] ; [13 14],[43.4787234 23.5212766] ; [17.5212766  9.4787234],0
s2,1,0.043904,4.060266,[24 43] ; [ 4 23],[19.95744681 47.04255319] ; [ 8.04255319 18.95744681],0
a4,1,0.044381,4.042012,[33 33] ; [ 7 19],[28.69565217 37.30434783] ; [11.30434783 14.69565217],0
s5,1,0.046971,3.946437,[16 46] ; [ 2 25],[12.53932584 49.46067416] ; [ 5.46067416 21.53932584],0
a2,1,0.049699,3.8516,[17 50] ; [ 2 25],[13.54255319 53.45744681] ; [ 5.45744681 21.54255319],0
v4,1,0.052198,3.769415,[50 17] ; [14 12],[46.10752688 20.89247312] ; [17.89247312  8.10752688],0
b5,1,0.052215,3.768865,[42 25] ; [11 16],[37.77659574 29.22340426] ; [15.22340426 11.77659574],0
s7,1,0.054162,3.707707,[19 40] ; [ 3 22],[15.45238095 43.54761905] ; [ 6.54761905 18.45238095],0
r1,1,0.055075,3.679818,[43 24] ; [11 15],[38.90322581 28.09677419] ; [15.09677419 10.90322581],0
s4,1,0.066267,3.37315,[16 51] ; [ 2 25],[12.82978723 54.17021277] ; [ 5.17021277 21.82978723],0
s6,1,0.07158,3.246407,[30 35] ; [ 7 20],[26.14130435 38.85869565] ; [10.85869565 16.14130435],0
u2,1,0.074447,3.182143,[9 9] ; [ 3 12],[ 6.54545455 11.45454545] ; [5.45454545 9.54545455],0
r4,1,0.094993,2.787654,[40 27] ; [11 16],[36.35106383 30.64893617] ; [14.64893617 12.35106383],0
p10,1,0.096092,2.769231,[25 40] ; [ 5 20],[21.66666667 43.33333333] ; [ 8.33333333 16.66666667],0
b4,1,0.096491,2.762605,[35 32] ; [ 9 18],[31.36170213 35.63829787] ; [12.63829787 14.36170213],0
u1,1,0.166279,1.916176,[ 9 58] ; [ 1 26],[ 7.12765957 59.87234043] ; [ 2.87234043 24.12765957],0
s8,1,0.198081,1.656465,[15 51] ; [ 3 24],[12.77419355 53.22580645] ; [ 5.22580645 21.77419355],0
a7,1,0.209924,1.571951,[43 24] ; [13 13],[40.34408602 26.65591398] ; [15.65591398 10.34408602],0
p3,1,0.251946,1.31248,[17 49] ; [ 4 23],[14.90322581 51.09677419] ; [ 6.09677419 20.90322581],0
a1,1,0.288707,1.125641,[ 7 60] ; [ 5 22],[ 8.55319149 58.44680851] ; [ 3.44680851 23.55319149],0
a6,1,0.343833,0.896086,[37 30] ; [12 15],[34.92553191 32.07446809] ; [14.07446809 12.92553191],0
n6,1,0.359202,0.840682,[38 29] ; [12 14],[36.02150538 30.97849462] ; [13.97849462 12.02150538],0
s3,1,0.36705,0.813628,[27 39] ; [ 8 18],[25.10869565 40.89130435] ; [ 9.89130435 16.10869565],0
n1,1,0.373301,0.792648,[13 20] ; [7 6],[14.34782609 18.65217391] ; [5.65217391 7.34782609],0
n3,1,0.379621,0.77193,[20 13] ; [5 6],[18.75 14.25] ; [6.25 4.75],0
p9,1,0.390093,0.738653,[25 39] ; [ 7 17],[23.27272727 40.72727273] ; [ 8.72727273 15.27272727],0
v1,1,0.434998,0.609441,[17 50] ; [ 9 18],[18.53191489 48.46808511] ; [ 7.46808511 19.53191489],0
s1,1,0.508211,0.437749,[ 7 60] ; [ 4 22],[ 7.92473118 59.07526882] ; [ 3.07526882 22.92473118],0
r2,1,0.517651,0.418571,[53 11] ; [20  6],[51.91111111 12.08888889] ; [21.08888889  4.91111111],0
p6,1,0.537496,0.380201,[11 55] ; [ 3 23],[10.04347826 55.95652174] ; [ 3.95652174 22.04347826],0
p4,1,0.629319,0.232985,[15 50] ; [ 5 22],[14.13043478 50.86956522] ; [ 5.86956522 21.13043478],0
b2,1,0.645485,0.21164,[16 26] ; [ 8 10],[16.8 25.2] ; [ 7.2 10.8],0
b3,1,0.645485,0.21164,[16 26] ; [ 8 10],[16.8 25.2] ; [ 7.2 10.8],0
u3,1,0.652605,0.202632,[ 7 11] ; [7 8],[ 7.63636364 10.36363636] ; [6.36363636 8.63636364],0
a8,1,0.729549,0.119526,[ 6 57] ; [ 3 22],[ 6.44318182 56.55681818] ; [ 2.55681818 22.44318182],0
n2,1,0.757535,0.095308,[20 14] ; [7 6],[19.53191489 14.46808511] ; [7.46808511 5.53191489],0
v3,1,0.764367,0.089851,[20 44] ; [ 7 18],[19.41573034 44.58426966] ; [ 7.58426966 17.41573034],0
p5,1,0.832946,0.044489,[ 2 65] ; [ 1 25],[ 2.16129032 64.83870968] ; [ 0.83870968 25.16129032],0
b1,1,0.872381,0.025803,[36 31] ; [15 12],[36.35106383 30.64893617] ; [14.64893617 12.35106383],0
p8,1,0.882463,0.021859,[12 55] ; [ 5 21],[12.24731183 54.75268817] ; [ 4.75268817 21.24731183],0
p7,1,0.908737,0.01314,[17 49] ; [ 7 19],[17.2173913 48.7826087] ; [ 6.7826087 19.2173913],0
