Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000129,14.662451,[ 3 35] ; [27 34],[11.51515152 26.48484848] ; [18.48484848 42.51515152],1
b3,1,0.000129,14.662451,[ 3 35] ; [27 34],[11.51515152 26.48484848] ; [18.48484848 42.51515152],1
v3,1,0.000133,14.5951,[19 65] ; [46 45],[31.2 52.8] ; [33.8 57.2],1
a5,1,0.000208,13.755202,[46 40] ; [74 19],[57.65363128 28.34636872] ; [62.34636872 30.65363128],1
v2,1,0.001337,10.290598,[30 51] ; [56 35],[40.5 40.5] ; [45.5 45.5],0
n1,1,0.002047,9.507149,[ 3 16] ; [15  9],[ 7.95348837 11.04651163] ; [10.04651163 13.95348837],0
n4,1,0.002635,9.044621,[50 35] ; [74 19],[59.21348315 25.78651685] ; [64.78651685 28.21348315],0
s5,1,0.003507,8.523177,[16 69] ; [35 55],[24.77142857 60.22857143] ; [26.22857143 63.77142857],0
p5,1,0.009007,6.821476,[ 2 83] ; [12 81],[ 6.68539326 78.31460674] ; [ 7.31460674 85.68539326],0
a4,1,0.01125,6.425392,[21 65] ; [39 53],[28.98876404 57.01123596] ; [31.01123596 60.98876404],0
n5,1,0.012623,6.221223,[53 32] ; [73 19],[60.50847458 24.49152542] ; [65.49152542 26.50847458],0
p4,1,0.013143,6.149693,[34 50] ; [55 38],[42.23728814 41.76271186] ; [46.76271186 46.23728814],0
p1,1,0.016135,5.788107,[ 2 82] ; [11 82],[ 6.16949153 77.83050847] ; [ 6.83050847 86.16949153],0
r2,1,0.018133,5.583248,[74 11] ; [88  3],[78.23863636  6.76136364] ; [83.76136364  7.23863636],0
s8,1,0.02663,4.914622,[28 58] ; [45 47],[35.26966292 50.73033708] ; [37.73033708 54.26966292],0
u1,1,0.037881,4.310338,[ 3 83] ; [11 82],[ 6.72625698 79.27374302] ; [ 7.27374302 85.72625698],0
s6,1,0.038138,4.298877,[48 37] ; [63 25],[54.53757225 30.46242775] ; [56.46242775 31.53757225],0
p9,1,0.042448,4.117269,[64 20] ; [80 11],[69.12 14.88] ; [74.88 16.12],0
r1,1,0.045385,4.004288,[61 25] ; [76 15],[66.56497175 19.43502825] ; [70.43502825 20.56497175],0
a3,1,0.057685,3.602712,[48 38] ; [64 28],[54.11235955 31.88764045] ; [57.88764045 34.11235955],0
d1,1,0.064888,3.407814,[39 47] ; [55 38],[45.16201117 40.83798883] ; [48.83798883 44.16201117],0
r4,1,0.077438,3.11787,[71 15] ; [85  8],[74.94972067 11.05027933] ; [81.05027933 11.94972067],0
a2,1,0.083428,2.996814,[ 8 78] ; [17 76],[12.01117318 73.98882682] ; [12.98882682 80.01117318],0
d2,1,0.084281,2.980356,[28 58] ; [42 51],[33.63128492 52.36871508] ; [36.36871508 56.63128492],0
s1,1,0.113943,2.498669,[ 6 78] ; [ 2 90],[ 3.81818182 80.18181818] ; [ 4.18181818 87.81818182],0
s7,1,0.14715,2.101548,[31 53] ; [43 47],[35.72413793 48.27586207] ; [38.27586207 51.72413793],0
n6,1,0.166827,1.911226,[67 19] ; [79 13],[70.53932584 15.46067416] ; [75.46067416 16.53932584],0
d4,1,0.170895,1.875074,[64 22] ; [77 16],[67.74301676 18.25698324] ; [73.25698324 19.74301676],0
p6,1,0.173983,1.848283,[25 61] ; [36 57],[29.30726257 56.69273743] ; [31.69273743 61.30726257],0
a1,1,0.202996,1.62069,[ 1 85] ; [ 4 89],[ 2.40223464 83.59776536] ; [ 2.59776536 90.40223464],0
s4,1,0.249425,1.326523,[14 69] ; [10 82],[11.38285714 71.61714286] ; [12.61714286 79.38285714],0
s3,1,0.254578,1.298006,[39 46] ; [48 40],[42.74566474 42.25433526] ; [44.25433526 43.74566474],0
u2,1,0.397251,0.716632,[17 21] ; [16 13],[18.71641791 19.28358209] ; [14.28358209 14.71641791],0
v4,1,0.410555,0.677194,[80  5] ; [88  3],[81.13636364  3.86363636] ; [86.86363636  4.13636364],0
a6,1,0.419858,0.650712,[55 31] ; [54 39],[52.36871508 33.63128492] ; [56.63128492 36.36871508],0
b4,1,0.440358,0.595349,[45 41] ; [54 39],[47.56424581 38.43575419] ; [51.43575419 41.56424581],0
b5,1,0.467733,0.527326,[50 36] ; [59 34],[52.36871508 33.63128492] ; [56.63128492 36.36871508],0
u3,1,0.493236,0.469459,[16 21] ; [15 14],[17.37878788 19.62121212] ; [13.62121212 15.37878788],0
n2,1,0.498238,0.458687,[16  4] ; [21  3],[16.81818182  3.18181818] ; [20.18181818  3.81818182],0
d5,1,0.520265,0.413368,[64 22] ; [73 20],[65.82122905 20.17877095] ; [71.17877095 21.82122905],0
p12,1,0.552461,0.352927,[ 3 82] ; [ 5 88],[ 3.82022472 81.17977528] ; [ 4.17977528 88.82022472],0
p11,1,0.655062,0.199578,[68 18] ; [76 17],[69.18435754 16.81564246] ; [74.81564246 18.18435754],0
a7,1,0.706331,0.141969,[65 21] ; [68 25],[63.89944134 22.10055866] ; [69.10055866 23.89944134],0
a8,1,0.744784,0.105967,[12 68] ; [14 69],[12.7607362 67.2392638] ; [13.2392638 69.7607362],0
s2,1,0.752288,0.099619,[40 46] ; [44 46],[41.04545455 44.95454545] ; [42.95454545 47.04545455],0
p10,1,0.759525,0.0937,[66 18] ; [74 18],[66.81818182 17.18181818] ; [73.18181818 18.81818182],0
n3,1,0.775387,0.081417,[14  6] ; [17  6],[14.41860465  5.58139535] ; [16.58139535  6.41860465],0
b1,1,0.810461,0.057519,[32 54] ; [33 60],[31.22905028 54.77094972] ; [33.77094972 59.22905028],0
p2,1,0.821662,0.050808,[74 11] ; [82 11],[74.49438202 10.50561798] ; [81.50561798 11.49438202],0
d3,1,0.843563,0.038942,[58 28] ; [64 29],[58.61452514 27.38547486] ; [63.38547486 29.61452514],0
r3,1,0.887319,0.020078,[80  6] ; [86  7],[79.75418994  6.24581006] ; [86.24581006  6.75418994],0
p7,1,0.956353,0.002995,[58 24] ; [64 26],[58.1627907 23.8372093] ; [63.8372093 26.1627907],0
