Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,73.16499,[  7 104] ; [46 24],[32.50276243 78.49723757] ; [20.49723757 49.50276243],1
s2,1,0.0,45.912219,[22 90] ; [49 21],[43.69230769 68.30769231] ; [27.30769231 42.69230769],1
s6,1,0.0,38.529881,[39 72] ; [57 12],[59.2 51.8] ; [36.8 32.2],1
p9,1,3e-06,21.562893,[48 59] ; [56 14],[62.8700565 44.1299435] ; [41.1299435 28.8700565],1
s3,1,4e-06,21.073701,[35 74] ; [47 23],[49.93296089 59.06703911] ; [32.06703911 37.93296089],1
p6,1,6e-06,20.396592,[14 94] ; [30 40],[26.69662921 81.30337079] ; [17.30337079 52.69662921],1
r1,1,1.1e-05,19.308757,[63 47] ; [61  8],[76.20111732 33.79888268] ; [47.79888268 21.20111732],1
r4,1,1.3e-05,19.047466,[65 47] ; [62  8],[78.15384615 33.84615385] ; [48.84615385 21.15384615],1
s5,1,3.3e-05,17.222786,[14 94] ; [27 40],[25.30285714 82.69714286] ; [15.69714286 51.30285714],1
p4,1,4.9e-05,16.504276,[32 77] ; [42 28],[45.06145251 63.93854749] ; [28.93854749 41.06145251],1
n6,1,0.000151,14.361373,[60 51] ; [55 12],[71.71348315 39.28651685] ; [43.28651685 23.71348315],1
p10,1,0.000195,13.879066,[41 67] ; [46 23],[53.08474576 54.91525424] ; [33.91525424 35.08474576],1
v4,1,0.000271,13.261105,[83 28] ; [67  3],[91.98895028 19.01104972] ; [58.01104972 11.98895028],1
p2,1,0.000341,12.829922,[56 55] ; [54 16],[67.45856354 43.54143646] ; [42.54143646 27.45856354],1
n5,1,0.000423,12.428086,[61 50] ; [55 13],[71.93296089 39.06703911] ; [44.06703911 23.93296089],1
u1,1,0.000495,12.133333,[  8 104] ; [18 52],[16. 96.] ; [10. 60.],1
v1,1,0.000532,11.999229,[36 75] ; [41 29],[47.22099448 63.77900552] ; [29.77900552 40.22099448],1
r3,1,0.001118,10.620559,[79 32] ; [64  6],[87.6961326 23.3038674] ; [55.3038674 14.6961326],0
n4,1,0.002879,8.882917,[64 47] ; [54 14],[73.17318436 37.82681564] ; [44.82681564 23.17318436],0
d1,1,0.011178,6.436774,[44 68] ; [41 29],[52.30769231 59.69230769] ; [32.69230769 37.30769231],0
p3,1,0.012897,6.183117,[29 81] ; [31 39],[36.66666667 73.33333333] ; [23.33333333 46.66666667],0
p5,1,0.020816,5.342113,[  4 105] ; [ 9 61],[  7.91620112 101.08379888] ; [ 5.08379888 64.91620112],0
r2,1,0.031755,4.611695,[91 18] ; [66  4],[95.60335196 13.39664804] ; [61.39664804  8.60335196],0
a4,1,0.039527,4.238079,[38 72] ; [35 35],[44.61111111 65.38888889] ; [28.38888889 41.61111111],0
u3,1,0.041125,4.170856,[17 31] ; [13  8],[20.86956522 27.13043478] ; [ 9.13043478 11.86956522],0
d3,1,0.043464,4.077261,[57 54] ; [46 23],[63.51666667 47.48333333] ; [39.48333333 29.51666667],0
a2,1,0.056428,3.63937,[20 92] ; [21 49],[25.23076923 86.76923077] ; [15.76923077 54.23076923],0
v2,1,0.057678,3.602939,[38 69] ; [34 34],[44.02285714 62.97714286] ; [27.97714286 40.02285714],0
a3,1,0.057921,3.595946,[62 47] ; [49 20],[67.97191011 41.02808989] ; [43.02808989 25.97191011],0
d5,1,0.061713,3.49073,[73 39] ; [54 15],[78.58563536 33.41436464] ; [48.41436464 20.58563536],0
n1,1,0.06201,3.482801,[15 25] ; [18 12],[18.85714286 21.14285714] ; [14.14285714 15.85714286],0
p1,1,0.068491,3.31883,[  6 106] ; [ 9 60],[  9.28176796 102.71823204] ; [ 5.71823204 63.28176796],0
a5,1,0.081982,3.025164,[64 48] ; [49 21],[69.53846154 42.46153846] ; [43.46153846 26.53846154],0
u2,1,0.096147,2.768323,[16 32] ; [11  9],[19.05882353 28.94117647] ; [ 7.94117647 12.05882353],0
d2,1,0.096242,2.766732,[47 64] ; [38 31],[52.41666667 58.58333333] ; [32.58333333 36.41666667],0
b1,1,0.121285,2.400654,[54 58] ; [42 28],[59.07692308 52.92307692] ; [36.92307692 33.07692308],0
p8,1,0.121533,2.397447,[30 79] ; [27 43],[34.70949721 74.29050279] ; [22.29050279 47.70949721],0
a8,1,0.121739,2.394809,[10 95] ; [11 51],[13.20359281 91.79640719] ; [ 7.79640719 54.20359281],0
p12,1,0.131407,2.275809,[  1 110] ; [ 3 67],[  2.45303867 108.54696133] ; [ 1.54696133 68.45303867],0
s1,1,0.200825,1.636366,[  7 104] ; [ 8 60],[  9.30167598 101.69832402] ; [ 5.69832402 62.30167598],0
n2,1,0.224969,1.472389,[25 17] ; [22  8],[27.41666667 14.58333333] ; [19.58333333 10.41666667],0
a7,1,0.246235,1.344538,[70 41] ; [50 20],[73.59116022 37.40883978] ; [46.40883978 23.59116022],0
d4,1,0.252834,1.307577,[79 33] ; [54 15],[82.29834254 29.70165746] ; [50.70165746 18.29834254],0
v3,1,0.269228,1.220677,[31 75] ; [25 42],[34.31213873 71.68786127] ; [21.68786127 45.31213873],0
n3,1,0.441016,0.593636,[25 15] ; [16 14],[23.42857143 16.57142857] ; [17.57142857 12.42857143],0
b4,1,0.526181,0.401762,[57 55] ; [39 31],[59.07692308 52.92307692] ; [36.92307692 33.07692308],0
a6,1,0.540798,0.374063,[63 49] ; [42 27],[64.97237569 47.02762431] ; [40.02762431 28.97237569],0
b2,1,0.620397,0.24531,[20 40] ; [16 26],[21.17647059 38.82352941] ; [14.82352941 27.17647059],0
b3,1,0.620397,0.24531,[20 40] ; [16 26],[21.17647059 38.82352941] ; [14.82352941 27.17647059],0
b5,1,0.789857,0.07102,[71 41] ; [43 27],[70.15384615 41.84615385] ; [43.84615385 26.15384615],0
p7,1,0.801094,0.063469,[48 60] ; [32 37],[48.81355932 59.18644068] ; [31.18644068 37.81355932],0
a1,1,0.898262,0.016347,[  9 103] ; [ 6 64],[  9.23076923 102.76923077] ; [ 5.76923077 64.23076923],0
