Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000332,12.882457,[9 3] ; [ 36 104],[3.55263158 8.44736842] ; [41.44736842 98.55263158],1
p1,1,0.00621,7.488356,[3 9] ; [  7 137],[ 0.76923077 11.23076923] ; [  9.23076923 134.76923077],0
v1,1,0.013351,6.122044,[11  1] ; [78 64],[6.93506494 5.06493506] ; [82.06493506 59.93506494],0
p8,1,0.018675,5.531671,[9 3] ; [56 84],[5.13157895 6.86842105] ; [59.86842105 80.13157895],0
p4,1,0.019144,5.488356,[8 3] ; [52 89],[4.34210526 6.65789474] ; [55.65789474 85.34210526],0
b1,1,0.026659,4.912746,[7 5] ; [ 40 104],[3.61538462 8.38461538] ; [ 43.38461538 100.61538462],0
v2,1,0.03559,4.416656,[6 6] ; [109  32],[9.01960784 2.98039216] ; [105.98039216  35.01960784],0
a6,1,0.063685,3.438725,[5 7] ; [98 46],[7.92307692 4.07692308] ; [95.07692308 48.92307692],0
d5,1,0.070145,3.279626,[7 5] ; [116  28],[9.46153846 2.53846154] ; [113.53846154  30.46153846],0
s2,1,0.082957,3.005999,[9 3] ; [70 73],[6.11612903 5.88387097] ; [72.88387097 70.11612903],0
p12,1,0.133717,2.248814,[ 2 10] ; [  8 135],[ 0.77419355 11.22580645] ; [  9.22580645 133.77419355],0
p6,1,0.140643,2.170908,[5 7] ; [ 32 109],[2.90196078 9.09803922] ; [ 34.09803922 106.90196078],0
s6,1,0.163198,1.944339,[10  2] ; [88 51],[7.78807947 4.21192053] ; [90.21192053 48.78807947],0
d2,1,0.194755,1.681276,[4 8] ; [75 67],[6.15584416 5.84415584] ; [72.84415584 69.15584416],0
u3,1,0.230346,1.438726,[1 3] ; [22 17],[2.13953488 1.86046512] ; [20.86046512 18.13953488],0
b4,1,0.243628,1.359477,[6 6] ; [96 48],[7.84615385 4.15384615] ; [94.15384615 49.84615385],0
s8,1,0.339787,0.911233,[7 5] ; [63 80],[5.41935484 6.58064516] ; [64.58064516 78.41935484],0
b5,1,0.392478,0.73125,[6 6] ; [90 54],[7.38461538 4.61538462] ; [88.61538462 55.38461538],0
p7,1,0.39622,0.719767,[7 5] ; [62 74],[5.59459459 6.40540541] ; [63.40540541 72.59459459],0
n6,1,0.415214,0.663821,[11  1] ; [118  25],[9.98709677 2.01290323] ; [119.01290323  23.98709677],0
s1,1,0.416202,0.661013,[ 1 11] ; [  5 135],[ 0.47368421 11.52631579] ; [  5.52631579 134.47368421],0
a4,1,0.42888,0.625854,[4 8] ; [65 79],[5.30769231 6.69230769] ; [63.69230769 80.30769231],0
u2,1,0.497305,0.460684,[3 1] ; [23 17],[2.36363636 1.63636364] ; [23.63636364 16.36363636],0
p10,1,0.503057,0.448481,[9 2] ; [103  39],[8.05228758 2.94771242] ; [103.94771242  38.05228758],0
d1,1,0.510645,0.432745,[6 6] ; [86 58],[7.07692308 4.92307692] ; [84.92307692 59.07692308],0
n4,1,0.542196,0.371484,[10  2] ; [108  35],[9.13548387 2.86451613] ; [108.86451613  34.13548387],0
s7,1,0.601381,0.272918,[6 5] ; [64 74],[5.16778523 5.83221477] ; [64.83221477 73.16778523],0
a7,1,0.612815,0.256096,[8 4] ; [105  38],[8.7483871 3.2516129] ; [104.2516129  38.7483871],0
p2,1,0.641557,0.216711,[8 4] ; [105  39],[8.69230769 3.30769231] ; [104.30769231  39.69230769],0
b2,1,0.643622,0.214036,[4 5] ; [30 52],[3.36263736 5.63736264] ; [30.63736264 51.36263736],0
b3,1,0.643622,0.214036,[4 5] ; [30 52],[3.36263736 5.63736264] ; [30.63736264 51.36263736],0
p9,1,0.650382,0.205419,[10  2] ; [108  31],[9.37748344 2.62251656] ; [108.62251656  30.37748344],0
d3,1,0.681153,0.168831,[8 4] ; [104  40],[8.61538462 3.38461538] ; [103.38461538  40.61538462],0
a3,1,0.681153,0.168831,[8 4] ; [104  40],[8.61538462 3.38461538] ; [103.38461538  40.61538462],0
r1,1,0.697994,0.150567,[9 3] ; [114  29],[9.52258065 2.47741935] ; [113.47741935  29.52258065],0
r2,1,0.701864,0.14654,[11  1] ; [134   8],[11.2987013  0.7012987] ; [133.7012987   8.2987013],0
a8,1,0.708741,0.139538,[2 9] ; [ 18 110],[1.58273381 9.41726619] ; [ 18.41726619 109.58273381],0
s4,1,0.711992,0.136295,[ 1 11] ; [ 17 126],[ 1.39354839 10.60645161] ; [ 16.60645161 126.39354839],0
p11,1,0.836089,0.042807,[9 3] ; [104  40],[8.69230769 3.30769231] ; [104.30769231  39.69230769],0
n2,1,0.840061,0.040729,[2 1] ; [31 12],[2.15217391 0.84782609] ; [30.84782609 12.15217391],0
r3,1,0.862115,0.030166,[11  1] ; [133  10],[11.1483871  0.8516129] ; [132.8516129  10.1483871],0
a5,1,0.881251,0.022315,[8 4] ; [99 45],[8.23076923 3.76923077] ; [98.76923077 45.23076923],0
s3,1,0.935722,0.006504,[6 5] ; [73 64],[5.87162162 5.12837838] ; [73.12837838 63.87162162],0
n5,1,0.936131,0.006421,[9 3] ; [105  37],[8.88311688 3.11688312] ; [105.11688312  36.88311688],0
n3,1,0.977908,0.000767,[2 1] ; [29 14],[2.02173913 0.97826087] ; [28.97826087 14.02173913],0
d4,1,0.991719,0.000108,[10  2] ; [119  24],[9.98709677 2.01290323] ; [119.01290323  23.98709677],0
