Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000109,14.976,[32  8] ; [ 8 17],[24.61538462 15.38461538] ; [15.38461538  9.61538462],1
a6,1,0.002889,8.876498,[30 11] ; [ 9 16],[24.22727273 16.77272727] ; [14.77272727 10.22727273],0
b5,1,0.064786,3.410421,[29 12] ; [12 13],[25.46969697 15.53030303] ; [15.53030303  9.46969697],0
d4,1,0.081776,3.029239,[34  7] ; [16  9],[31.06060606  9.93939394] ; [18.93939394  6.06060606],0
r4,1,0.097082,2.752836,[31 10] ; [14 11],[27.95454545 13.04545455] ; [17.04545455  7.95454545],0
p2,1,0.106339,2.607805,[36  5] ; [18  7],[33.54545455  7.45454545] ; [20.45454545  4.54545455],0
n1,1,0.146145,2.112029,[4 8] ; [7 4],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
b1,1,0.1791,1.805073,[16 25] ; [14 11],[18.63636364 22.36363636] ; [11.36363636 13.63636364],0
s7,1,0.20728,1.590324,[19 20] ; [15  8],[21.38709677 17.61290323] ; [12.61290323 10.38709677],0
b3,1,0.223994,1.478596,[12 12] ; [ 6 13],[10.04651163 13.95348837] ; [ 7.95348837 11.04651163],0
b2,1,0.223994,1.478596,[12 12] ; [ 6 13],[10.04651163 13.95348837] ; [ 7.95348837 11.04651163],0
p1,1,0.239451,1.383825,[ 4 37] ; [ 5 20],[ 5.59090909 35.40909091] ; [ 3.40909091 21.59090909],0
a2,1,0.261264,1.262049,[ 5 36] ; [ 1 24],[ 3.72727273 37.27272727] ; [ 2.27272727 22.72727273],0
p10,1,0.274549,1.193878,[32  8] ; [17  8],[30.15384615  9.84615385] ; [18.84615385  6.15384615],0
n6,1,0.292192,1.109493,[34  7] ; [18  7],[32.3030303  8.6969697] ; [19.6969697  5.3030303],0
a4,1,0.313912,1.014146,[13 28] ; [11 14],[14.90909091 26.09090909] ; [ 9.09090909 15.90909091],0
s6,1,0.342404,0.901411,[23 16] ; [17  7],[24.76190476 14.23809524] ; [15.23809524  8.76190476],0
u1,1,0.391302,0.734893,[ 4 37] ; [ 1 24],[ 3.10606061 37.89393939] ; [ 1.89393939 23.10606061],0
b4,1,0.423412,0.640824,[27 14] ; [14 11],[25.46969697 15.53030303] ; [15.53030303  9.46969697],0
r3,1,0.450891,0.56841,[37  4] ; [21  4],[36.03030303  4.96969697] ; [21.96969697  3.03030303],0
n3,1,0.475512,0.509138,[10  3] ; [7 4],[9.20833333 3.79166667] ; [7.79166667 3.20833333],0
a1,1,0.520907,0.412098,[ 3 38] ; [ 3 22],[ 3.72727273 37.27272727] ; [ 2.27272727 22.72727273],0
d2,1,0.549835,0.357614,[15 26] ; [11 14],[16.15151515 24.84848485] ; [ 9.84848485 15.15151515],0
s2,1,0.569165,0.324082,[20 21] ; [14 11],[21.12121212 19.87878788] ; [12.87878788 12.12121212],0
s8,1,0.569165,0.324082,[20 21] ; [14 11],[21.12121212 19.87878788] ; [12.87878788 12.12121212],0
a8,1,0.58208,0.302885,[ 5 34] ; [ 2 22],[ 4.33333333 34.66666667] ; [ 2.66666667 21.33333333],0
s5,1,0.596962,0.279602,[15 21] ; [ 8 15],[14.03389831 21.96610169] ; [ 8.96610169 14.03389831],0
n5,1,0.598941,0.276596,[28 12] ; [19  6],[28.92307692 11.07692308] ; [18.07692308  6.92307692],0
p4,1,0.652675,0.202544,[30 11] ; [17  8],[29.1969697 11.8030303] ; [17.8030303  7.1969697],0
a3,1,0.659475,0.194161,[24 17] ; [16  9],[24.84848485 16.15151515] ; [15.15151515  9.84848485],0
v2,1,0.6821,0.167772,[23 17] ; [12 11],[22.22222222 17.77777778] ; [12.77777778 10.22222222],0
p8,1,0.690033,0.159049,[25 16] ; [14 11],[24.22727273 16.77272727] ; [14.77272727 10.22727273],0
u2,1,0.69574,0.152941,[10  7] ; [6 3],[10.46153846  6.53846154] ; [5.53846154 3.46153846],0
v1,1,0.714437,0.133885,[19 22] ; [10 14],[18.29230769 22.70769231] ; [10.70769231 13.29230769],0
p9,1,0.7197,0.12878,[33  8] ; [21  4],[33.54545455  7.45454545] ; [20.45454545  4.54545455],0
p11,1,0.764902,0.089431,[34  7] ; [20  5],[33.54545455  7.45454545] ; [20.45454545  4.54545455],0
n2,1,0.772059,0.083916,[9 4] ; [7 4],[8.66666667 4.33333333] ; [7.33333333 3.66666667],0
v4,1,0.77397,0.082476,[37  4] ; [22  3],[36.65151515  4.34848485] ; [22.34848485  2.65151515],0
u3,1,0.789561,0.071225,[8 8] ; [4 5],[7.68 8.32] ; [4.32 4.68],0
s3,1,0.799687,0.06439,[20 21] ; [13 12],[20.5 20.5] ; [12.5 12.5],0
d1,1,0.799687,0.06439,[21 20] ; [12 13],[20.5 20.5] ; [12.5 12.5],0
p12,1,0.809764,0.057951,[ 4 37] ; [ 2 23],[ 3.72727273 37.27272727] ; [ 2.27272727 22.72727273],0
p7,1,0.812987,0.055968,[27 12] ; [18  7],[27.421875 11.578125] ; [17.578125  7.421875],0
p3,1,0.839713,0.04091,[24 17] ; [14 11],[23.60606061 17.39393939] ; [14.39393939 10.60606061],0
a5,1,0.839713,0.04091,[24 17] ; [14 11],[23.60606061 17.39393939] ; [14.39393939 10.60606061],0
v3,1,0.842689,0.039385,[16 24] ; [ 9 15],[15.625 24.375] ; [ 9.375 14.625],0
d5,1,0.847223,0.037119,[32  9] ; [19  6],[31.68181818  9.31818182] ; [19.31818182  5.68181818],0
s4,1,0.850803,0.035379,[ 9 32] ; [ 5 20],[ 8.6969697 32.3030303] ; [ 5.3030303 19.6969697],0
s1,1,0.851708,0.034946,[ 2 38] ; [ 1 24],[ 1.84615385 38.15384615] ; [ 1.15384615 23.84615385],0
r2,1,0.922856,0.009377,[34  5] ; [22  3],[34.125  4.875] ; [21.875  3.125],0
n4,1,0.980243,0.000613,[28 13] ; [17  8],[27.95454545 13.04545455] ; [17.04545455  7.95454545],0
p5,1,0.981203,0.000555,[ 5 36] ; [ 3 22],[ 4.96969697 36.03030303] ; [ 3.03030303 21.96969697],0
