Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000113,14.901107,[16 23] ; [11 84],[ 7.85820896 31.14179104] ; [19.14179104 75.85820896],1
p3,1,0.000197,13.86254,[22 17] ; [22 73],[12.80597015 26.19402985] ; [31.19402985 63.80597015],1
p7,1,0.000319,12.956079,[25 14] ; [29 66],[15.71641791 23.28358209] ; [38.28358209 56.71641791],1
p2,1,0.001375,10.23867,[31  8] ; [47 48],[22.70149254 16.29850746] ; [55.29850746 39.70149254],0
n6,1,0.002981,8.819182,[32  7] ; [52 43],[24.44776119 14.55223881] ; [59.55223881 35.44776119],0
p10,1,0.008334,6.960221,[24 15] ; [34 59],[17.13636364 21.86363636] ; [40.86363636 52.13636364],0
r4,1,0.015065,5.908884,[31  8] ; [55 41],[24.84444444 14.15555556] ; [61.15555556 34.84444444],0
p4,1,0.015887,5.815355,[21 18] ; [30 65],[14.84328358 24.15671642] ; [36.15671642 58.84328358],0
b1,1,0.018191,5.577674,[17 22] ; [63 33],[23.11111111 15.88888889] ; [56.88888889 39.11111111],0
p5,1,0.019488,5.457217,[ 7 32] ; [ 5 90],[ 3.49253731 35.50746269] ; [ 8.50746269 86.49253731],0
r3,1,0.025226,5.008275,[32  6] ; [62 34],[26.65671642 11.34328358] ; [67.34328358 28.65671642],0
n1,1,0.02646,4.925682,[9 4] ; [16 30],[5.50847458 7.49152542] ; [19.49152542 26.50847458],0
d3,1,0.032311,4.581914,[28 11] ; [48 45],[22.45454545 16.54545455] ; [53.54545455 39.45454545],0
v4,1,0.042959,4.097029,[35  4] ; [71 25],[30.62222222  8.37777778] ; [75.37777778 20.62222222],0
d1,1,0.044247,4.047117,[22 17] ; [36 60],[16.75555556 22.24444444] ; [41.24444444 54.75555556],0
v1,1,0.050226,3.833888,[17 22] ; [25 70],[12.2238806 26.7761194] ; [29.7761194 65.2238806],0
s6,1,0.060991,3.510228,[22 16] ; [38 57],[17.14285714 20.85714286] ; [42.85714286 52.14285714],0
r2,1,0.073193,3.209926,[36  3] ; [74 19],[32.5  6.5] ; [77.5 15.5],0
a1,1,0.076106,3.146159,[ 1 38] ; [12 84],[ 3.75555556 35.24444444] ; [ 9.24444444 86.75555556],0
s7,1,0.078064,3.104744,[17 20] ; [26 62],[12.728 24.272] ; [30.272 57.728],0
a7,1,0.092448,2.831221,[29 10] ; [56 39],[24.73880597 14.26119403] ; [60.26119403 34.73880597],0
r1,1,0.104332,2.638042,[27 11] ; [53 42],[22.85714286 15.14285714] ; [57.14285714 37.85714286],0
n2,1,0.117987,2.443846,[11  3] ; [26 21],[8.49180328 5.50819672] ; [28.50819672 18.49180328],0
b5,1,0.143688,2.138009,[28 11] ; [56 40],[24.26666667 14.73333333] ; [59.73333333 36.26666667],0
p9,1,0.171082,1.873434,[24 14] ; [46 46],[20.46153846 17.53846154] ; [49.53846154 42.46153846],0
a2,1,0.225862,1.466733,[ 4 35] ; [18 78],[ 6.35555556 32.64444444] ; [15.64444444 80.35555556],0
s8,1,0.290322,1.118128,[12 27] ; [21 74],[ 9.60447761 29.39552239] ; [23.39552239 71.60447761],0
u1,1,0.313917,1.014123,[ 6 33] ; [ 9 87],[ 4.33333333 34.66666667] ; [10.66666667 85.33333333],0
p1,1,0.313917,1.014123,[ 6 33] ; [ 9 87],[ 4.33333333 34.66666667] ; [10.66666667 85.33333333],0
p12,1,0.344319,0.894286,[ 2 37] ; [ 2 94],[ 1.15555556 37.84444444] ; [ 2.84444444 93.15555556],0
d4,1,0.361922,0.831212,[29 10] ; [63 32],[26.7761194 12.2238806] ; [65.2238806 29.7761194],0
n4,1,0.404876,0.693795,[26 13] ; [56 39],[23.86567164 15.13432836] ; [58.13432836 36.86567164],0
a6,1,0.455814,0.556154,[19 20] ; [53 42],[20.95522388 18.04477612] ; [51.04477612 43.95522388],0
s3,1,0.473768,0.513174,[19 19] ; [41 54],[17.14285714 20.85714286] ; [42.85714286 52.14285714],0
b3,1,0.48094,0.496732,[ 5 14] ; [20 37],[ 6.25 12.75] ; [18.75 38.25],0
b2,1,0.48094,0.496732,[ 5 14] ; [20 37],[ 6.25 12.75] ; [18.75 38.25],0
u4,1,0.50692,0.440419,[ 1 38] ; [ 1 95],[ 0.57777778 38.42222222] ; [ 1.42222222 94.57777778],0
a8,1,0.567073,0.327605,[ 3 33] ; [11 82],[ 3.90697674 32.09302326] ; [10.09302326 82.90697674],0
n5,1,0.570043,0.32261,[26 13] ; [59 37],[24.55555556 14.44444444] ; [60.44444444 35.55555556],0
b4,1,0.571253,0.320591,[22 17] ; [49 47],[20.51111111 18.48888889] ; [50.48888889 45.51111111],0
a4,1,0.610402,0.25959,[13 25] ; [37 58],[14.28571429 23.71428571] ; [35.71428571 59.28571429],0
v3,1,0.649584,0.206425,[ 9 30] ; [18 74],[ 8.03816794 30.96183206] ; [18.96183206 73.03816794],0
a3,1,0.653943,0.200965,[24 13] ; [57 37],[22.8778626 14.1221374] ; [58.1221374 35.8778626],0
s5,1,0.68462,0.164971,[ 8 29] ; [23 69],[ 8.89147287 28.10852713] ; [22.10852713 69.89147287],0
d5,1,0.714925,0.133407,[27 12] ; [62 32],[26.09774436 12.90225564] ; [62.90225564 31.09774436],0
s1,1,0.730168,0.118957,[ 3 36] ; [ 9 85],[ 3.51879699 35.48120301] ; [ 8.48120301 85.51879699],0
s2,1,0.730997,0.118198,[13 26] ; [35 61],[13.86666667 25.13333333] ; [34.13333333 61.86666667],0
u3,1,0.762789,0.091096,[7 8] ; [16 22],[6.50943396 8.49056604] ; [16.49056604 21.50943396],0
u2,1,0.830821,0.045646,[6 9] ; [14 24],[5.66037736 9.33962264] ; [14.33962264 23.66037736],0
n3,1,0.864846,0.028971,[8 6] ; [24 20],[7.72413793 6.27586207] ; [24.27586207 19.72413793],0
s4,1,0.924359,0.009014,[ 8 31] ; [19 77],[ 7.8 31.2] ; [19.2 76.8],0
d2,1,0.965613,0.001859,[18 21] ; [43 51],[17.88721805 21.11278195] ; [43.11278195 50.88721805],0
a5,1,0.97298,0.001147,[21 18] ; [52 44],[21.08888889 17.91111111] ; [51.91111111 44.08888889],0
