Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,1.1e-05,19.364316,[3 3] ; [ 1 51],[0.4137931 5.5862069] ; [ 3.5862069 48.4137931],1
v3,1,0.009988,6.637037,[5 1] ; [15 35],[2.14285714 3.85714286] ; [17.85714286 32.14285714],0
s1,1,0.050848,3.813281,[2 4] ; [ 4 48],[0.62068966 5.37931034] ; [ 5.37931034 46.62068966],0
s5,1,0.060504,3.523524,[4 2] ; [14 35],[1.96363636 4.03636364] ; [16.03636364 32.96363636],0
p4,1,0.142955,2.145864,[5 1] ; [27 25],[3.31034483 2.68965517] ; [28.68965517 23.31034483],0
u1,1,0.203038,1.620385,[2 4] ; [ 7 45],[0.93103448 5.06896552] ; [ 8.06896552 43.93103448],0
a6,1,0.224097,1.477942,[5 1] ; [30 22],[3.62068966 2.37931034] ; [31.37931034 20.62068966],0
d4,1,0.239654,1.382629,[3 3] ; [38 14],[4.24137931 1.75862069] ; [36.75862069 15.24137931],0
a3,1,0.256912,1.285321,[5 1] ; [31 21],[3.72413793 2.27586207] ; [32.27586207 19.72413793],0
p11,1,0.292889,1.106293,[5 1] ; [32 20],[3.82758621 2.17241379] ; [33.17241379 18.82758621],0
s6,1,0.292889,1.106293,[5 1] ; [32 20],[3.82758621 2.17241379] ; [33.17241379 18.82758621],0
d2,1,0.316889,1.001743,[4 2] ; [23 28],[2.84210526 3.15789474] ; [24.15789474 26.84210526],0
b3,1,0.33909,0.913869,[1 4] ; [14 19],[1.97368421 3.02631579] ; [13.02631579 19.97368421],0
b2,1,0.33909,0.913869,[1 4] ; [14 19],[1.97368421 3.02631579] ; [13.02631579 19.97368421],0
b1,1,0.388513,0.74359,[2 4] ; [27 25],[3. 3.] ; [26. 26.],0
p9,1,0.398364,0.713259,[3 3] ; [35 17],[3.93103448 2.06896552] ; [34.06896552 17.93103448],0
p10,1,0.398364,0.713259,[3 3] ; [35 17],[3.93103448 2.06896552] ; [34.06896552 17.93103448],0
d5,1,0.421734,0.645477,[5 1] ; [35 17],[4.13793103 1.86206897] ; [35.86206897 16.13793103],0
a1,1,0.458328,0.549976,[1 5] ; [ 4 48],[0.51724138 5.48275862] ; [ 4.48275862 47.51724138],0
r2,1,0.458328,0.549976,[5 1] ; [48  4],[5.48275862 0.51724138] ; [47.51724138  4.48275862],0
n5,1,0.472402,0.516352,[5 1] ; [36 16],[4.24137931 1.75862069] ; [36.75862069 15.24137931],0
s2,1,0.493004,0.469963,[2 4] ; [25 27],[2.79310345 3.20689655] ; [24.20689655 27.79310345],0
p7,1,0.493004,0.469963,[4 2] ; [27 25],[3.20689655 2.79310345] ; [27.79310345 24.20689655],0
a8,1,0.506729,0.440816,[1 4] ; [ 5 44],[0.55555556 4.44444444] ; [ 5.44444444 43.55555556],0
r1,1,0.527369,0.399458,[5 1] ; [37 15],[4.34482759 1.65517241] ; [37.65517241 14.34482759],0
a4,1,0.549901,0.357495,[2 4] ; [24 28],[2.68965517 3.31034483] ; [23.31034483 28.68965517],0
a5,1,0.586952,0.29513,[5 1] ; [38 14],[4.44827586 1.55172414] ; [38.55172414 13.44827586],0
n4,1,0.586952,0.29513,[5 1] ; [38 14],[4.44827586 1.55172414] ; [38.55172414 13.44827586],0
r3,1,0.591261,0.288379,[5 1] ; [47  5],[5.37931034 0.62068966] ; [46.62068966  5.37931034],0
b4,1,0.609789,0.260482,[4 2] ; [29 23],[3.4137931 2.5862069] ; [29.5862069 22.4137931],0
b5,1,0.609789,0.260482,[4 2] ; [29 23],[3.4137931 2.5862069] ; [29.5862069 22.4137931],0
p8,1,0.650688,0.205034,[3 3] ; [21 31],[2.48275862 3.51724138] ; [21.51724138 30.48275862],0
v1,1,0.708281,0.14,[3 3] ; [21 29],[2.57142857 3.42857143] ; [21.42857143 28.57142857],0
s7,1,0.738024,0.111871,[2 4] ; [19 28],[2.37735849 3.62264151] ; [18.62264151 28.37735849],0
a7,1,0.738139,0.111769,[4 2] ; [31 21],[3.62068966 2.37931034] ; [31.37931034 20.62068966],0
v2,1,0.748632,0.102684,[3 3] ; [29 22],[3.36842105 2.63157895] ; [28.63157895 22.36842105],0
s8,1,0.806357,0.060088,[2 4] ; [20 32],[2.27586207 3.72413793] ; [19.72413793 32.27586207],0
v4,1,0.829316,0.046474,[5 1] ; [45  7],[5.17241379 0.82758621] ; [44.82758621  7.17241379],0
a2,1,0.829316,0.046474,[1 5] ; [ 7 45],[0.82758621 5.17241379] ; [ 7.17241379 44.82758621],0
s4,1,0.875546,0.024529,[1 4] ; [12 40],[1.14035088 3.85964912] ; [11.85964912 40.14035088],0
d3,1,0.928877,0.007967,[3 3] ; [25 27],[2.89655172 3.10344828] ; [25.10344828 26.89655172],0
r4,1,0.934547,0.006745,[5 1] ; [44  8],[5.06896552 0.93103448] ; [43.93103448  8.06896552],0
p6,1,0.950118,0.003914,[2 4] ; [18 34],[2.06896552 3.93103448] ; [17.93103448 34.06896552],0
s3,1,1.0,0.0,[3 3] ; [26 26],[3. 3.] ; [26. 26.],0
d1,1,1.0,0.0,[3 3] ; [26 26],[3. 3.] ; [26. 26.],0
