Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,38.721912,[110  23] ; [75 83],[84.5532646 48.4467354] ; [100.4467354  57.5532646],1
p3,1,0.0,28.672025,[85 51] ; [ 51 111],[62.06711409 73.93288591] ; [73.93288591 88.06711409],1
p6,1,2e-06,22.972654,[71 64] ; [ 41 120],[51.08108108 83.91891892] ; [ 60.91891892 100.08108108],1
p2,1,4e-06,21.348158,[128   9] ; [119  44],[112.79666667  24.20333333] ; [134.20333333  28.79666667],1
p4,1,2.5e-05,17.777529,[95 42] ; [73 89],[76.97658863 60.02341137] ; [91.02341137 70.97658863],1
p11,1,0.00102,10.791358,[113  24] ; [107  56],[100.46666667  36.53333333] ; [119.53333333  43.46666667],0
s8,1,0.002332,9.267792,[83 54] ; [70 93],[69.87 67.13] ; [83.13 79.87],0
s6,1,0.002335,9.265824,[118  16] ; [119  42],[107.65423729  26.34576271] ; [129.34576271  31.65423729],0
p5,1,0.00452,8.062265,[ 20 117] ; [  8 153],[ 12.87248322 124.12751678] ; [ 15.12751678 145.87248322],0
s7,1,0.004797,7.954379,[89 43] ; [79 76],[77.26829268 54.73170732] ; [90.73170732 64.26829268],0
n5,1,0.011759,6.34679,[108  29] ; [105  55],[98.25252525 38.74747475] ; [114.74747475  45.25252525],0
b5,1,0.03059,4.675808,[74 63] ; [108  55],[83.11333333 53.88666667] ; [98.88666667 64.11333333],0
n6,1,0.062569,3.467957,[115  22] ; [121  40],[108.4966443  28.5033557] ; [127.5033557  33.4966443],0
d4,1,0.063226,3.450663,[118  19] ; [126  36],[111.7993311  25.2006689] ; [132.2006689  29.7993311],0
p12,1,0.06664,3.363902,[ 12 124] ; [  6 155],[  8.24242424 127.75757576] ; [  9.75757576 151.24242424],0
v4,1,0.075918,3.150196,[131   5] ; [146  14],[127.27027027   8.72972973] ; [149.72972973  10.27027027],0
n3,1,0.08144,3.035928,[15 10] ; [38 10],[18.15068493  6.84931507] ; [34.84931507 13.15068493],0
p10,1,0.082237,3.020124,[114  22] ; [121  39],[107.97297297  28.02702703] ; [127.02702703  32.97297297],0
n4,1,0.089282,2.887275,[108  29] ; [113  48],[101.60067114  35.39932886] ; [119.39932886  41.60067114],0
b1,1,0.103926,2.644242,[64 73] ; [ 61 102],[57.08333333 79.91666667] ; [67.91666667 95.08333333],0
r4,1,0.11098,2.540207,[123  14] ; [136  27],[118.27666667  18.72333333] ; [140.72333333  22.27666667],0
r3,1,0.116557,2.462991,[131   5] ; [149  13],[127.7852349   8.2147651] ; [152.2147651   9.7852349],0
d1,1,0.126709,2.332364,[81 56] ; [82 81],[74.43666667 62.56333333] ; [88.56333333 74.43666667],0
a5,1,0.155065,2.021702,[98 39] ; [104  59],[92.24666667 44.75333333] ; [109.75333333  53.24666667],0
r1,1,0.160654,1.968058,[112  25] ; [120  40],[107.01683502  29.98316498] ; [124.98316498  35.01683502],0
v2,1,0.210398,1.568683,[45 87] ; [64 91],[50.13240418 81.86759582] ; [58.86759582 96.13240418],0
u4,1,0.235742,1.405875,[  3 134] ; [  1 162],[  1.82666667 135.17333333] ; [  2.17333333 160.82666667],0
d5,1,0.241433,1.372205,[108  29] ; [119  44],[103.66333333  33.33666667] ; [123.33666667  39.66333333],0
a4,1,0.314504,1.011668,[53 84] ; [72 90],[57.27424749 79.72575251] ; [67.72575251 94.27424749],0
d2,1,0.369562,0.805135,[71 66] ; [76 87],[67.13 69.87] ; [79.87 83.13],0
p1,1,0.373137,0.793189,[ 13 123] ; [ 11 152],[ 10.91638796 125.08361204] ; [ 13.08361204 149.91638796],0
s5,1,0.397495,0.715892,[52 76] ; [55 99],[48.56737589 79.43262411] ; [58.43262411 95.56737589],0
p9,1,0.402581,0.700604,[115  21] ; [131  31],[112.26845638  23.73154362] ; [133.73154362  28.26845638],0
a3,1,0.496513,0.462382,[98 39] ; [110  52],[95.30434783 41.69565217] ; [112.69565217  49.30434783],0
n1,1,0.502504,0.449644,[13 12] ; [21 27],[11.64383562 13.35616438] ; [22.35616438 25.64383562],0
s4,1,0.520508,0.412886,[38 97] ; [ 40 121],[35.57432432 99.42567568] ; [ 42.42567568 118.57432432],0
u1,1,0.610766,0.259061,[ 24 113] ; [ 25 138],[ 22.37666667 114.62333333] ; [ 26.62333333 136.37666667],0
a8,1,0.627293,0.235749,[ 22 107] ; [ 23 131],[ 20.51236749 108.48763251] ; [ 24.48763251 129.51236749],0
r2,1,0.647218,0.209426,[128   6] ; [150   9],[127.13993174   6.86006826] ; [150.86006826   8.13993174],0
u3,1,0.663264,0.189583,[23 16] ; [33 19],[24. 15.] ; [32. 20.],0
b4,1,0.717011,0.131374,[77 60] ; [95 68],[78.54666667 58.45333333] ; [93.45333333 69.54666667],0
a1,1,0.758409,0.094599,[  6 131] ; [  6 157],[  5.48 131.52] ; [  6.52 156.48],0
u2,1,0.775345,0.081448,[21 18] ; [29 22],[21.66666667 17.33333333] ; [28.33333333 22.66666667],0
a7,1,0.780843,0.077407,[97 40] ; [113  50],[95.9 41.1] ; [114.1  48.9],0
n2,1,0.808746,0.058586,[20  5] ; [38 11],[19.59459459  5.40540541] ; [38.40540541 10.59459459],0
b2,1,0.874363,0.025002,[30 58] ; [33 67],[29.4893617 58.5106383] ; [33.5106383 66.4893617],0
b3,1,0.874363,0.025002,[30 58] ; [33 67],[29.4893617 58.5106383] ; [33.5106383 66.4893617],0
d3,1,0.901793,0.015227,[89 48] ; [107  56],[89.50666667 47.49333333] ; [106.49333333  56.50666667],0
a2,1,0.928533,0.008045,[ 28 109] ; [ 34 129],[ 28.31333333 108.68666667] ; [ 33.68666667 129.31333333],0
v1,1,0.935128,0.006625,[56 77] ; [66 89],[56.34027778 76.65972222] ; [65.65972222 89.34027778],0
s2,1,0.965429,0.001878,[102  35] ; [121  42],[101.83666667  35.16333333] ; [121.16333333  41.83666667],0
s1,1,0.965739,0.001845,[  7 130] ; [  8 152],[  6.91919192 130.08080808] ; [  8.08080808 151.91919192],0
a6,1,0.992859,8e-05,[90 47] ; [107  56],[89.96333333 47.03666667] ; [107.03666667  55.96333333],0
