Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.007288,7.200678,[ 1 79] ; [1 4],[ 1.88235294 78.11764706] ; [0.11764706 4.88235294],0
p4,1,0.008351,6.95668,[24 55] ; [5 1],[26.95294118 52.04705882] ; [2.04705882 3.95294118],0
p8,1,0.028192,4.816308,[20 60] ; [4 2],[22.3255814 57.6744186] ; [1.6744186 4.3255814],0
p7,1,0.04019,4.209857,[21 57] ; [4 2],[23.21428571 54.78571429] ; [1.78571429 4.21428571],0
p10,1,0.069103,3.304196,[35 43] ; [5 1],[37.14285714 40.85714286] ; [2.85714286 3.14285714],0
a2,1,0.082175,3.021356,[ 8 73] ; [2 4],[ 9.31034483 71.68965517] ; [0.68965517 5.31034483],0
p9,1,0.084314,2.979726,[36 41] ; [5 1],[38.03614458 38.96385542] ; [2.96385542 3.03614458],0
d1,1,0.085631,2.954646,[26 55] ; [4 2],[27.93103448 53.06896552] ; [2.06896552 3.93103448],0
p3,1,0.087571,2.91846,[16 64] ; [3 3],[17.6744186 62.3255814] ; [1.3255814 4.6744186],0
d2,1,0.095314,2.782253,[26 53] ; [4 2],[27.88235294 51.11764706] ; [2.11764706 3.88235294],0
a5,1,0.108315,2.57863,[40 41] ; [5 1],[41.89655172 39.10344828] ; [3.10344828 2.89655172],0
p6,1,0.148845,2.084051,[12 67] ; [2 3],[13.16666667 65.83333333] ; [0.83333333 4.16666667],0
b4,1,0.166813,1.911356,[44 37] ; [5 1],[45.62068966 35.37931034] ; [3.37931034 2.62068966],0
d5,1,0.184187,1.763514,[45 36] ; [5 1],[46.55172414 34.44827586] ; [3.44827586 2.55172414],0
p2,1,0.192782,1.696231,[40 40] ; [4 1],[41.41176471 38.58823529] ; [2.58823529 2.41176471],0
d4,1,0.214121,1.543343,[46 34] ; [5 1],[47.44186047 32.55813953] ; [3.55813953 2.44186047],0
s1,1,0.238857,1.387325,[ 4 76] ; [1 5],[ 4.65116279 75.34883721] ; [0.34883721 5.65116279],0
a6,1,0.239351,1.384413,[34 47] ; [4 2],[35.37931034 45.62068966] ; [2.62068966 3.37931034],0
a4,1,0.274343,1.194904,[23 57] ; [3 3],[24.18604651 55.81395349] ; [1.81395349 4.18604651],0
s7,1,0.322243,0.97982,[13 63] ; [2 4],[13.90243902 62.09756098] ; [1.09756098 4.90243902],0
u1,1,0.327679,0.958048,[ 5 76] ; [1 5],[ 5.5862069 75.4137931] ; [0.4137931 5.5862069],0
d3,1,0.334178,0.932638,[37 43] ; [4 2],[38.13953488 41.86046512] ; [2.86046512 3.13953488],0
r3,1,0.431271,0.619399,[39 39] ; [2 4],[38.07142857 39.92857143] ; [2.92857143 3.07142857],0
a3,1,0.465863,0.531771,[41 39] ; [4 2],[41.86046512 38.13953488] ; [3.13953488 2.86046512],0
r2,1,0.468536,0.525427,[39 37] ; [4 2],[39.85365854 36.14634146] ; [3.14634146 2.85365854],0
b5,1,0.483016,0.492047,[42 39] ; [4 2],[42.82758621 38.17241379] ; [3.17241379 2.82758621],0
p1,1,0.511587,0.430819,[ 7 74] ; [1 5],[ 7.44827586 73.55172414] ; [0.55172414 5.44827586],0
b1,1,0.519556,0.414775,[43 38] ; [4 2],[43.75862069 37.24137931] ; [3.24137931 2.75862069],0
b2,1,0.565783,0.329789,[16 29] ; [2 2],[16.53061224 28.46938776] ; [1.46938776 2.53061224],0
b3,1,0.565783,0.329789,[16 29] ; [2 2],[16.53061224 28.46938776] ; [1.46938776 2.53061224],0
n3,1,0.57753,0.310245,[20 20] ; [1 2],[19.53488372 20.46511628] ; [1.46511628 1.53488372],0
r1,1,0.598186,0.277741,[19 61] ; [2 4],[19.53488372 60.46511628] ; [1.46511628 4.53488372],0
s5,1,0.598214,0.277699,[ 8 73] ; [1 5],[ 8.37931034 72.62068966] ; [0.62068966 5.37931034],0
n4,1,0.619154,0.247058,[45 35] ; [4 2],[45.58139535 34.41860465] ; [3.41860465 2.58139535],0
u2,1,0.627834,0.235009,[13 26] ; [1 1],[13.31707317 25.68292683] ; [0.68292683 1.31707317],0
v4,1,0.630591,0.231261,[48 32] ; [3 3],[47.44186047 32.55813953] ; [3.55813953 2.44186047],0
v1,1,0.683486,0.166228,[25 55] ; [2 3],[25.41176471 54.58823529] ; [1.58823529 3.41176471],0
n2,1,0.694722,0.15402,[22 18] ; [2 1],[22.3255814 17.6744186] ; [1.6744186 1.3255814],0
s6,1,0.702892,0.145481,[19 62] ; [1 5],[18.62068966 62.37931034] ; [1.37931034 4.62068966],0
v3,1,0.739754,0.110343,[18 62] ; [1 5],[17.6744186 62.3255814] ; [1.3255814 4.6744186],0
v2,1,0.899486,0.015954,[28 50] ; [2 4],[27.85714286 50.14285714] ; [2.14285714 3.85714286],0
n1,1,0.903495,0.014701,[12 28] ; [1 2],[12.09302326 27.90697674] ; [0.90697674 2.09302326],0
a7,1,0.976152,0.000894,[39 40] ; [3 3],[39.03529412 39.96470588] ; [2.96470588 3.03529412],0
n6,1,0.982154,0.0005,[47 32] ; [3 2],[47.02380952 31.97619048] ; [2.97619048 2.02380952],0
