Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,4.4e-05,16.707921,[12 88] ; [12 13],[19.2 80.8] ; [ 4.8 20.2],1
s5,1,0.000353,12.765564,[ 8 89] ; [ 9 16],[13.51639344 83.48360656] ; [ 3.48360656 21.51639344],1
s6,1,0.00037,12.679069,[31 68] ; [17  7],[38.63414634 60.36585366] ; [ 9.36585366 14.63414634],1
s2,1,0.000377,12.644221,[15 84] ; [12 13],[21.55645161 77.44354839] ; [ 5.44354839 19.55645161],1
p10,1,0.003893,8.333037,[50 46] ; [21  4],[56.33057851 39.66942149] ; [14.66942149 10.33057851],0
a3,1,0.010226,6.595019,[39 60] ; [17  8],[44.70967742 54.29032258] ; [11.29032258 13.70967742],0
p2,1,0.016541,5.744485,[63 37] ; [22  3],[68. 32.] ; [17.  8.],0
d3,1,0.03516,4.437404,[26 73] ; [12 13],[30.33870968 68.66129032] ; [ 7.66129032 17.33870968],0
a5,1,0.03528,4.431596,[41 60] ; [16  9],[45.69047619 55.30952381] ; [11.30952381 13.69047619],0
s3,1,0.073187,3.210058,[30 68] ; [12 12],[33.73770492 64.26229508] ; [ 8.26229508 15.73770492],0
p4,1,0.077357,3.119575,[37 64] ; [14 11],[40.88095238 60.11904762] ; [10.11904762 14.88095238],0
d1,1,0.124281,2.362526,[ 2 99] ; [ 2 23],[ 3.20634921 97.79365079] ; [ 0.79365079 24.20634921],0
p8,1,0.129313,2.300737,[38 59] ; [14 11],[41.3442623 55.6557377] ; [10.6557377 14.3442623],0
p6,1,0.129929,2.293355,[21 77] ; [ 9 16],[23.90243902 74.09756098] ; [ 6.09756098 18.90243902],0
p7,1,0.191539,1.705738,[44 53] ; [15 10],[46.90983607 50.09016393] ; [12.09016393 12.90983607],0
r1,1,0.206251,1.597548,[54 46] ; [17  8],[56.8 43.2] ; [14.2 10.8],0
n2,1,0.228159,1.452302,[20 11] ; [10  2],[21.62790698  9.37209302] ; [8.37209302 3.62790698],0
d5,1,0.238191,1.391267,[39 61] ; [13 12],[41.6 58.4] ; [10.4 14.6],0
r2,1,0.262253,1.256827,[83 17] ; [23  2],[84.8 15.2] ; [21.2  3.8],0
b4,1,0.264026,1.247525,[53 48] ; [10 15],[50.5 50.5] ; [12.5 12.5],0
n6,1,0.277322,1.180165,[69 31] ; [20  5],[71.2 28.8] ; [17.8  7.2],0
u1,1,0.281008,1.16221,[  1 100] ; [ 1 24],[ 1.6031746 99.3968254] ; [ 0.3968254 24.6031746],0
a2,1,0.292226,1.109337,[ 6 95] ; [ 3 22],[ 7.21428571 93.78571429] ; [ 1.78571429 23.21428571],0
n4,1,0.294722,1.097924,[65 35] ; [19  6],[67.2 32.8] ; [16.8  8.2],0
a7,1,0.302948,1.061173,[52 47] ; [16  9],[54.29032258 44.70967742] ; [13.70967742 11.29032258],0
p5,1,0.313791,1.014651,[ 6 92] ; [ 3 22],[ 7.17073171 90.82926829] ; [ 1.82926829 23.17073171],0
b2,1,0.314515,1.01162,[15 40] ; [ 3 16],[13.37837838 41.62162162] ; [ 4.62162162 14.37837838],0
b3,1,0.314515,1.01162,[15 40] ; [ 3 16],[13.37837838 41.62162162] ; [ 4.62162162 14.37837838],0
a6,1,0.342591,0.900713,[54 47] ; [16  9],[56.11111111 44.88888889] ; [13.88888889 11.11111111],0
u2,1,0.370237,0.802867,[21 41] ; [4 4],[22.14285714 39.85714286] ; [2.85714286 5.14285714],0
n5,1,0.370263,0.802782,[70 30] ; [19  5],[71.77419355 28.22580645] ; [17.22580645  6.77419355],0
d2,1,0.371115,0.799928,[20 81] ; [ 7 18],[21.64285714 79.35714286] ; [ 5.35714286 19.64285714],0
r4,1,0.400987,0.705364,[68 33] ; [19  6],[69.73809524 31.26190476] ; [17.26190476  7.73809524],0
p3,1,0.404456,0.695037,[33 68] ; [10 14],[34.744 66.256] ; [ 8.256 15.744],0
p9,1,0.448199,0.575203,[62 35] ; [18  7],[63.60655738 33.39344262] ; [16.39344262  8.60655738],0
a4,1,0.510583,0.432873,[18 81] ; [ 6 19],[19.16129032 79.83870968] ; [ 4.83870968 20.16129032],0
s1,1,0.585427,0.297543,[ 5 92] ; [ 2 23],[ 5.56557377 91.43442623] ; [ 1.43442623 23.56557377],0
v4,1,0.656101,0.198294,[83 16] ; [21  3],[83.70731707 15.29268293] ; [20.29268293  3.70731707],0
p1,1,0.695509,0.153186,[13 87] ; [ 4 21],[13.6 86.4] ; [ 3.4 21.6],0
v2,1,0.72401,0.124683,[30 63] ; [ 9 16],[30.73728814 62.26271186] ; [ 8.26271186 16.73728814],0
b1,1,0.740688,0.109523,[40 61] ; [ 9 16],[39.27777778 61.72222222] ; [ 9.72222222 15.27777778],0
p11,1,0.802179,0.062764,[66 35] ; [17  8],[66.53174603 34.46825397] ; [16.46825397  8.53174603],0
r3,1,0.809898,0.057868,[77 22] ; [20  5],[77.44354839 21.55645161] ; [19.55645161  5.44354839],0
a8,1,0.817572,0.053208,[ 9 82] ; [ 2 22],[ 8.70434783 82.29565217] ; [ 2.29565217 21.70434783],0
b5,1,0.826595,0.047992,[59 42] ; [14 11],[58.51587302 42.48412698] ; [14.48412698 10.51587302],0
v1,1,0.854089,0.03382,[38 62] ; [10 15],[38.4 61.6] ; [ 9.6 15.4],0
u3,1,0.878109,0.023522,[25 37] ; [3 5],[24.8 37.2] ; [3.2 4.8],0
n1,1,0.894417,0.017614,[11 20] ; [4 8],[10.81395349 20.18604651] ; [4.18604651 7.81395349],0
v3,1,0.904464,0.014406,[26 71] ; [ 7 18],[26.23770492 70.76229508] ; [ 6.76229508 18.23770492],0
n3,1,0.956645,0.002955,[23  8] ; [9 3],[23.06976744  7.93023256] ; [8.93023256 3.06976744],0
