Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,38.081797,[ 9 19] ; [94 13],[21.36296296  6.63703704] ; [81.63703704 25.36296296],1
n6,1,0.0,30.90684,[15 13] ; [102   6],[24.08823529  3.91176471] ; [92.91176471 15.08823529],1
r1,1,3.2e-05,17.283059,[14 14] ; [93 15],[22.02941176  5.97058824] ; [84.97058824 23.02941176],1
p9,1,0.000428,12.406495,[18 10] ; [98 10],[23.88235294  4.11764706] ; [92.11764706 15.88235294],1
r4,1,0.000708,11.468738,[21  7] ; [103   5],[25.52941176  2.47058824] ; [98.47058824  9.52941176],1
r2,1,0.000982,10.861667,[24  4] ; [104   1],[26.94736842  1.05263158] ; [101.05263158   3.94736842],1
d1,1,0.002054,9.500735,[10 18] ; [73 35],[17.08823529 10.91176471] ; [65.91176471 42.08823529],0
p4,1,0.002897,8.871159,[16 12] ; [90 18],[21.82352941  6.17647059] ; [84.17647059 23.82352941],0
v4,1,0.006298,7.462883,[25  3] ; [107   1],[27.17647059  0.82352941] ; [104.82352941   3.17647059],0
v1,1,0.007221,7.217123,[ 5 23] ; [49 58],[11.2 16.8] ; [42.8 64.2],0
a3,1,0.007808,7.07692,[13 15] ; [78 29],[18.87407407  9.12592593] ; [72.12592593 34.87407407],0
p2,1,0.008318,6.963646,[22  6] ; [102   6],[25.52941176  2.47058824] ; [98.47058824  9.52941176],0
a5,1,0.010202,6.59923,[14 14] ; [81 27],[19.55882353  8.44117647] ; [75.44117647 32.55882353],0
p10,1,0.014128,6.022082,[18 10] ; [90 16],[22.56716418  5.43283582] ; [85.43283582 20.56716418],0
v3,1,0.015364,5.87422,[ 1 27] ; [26 82],[ 5.55882353 22.44117647] ; [21.44117647 86.55882353],0
p11,1,0.018219,5.574947,[18 10] ; [91 17],[22.44117647  5.55882353] ; [86.55882353 21.44117647],0
u2,1,0.019624,5.445,[12  3] ; [13 17],[8.33333333 6.66666667] ; [16.66666667 13.33333333],0
d5,1,0.020963,5.3299,[17 10] ; [89 18],[21.35820896  5.64179104] ; [84.64179104 22.35820896],0
p5,1,0.023176,5.155281,[ 1 27] ; [24 84],[ 5.14705882 22.85294118] ; [19.85294118 88.14705882],0
a4,1,0.030248,4.69512,[ 9 19] ; [59 48],[14.1037037 13.8962963] ; [53.8962963 53.1037037],0
d4,1,0.037099,4.34584,[19  9] ; [91 16],[22.81481481  5.18518519] ; [87.18518519 19.81481481],0
s3,1,0.037539,4.325768,[12 16] ; [69 38],[16.8 11.2] ; [64.2 42.8],0
b4,1,0.062809,3.461608,[ 9 19] ; [56 52],[13.38235294 14.61764706] ; [51.61764706 56.38235294],0
s6,1,0.068985,3.307,[16 11] ; [79 24],[19.73076923  7.26923077] ; [75.26923077 27.73076923],0
b1,1,0.071327,3.252211,[17 11] ; [45 63],[12.76470588 15.23529412] ; [49.23529412 58.76470588],0
s7,1,0.075836,3.151946,[12 16] ; [64 40],[16.12121212 11.87878788] ; [59.87878788 44.12121212],0
s4,1,0.090076,2.87302,[11 17] ; [24 79],[ 7.48091603 20.51908397] ; [27.51908397 75.48091603],0
