Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,84.469242,[ 4 43] ; [207  62],[31.38291139 15.61708861] ; [179.61708861  89.38291139],1
d5,1,0.0,39.524299,[24 23] ; [238  31],[38.96835443  8.03164557] ; [223.03164557  45.96835443],1
d3,1,0.0,36.15432,[19 28] ; [219  50],[35.39873418 11.60126582] ; [202.60126582  66.39873418],1
p9,1,1.8e-05,18.401353,[32 15] ; [243  25],[41.03174603  5.96825397] ; [233.96825397  34.03174603],1
u2,1,5.2e-05,16.370923,[ 5 16] ; [39 13],[12.65753425  8.34246575] ; [31.34246575 20.65753425],1
a4,1,9.8e-05,15.166451,[10 36] ; [142 127],[22.1968254 23.8031746] ; [129.8031746 139.1968254],1
p11,1,0.000139,14.52044,[28 19] ; [225  44],[37.62974684  9.37025316] ; [215.37025316  53.62974684],1
d2,1,0.00016,14.255678,[14 33] ; [160 109],[25.87974684 21.12025316] ; [148.12025316 120.87974684],1
a3,1,0.000191,13.919195,[26 21] ; [216  53],[35.99367089 11.00632911] ; [206.00632911  62.99367089],1
a2,1,0.000373,12.660651,[ 3 44] ; [ 85 184],[13.08860759 33.91139241] ; [ 74.91139241 194.08860759],1
s2,1,0.000424,12.421557,[31 16] ; [233  36],[39.26582278  7.73417722] ; [224.73417722  44.26582278],1
u3,1,0.000533,11.997639,[ 7 14] ; [39 12],[13.41666667  7.58333333] ; [32.58333333 18.41666667],1
s6,1,0.000561,11.899852,[31 13] ; [238  28],[38.18064516  5.81935484] ; [230.81935484  35.18064516],1
r4,1,0.001103,10.64673,[39  8] ; [257  12],[44.02531646  2.97468354] ; [251.97468354  17.02531646],0
r1,1,0.001527,10.045215,[31 15] ; [231  37],[38.38216561  7.61783439] ; [223.61783439  44.38216561],0
p8,1,0.002429,9.19305,[20 26] ; [179  89],[29.15286624 16.84713376] ; [169.84713376  98.15286624],0
v4,1,0.006793,7.327028,[41  5] ; [262   7],[44.24761905  1.75238095] ; [258.75238095  10.24761905],0
s5,1,0.007826,7.072956,[12 33] ; [123 133],[20.18272425 24.81727575] ; [114.81727575 141.18272425],0
v2,1,0.008314,6.964526,[18 29] ; [153 106],[26.26470588 20.73529412] ; [144.73529412 114.26470588],0
p10,1,0.01806,5.590295,[33 12] ; [233  35],[38.2428115  6.7571885] ; [227.7571885  40.2428115],0
b2,1,0.018862,5.514303,[ 6 26] ; [ 71 104],[11.90338164 20.09661836] ; [ 65.09661836 109.90338164],0
b3,1,0.018862,5.514303,[ 6 26] ; [ 71 104],[11.90338164 20.09661836] ; [ 65.09661836 109.90338164],0
b4,1,0.020806,5.342995,[20 27] ; [163 106],[27.21835443 19.78164557] ; [155.78164557 113.21835443],0
r3,1,0.02369,5.117198,[43  4] ; [262   6],[45.50793651  1.49206349] ; [259.49206349   8.50793651],0
r2,1,0.036685,4.364996,[41  5] ; [257  10],[43.79552716  2.20447284] ; [254.20447284  12.79552716],0
p12,1,0.047159,3.939712,[ 2 45] ; [ 40 228],[ 6.26666667 40.73333333] ; [ 35.73333333 232.26666667],0
p2,1,0.057649,3.603776,[39  8] ; [246  22],[42.52380952  4.47619048] ; [242.47619048  25.52380952],0
a7,1,0.058167,3.588895,[29 18] ; [201  67],[34.31746032 12.68253968] ; [195.68253968  72.31746032],0
p1,1,0.058693,3.573947,[ 9 38] ; [ 26 241],[ 5.2388535 41.7611465] ; [ 29.7611465 237.2388535],0
v1,1,0.05959,3.548761,[21 26] ; [154 105],[26.87908497 20.12091503] ; [148.12091503 110.87908497],0
a5,1,0.069851,3.286507,[32 15] ; [215  54],[36.73734177 10.26265823] ; [210.26265823  58.73734177],0
p3,1,0.094714,2.792364,[27 19] ; [191  78],[31.83492063 14.16507937] ; [186.16507937  82.83492063],0
s8,1,0.137067,2.210579,[25 22] ; [173  95],[29.54285714 17.45714286] ; [168.45714286  99.54285714],0
p6,1,0.147669,2.096171,[19 28] ; [138 128],[23.57507987 23.42492013] ; [133.42492013 132.57507987],0
s7,1,0.170745,1.876387,[27 17] ; [184  73],[30.84385382 13.15614618] ; [180.15614618  76.84385382],0
a1,1,0.177728,1.816522,[ 1 46] ; [ 20 249],[ 3.12341772 43.87658228] ; [ 17.87658228 251.12341772],0
b5,1,0.192957,1.694895,[23 24] ; [159 110],[27.06962025 19.93037975] ; [154.93037975 114.06962025],0
n6,1,0.262129,1.25748,[39  8] ; [237  30],[41.31210191  5.68789809] ; [234.68789809  32.31210191],0
n4,1,0.267376,1.230158,[35 11] ; [223  46],[37.67619048  8.32380952] ; [220.32380952  48.67619048],0
v3,1,0.268467,1.224564,[17 30] ; [114 140],[20.4551495 26.5448505] ; [110.5448505 143.4551495],0
u4,1,0.360061,0.83768,[ 1 46] ; [ 14 255],[ 2.23101266 44.76898734] ; [ 12.76898734 256.23101266],0
a6,1,0.454399,0.559656,[29 18] ; [181  88],[31.23417722 15.76582278] ; [178.76582278  90.23417722],0
s1,1,0.524689,0.404667,[ 3 42] ; [ 12 256],[ 2.15654952 42.84345048] ; [ 12.84345048 255.15654952],0
s4,1,0.538299,0.378702,[ 9 38] ; [ 62 205],[10.62738854 36.37261146] ; [ 60.37261146 206.62738854],0
n3,1,0.544467,0.367323,[11  2] ; [33 10],[10.21428571  2.78571429] ; [33.78571429  9.21428571],0
n2,1,0.544467,0.367323,[11  2] ; [33 10],[10.21428571  2.78571429] ; [33.78571429  9.21428571],0
a8,1,0.663558,0.18923,[ 7 36] ; [ 35 219],[ 6.08080808 36.91919192] ; [ 35.91919192 218.08080808],0
p5,1,0.812391,0.056332,[ 8 38] ; [ 50 215],[ 8.57877814 37.42122186] ; [ 49.42122186 215.57877814],0
n5,1,0.830008,0.046092,[38  9] ; [221  48],[38.5221519  8.4778481] ; [220.4778481  48.5221519],0
p7,1,0.868589,0.027374,[36 11] ; [200  65],[35.55128205 11.44871795] ; [200.44871795  64.55128205],0
b1,1,0.879733,0.022894,[21 26] ; [117 152],[20.52531646 26.47468354] ; [117.47468354 151.52531646],0
n1,1,0.943204,0.005076,[6 6] ; [21 22],[5.89090909 6.10909091] ; [21.10909091 21.89090909],0
