Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.001729,9.817293,[ 9 82] ; [ 66 192],[19.55587393 71.44412607] ; [ 55.44412607 202.55587393],0
u1,1,0.004251,8.173424,[ 7 84] ; [ 54 204],[15.90544413 75.09455587] ; [ 45.09455587 212.90544413],0
p6,1,0.004685,7.997199,[41 50] ; [159  97],[52.44956772 38.55043228] ; [147.55043228 108.44956772],0
p9,1,0.007164,7.231458,[74 16] ; [238  20],[80.68965517  9.31034483] ; [231.31034483  26.68965517],0
s7,1,0.014544,5.970915,[40 49] ; [144  96],[49.77507599 39.22492401] ; [134.22492401 105.77507599],0
n6,1,0.020997,5.327053,[73 16] ; [233  23],[78.93913043 10.06086957] ; [227.06086957  28.93913043],0
p12,1,0.021204,5.309981,[ 5 86] ; [ 38 220],[11.21203438 79.78796562] ; [ 31.78796562 226.21203438],0
p10,1,0.022486,5.207748,[74 16] ; [234  23],[79.88472622 10.11527378] ; [228.11527378  28.88472622],0
p7,1,0.023407,5.138019,[72 19] ; [227  29],[78.41210375 12.58789625] ; [220.58789625  35.41210375],0
a2,1,0.026835,4.901404,[13 78] ; [ 66 192],[20.59885387 70.40114613] ; [ 58.40114613 199.59885387],0
s5,1,0.035627,4.414879,[27 60] ; [108 138],[35.27027027 51.72972973] ; [ 99.72972973 146.27027027],0
n3,1,0.04467,4.031057,[14  2] ; [22 15],[10.86792453  5.13207547] ; [25.13207547 11.86792453],0
n2,1,0.050264,3.832614,[16  1] ; [26 11],[13.22222222  3.77777778] ; [28.77777778  8.22222222],0
n4,1,0.062758,3.462951,[69 22] ; [218  40],[74.83381089 16.16618911] ; [212.16618911  45.83381089],0
a6,1,0.072969,3.214946,[53 38] ; [177  81],[59.9713467 31.0286533] ; [170.0286533  87.9713467],0
a4,1,0.073055,3.213001,[34 57] ; [124 133],[41.31609195 49.68390805] ; [116.68390805 140.31609195],0
