Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.001424,10.174419,[ 9 18] ; [31 12],[15.42857143 11.57142857] ; [24.57142857 18.42857143],0
r4,1,0.002046,9.507356,[ 5 22] ; [24 19],[11.18571429 15.81428571] ; [17.81428571 25.18571429],0
r3,1,0.00297,8.825694,[12 15] ; [34  9],[17.74285714  9.25714286] ; [28.25714286 14.74285714],0
p11,1,0.003232,8.671847,[ 6 21] ; [25 18],[11.95714286 15.04285714] ; [19.04285714 23.95714286],0
v4,1,0.004837,7.93939,[11 16] ; [32 11],[16.58571429 10.41428571] ; [26.41428571 16.58571429],0
n5,1,0.04357,4.07314,[13 14] ; [31 12],[16.97142857 10.02857143] ; [27.02857143 15.97142857],0
d2,1,0.053289,3.734832,[17 10] ; [16 25],[13.10294118 13.89705882] ; [19.89705882 21.10294118],0
a1,1,0.063611,3.440646,[ 6 21] ; [ 3 40],[ 3.47142857 23.52857143] ; [ 5.52857143 37.47142857],0
b4,1,0.088907,2.894057,[12 15] ; [28 15],[15.42857143 11.57142857] ; [24.57142857 18.42857143],0
s5,1,0.090222,2.870399,[ 2 24] ; [10 32],[ 4.58823529 21.41176471] ; [ 7.41176471 34.58823529],0
s6,1,0.092001,2.839007,[ 6 21] ; [18 25],[ 9.25714286 17.74285714] ; [14.74285714 28.25714286],0
b1,1,0.12601,2.340978,[17 10] ; [19 24],[13.88571429 13.11428571] ; [22.11428571 20.88571429],0
n4,1,0.132535,2.262553,[12 15] ; [27 16],[15.04285714 11.95714286] ; [23.95714286 19.04285714],0
p10,1,0.15288,2.043273,[ 9 17] ; [22 20],[11.85294118 14.14705882] ; [19.14705882 22.85294118],0
d4,1,0.15593,2.013257,[15 12] ; [31 12],[17.74285714  9.25714286] ; [28.25714286 14.74285714],0
s8,1,0.203419,1.617655,[ 3 24] ; [10 33],[ 5.01428571 21.98571429] ; [ 7.98571429 35.01428571],0
p1,1,0.209904,1.572089,[ 7 20] ; [ 6 37],[ 5.01428571 21.98571429] ; [ 7.98571429 35.01428571],0
p9,1,0.220407,1.50172,[11 15] ; [22 16],[13.40625 12.59375] ; [19.59375 18.40625],0
a4,1,0.255152,1.29487,[12 15] ; [13 29],[ 9.7826087 17.2173913] ; [15.2173913 26.7826087],0
u2,1,0.259656,1.270588,[2 8] ; [ 7 10],[3.33333333 6.66666667] ; [ 5.66666667 11.33333333],0
n1,1,0.314736,1.010695,[6 5] ; [ 6 11],[4.71428571 6.28571429] ; [7.28571429 9.71428571],0
r2,1,0.317208,1.000423,[16 10] ; [30 11],[17.85074627  8.14925373] ; [28.14925373 12.85074627],0
