Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.046703,3.956044,[10 16] ; [10  4],[13. 13.] ; [7. 7.],0
p6,1,0.121773,2.394366,[ 7 18] ; [ 1 13],[ 5.12820513 19.87179487] ; [ 2.87179487 11.12820513],0
p1,1,0.231836,1.429561,[ 1 25] ; [ 2 12],[ 1.95 24.05] ; [ 1.05 12.95],0
p7,1,0.717448,0.130951,[12 13] ; [5 7],[11.48648649 13.51351351] ; [5.51351351 6.48648649],0
p8,1,0.823894,0.049524,[ 8 17] ; [ 4 10],[ 7.69230769 17.30769231] ; [4.30769231 9.69230769],0
p11,1,0.973253,0.001124,[15 11] ; [8 6],[14.95 11.05] ; [8.05 5.95],0
