Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,85.137024,[ 76 106] ; [401 109],[125.45375723  56.54624277] ; [351.54624277 158.45375723],1
d3,1,0.0,82.360183,[ 74 108] ; [395 116],[123.17171717  58.82828283] ; [345.82828283 165.17171717],1
a2,1,0.0,31.360961,[ 16 166] ; [151 362],[ 43.7323741 138.2676259] ; [123.2676259 389.7323741],1
u1,1,0.0,26.203577,[  9 173] ; [111 402],[ 31.42446043 150.57553957] ; [ 88.57553957 424.42446043],1
d1,1,7.7e-05,15.64143,[84 98] ; [323 190],[106.58129496  75.41870504] ; [300.41870504 212.58129496],1
d5,1,0.00144,10.15391,[132  49] ; [428  83],[146.47398844  34.52601156] ; [413.52601156  97.47398844],0
b5,1,0.002327,9.272234,[93 89] ; [328 185],[110.24748201  71.75251799] ; [310.75251799 202.24748201],0
p2,1,0.004063,8.255553,[138  42] ; [439  72],[150.30390738  29.69609262] ; [426.69609262  84.30390738],0
p10,1,0.004256,8.171252,[131  48] ; [421  86],[144.03498542  34.96501458] ; [407.96501458  99.03498542],0
d4,1,0.005472,7.716298,[136  44] ; [433  78],[148.21997106  31.78002894] ; [420.78002894  90.21997106],0
u3,1,0.0127,6.210467,[25 30] ; [94 51],[32.725 22.275] ; [86.275 58.725],0
b3,1,0.027032,4.888797,[58 61] ; [116 197],[47.93055556 71.06944444] ; [126.06944444 186.93055556],0
b2,1,0.027032,4.888797,[58 61] ; [116 197],[47.93055556 71.06944444] ; [126.06944444 186.93055556],0
r1,1,0.040063,4.215224,[147  35] ; [443  66],[155.39797395  26.60202605] ; [434.60202605  74.39797395],0
p4,1,0.048557,3.8906,[95 84] ; [313 196],[106.15116279  72.84883721] ; [301.84883721 207.15116279],0
v2,1,0.062563,3.46811,[92 83] ; [296 192],[102.413273  72.586727] ; [285.586727 202.413273],0
b1,1,0.071588,3.246224,[ 79 103] ; [184 329],[ 68.87194245 113.12805755] ; [194.12805755 318.87194245],0
p9,1,0.095518,2.778837,[144  36] ; [430  74],[151.05263158  28.94736842] ; [422.94736842  81.05263158],0
p8,1,0.097635,2.743764,[85 93] ; [277 227],[94.48093842 83.51906158] ; [267.51906158 236.48093842],0
a5,1,0.12147,2.398262,[127  55] ; [388 125],[134.86330935  47.13669065] ; [380.13669065 132.86330935],0
s5,1,0.123573,2.371438,[ 61 112] ; [145 355],[ 52.95393759 120.04606241] ; [153.04606241 346.95393759],0
u2,1,0.13709,2.210318,[28 26] ; [92 53],[32.56281407 21.43718593] ; [87.43718593 57.56281407],0
p1,1,0.165902,1.919584,[ 11 170] ; [ 48 461],[ 15.47681159 165.52318841] ; [ 43.52318841 465.47681159],0
p12,1,0.236652,1.400425,[ 11 167] ; [ 46 464],[ 14.74709302 163.25290698] ; [ 42.25290698 467.74709302],0
s8,1,0.255744,1.29165,[86 95] ; [217 292],[ 79.4826087 101.5173913] ; [223.5173913 285.4826087],0
v4,1,0.27869,1.173467,[174   7] ; [501  12],[176.04466859   4.95533141] ; [498.95533141  14.04466859],0
b4,1,0.333392,0.935679,[100  82] ; [303 210],[105.53381295  76.46618705] ; [297.46618705 215.53381295],0
n6,1,0.391134,0.735413,[148  32] ; [434  77],[151.60636758  28.39363242] ; [430.39363242  80.60636758],0
p5,1,0.435199,0.608908,[ 24 155] ; [ 57 451],[ 21.10480349 157.89519651] ; [ 59.89519651 448.10480349],0
s6,1,0.441381,0.59269,[109  67] ; [331 177],[113.21637427  62.78362573] ; [326.78362573 181.21637427],0
p3,1,0.44964,0.571558,[86 95] ; [259 251],[90.36903039 90.63096961] ; [254.63096961 255.36903039],0
d2,1,0.459476,0.547171,[84 97] ; [253 257],[88.27351664 92.72648336] ; [248.72648336 261.27351664],0
s2,1,0.474018,0.512593,[ 81 100] ; [244 266],[85.13024602 95.86975398] ; [239.86975398 270.13024602],0
r2,1,0.475554,0.509042,[174   6] ; [499  12],[175.31114327   4.68885673] ; [497.68885673  13.31114327],0
u4,1,0.484725,0.488214,[  6 176] ; [ 12 501],[  4.71366906 177.28633094] ; [ 13.28633094 499.71366906],0
n2,1,0.504544,0.445366,[35 10] ; [74 28],[33.36734694 11.63265306] ; [75.63265306 26.36734694],0
a8,1,0.571435,0.320288,[ 26 146] ; [ 78 381],[ 28.34865293 143.65134707] ; [ 75.65134707 383.34865293],0
n3,1,0.577325,0.31058,[31 12] ; [78 24],[32.32413793 10.67586207] ; [76.67586207 25.32413793],0
p6,1,0.590641,0.289345,[ 59 117] ; [181 325],[ 61.93548387 114.06451613] ; [178.06451613 327.93548387],0
n5,1,0.598828,0.276767,[137  42] ; [381 130],[134.37971014  44.62028986] ; [383.62028986 127.37971014],0
a3,1,0.611611,0.257836,[127  55] ; [366 144],[129.66184971  52.33815029] ; [363.33815029 146.66184971],0
r3,1,0.704432,0.143903,[178   4] ; [504   9],[178.59568345   3.40431655] ; [503.40431655   9.59568345],0
p7,1,0.765591,0.088891,[113  65] ; [323 176],[114.6351551  63.3648449] ; [321.3648449 177.6351551],0
a1,1,0.798495,0.065176,[  9 173] ; [ 23 490],[  8.37985612 173.62014388] ; [ 23.62014388 489.37985612],0
s3,1,0.839287,0.04113,[98 83] ; [269 236],[96.83236152 84.16763848] ; [270.16763848 234.83236152],0
p11,1,0.84928,0.036114,[147  35] ; [411 102],[146.12374101  35.87625899] ; [411.87625899 101.12374101],0
a4,1,0.850471,0.035539,[ 80 101] ; [230 281],[81.08381503 99.91618497] ; [228.91618497 282.08381503],0
n4,1,0.854087,0.033822,[142  39] ; [405 107],[142.86724387  38.13275613] ; [404.13275613 107.86724387],0
s7,1,0.869273,0.027087,[82 94] ; [229 255],[82.93333333 93.06666667] ; [228.06666667 255.93333333],0
s1,1,0.917479,0.010735,[  6 174] ; [ 16 488],[  5.78947368 174.21052632] ; [ 16.21052632 487.78947368],0
n1,1,0.918392,0.010498,[18 26] ; [40 60],[17.72222222 26.27777778] ; [40.27777778 59.72222222],0
v1,1,0.940418,0.005587,[97 81] ; [273 225],[97.4260355 80.5739645] ; [272.5739645 225.4260355],0
v3,1,0.990082,0.000155,[ 73 101] ; [205 283],[ 73.0694864 100.9305136] ; [204.9305136 283.0694864],0
