Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.6e-05,18.562453,[ 68 229] ; [22 18],[ 79.31750742 217.68249258] ; [10.68249258 29.31750742],1
s2,1,0.004446,8.091929,[127 175] ; [28 15],[135.68115942 166.31884058] ; [19.31884058 23.68115942],0
s6,1,0.005336,7.761896,[177 125] ; [34  8],[185.23837209 116.76162791] ; [25.76162791 16.23837209],0
s7,1,0.02312,5.159438,[122 169] ; [27 18],[129.04464286 161.95535714] ; [19.95535714 25.04464286],0
s8,1,0.02727,4.873625,[110 194] ; [24 21],[116.72206304 187.27793696] ; [17.27793696 27.72206304],0
d4,1,0.033966,4.496405,[244  59] ; [30 15],[238.56896552  64.43103448] ; [35.43103448  9.56896552],0
s3,1,0.051202,3.801662,[148 147] ; [29 15],[154.02654867 140.97345133] ; [22.97345133 21.02654867],0
b3,1,0.059967,3.538286,[ 72 117] ; [ 5 21],[ 67.68837209 121.31162791] ; [ 9.31162791 16.68837209],0
b2,1,0.059967,3.538286,[ 72 117] ; [ 5 21],[ 67.68837209 121.31162791] ; [ 9.31162791 16.68837209],0
n1,1,0.069568,3.293183,[38 42] ; [ 3 11],[34.89361702 45.10638298] ; [6.10638298 7.89361702],0
n3,1,0.106822,2.600625,[51 29] ; [12  2],[53.61702128 26.38297872] ; [9.38297872 4.61702128],0
r3,1,0.138379,2.195889,[276  26] ; [38  7],[273.2795389  28.7204611] ; [40.7204611  4.2795389],0
v3,1,0.160594,1.968626,[107 186] ; [11 32],[102.89880952 190.10119048] ; [15.10119048 27.89880952],0
v4,1,0.173036,1.856445,[268  34] ; [42  2],[270.57803468  31.42196532] ; [39.42196532  4.57803468],0
n5,1,0.173778,1.850049,[253  49] ; [34 11],[249.78097983  52.21902017] ; [37.21902017  7.78097983],0
a8,1,0.18256,1.776659,[ 53 226] ; [ 4 35],[ 50.00943396 228.99056604] ; [ 6.99056604 32.00943396],0
r1,1,0.201041,1.634796,[235  68] ; [31 14],[231.60344828  71.39655172] ; [34.39655172 10.60344828],0
a1,1,0.309201,1.034086,[ 18 287] ; [ 1 44],[ 16.55714286 288.44285714] ; [ 2.44285714 42.55714286],0
v2,1,0.367059,0.813597,[149 140] ; [19 24],[146.24096386 142.75903614] ; [21.75903614 21.24096386],0
s1,1,0.401726,0.703153,[ 12 285] ; [ 3 41],[ 13.06451613 283.93548387] ; [ 1.93548387 42.06451613],0
d1,1,0.412139,0.672622,[169 136] ; [22 23],[166.44285714 138.55714286] ; [24.55714286 20.44285714],0
p2,1,0.417707,0.656759,[233  71] ; [32 13],[230.83094556  73.16905444] ; [34.16905444 10.83094556],0
n6,1,0.422504,0.643341,[247  55] ; [39  6],[248.91066282  53.08933718] ; [37.08933718  7.91066282],0
v1,1,0.459279,0.547652,[142 153] ; [19 26],[139.69117647 155.30882353] ; [21.30882353 23.69117647],0
b1,1,0.464222,0.535696,[112 193] ; [14 31],[109.8 195.2] ; [16.2 28.8],0
a6,1,0.474225,0.512114,[199 105] ; [27 18],[196.85959885 107.14040115] ; [29.14040115 15.85959885],0
d5,1,0.488765,0.479243,[237  67] ; [33 12],[235.18624642  68.81375358] ; [34.81375358 10.18624642],0
a7,1,0.502518,0.449615,[211  93] ; [29 16],[209.05444126  94.94555874] ; [30.94555874 14.05444126],0
p8,1,0.550734,0.356004,[111 187] ; [14 29],[109.23753666 188.76246334] ; [15.76246334 27.23753666],0
p1,1,0.571906,0.319505,[ 20 283] ; [ 4 41],[ 20.89655172 282.10344828] ; [ 3.10344828 41.89655172],0
