Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.9e-05,18.331907,[ 7 17] ; [94 33],[16.05298013  7.94701987] ; [84.94701987 42.05298013],1
r4,1,0.0018,9.743443,[18  6] ; [120   7],[21.93377483  2.06622517] ; [116.06622517  10.93377483],0
a5,1,0.003259,8.656456,[11 13] ; [96 31],[17.00662252  6.99337748] ; [89.99337748 37.00662252],0
p11,1,0.004432,8.097762,[11 13] ; [95 32],[16.84768212  7.15231788] ; [89.15231788 37.84768212],0
n4,1,0.004946,7.898955,[ 9 15] ; [86 41],[15.09933775  8.90066225] ; [79.90066225 47.09933775],0
p10,1,0.011347,6.4101,[14  8] ; [109  18],[18.16107383  3.83892617] ; [104.83892617  22.16107383],0
u2,1,0.020644,5.356572,[7 2] ; [13 24],[3.91304348 5.08695652] ; [16.08695652 20.91304348],0
p4,1,0.024389,5.066741,[ 9 15] ; [79 48],[13.98675497 10.01324503] ; [74.01324503 52.98675497],0
s6,1,0.026128,4.947526,[16  7] ; [107  15],[19.51034483  3.48965517] ; [103.48965517  18.51034483],0
v4,1,0.038457,4.284709,[20  3] ; [123   4],[21.92666667  1.07333333] ; [121.07333333   5.92666667],0
r1,1,0.055335,3.671951,[15  9] ; [102  25],[18.59602649  5.40397351] ; [98.40397351 28.59602649],0
p9,1,0.076222,3.143678,[16  6] ; [110  16],[18.72972973  3.27027027] ; [107.27027027  18.72972973],0
p8,1,0.08078,3.049136,[ 7 15] ; [65 60],[10.7755102 11.2244898] ; [61.2244898 63.7755102],0
s3,1,0.083374,2.997873,[21  3] ; [88 37],[17.55704698  6.44295302] ; [91.44295302 33.55704698],0
u3,1,0.096412,2.763914,[8 1] ; [22 15],[5.86956522 3.13043478] ; [24.13043478 12.86956522],0
b1,1,0.112537,2.518233,[12 12] ; [42 85],[ 8.58278146 15.41721854] ; [45.41721854 81.58278146],0
p6,1,0.114647,2.488965,[13 10] ; [49 77],[ 9.5704698 13.4295302] ; [52.4295302 73.5704698],0
a2,1,0.140389,2.173685,[ 2 22] ; [ 27 100],[ 4.60927152 19.39072848] ; [ 24.39072848 102.60927152],0
p7,1,0.170078,1.882259,[11 11] ; [81 43],[13.8630137  8.1369863] ; [78.1369863 45.8630137],0
n1,1,0.179072,1.805307,[5 5] ; [ 9 24],[3.25581395 6.74418605] ; [10.74418605 22.25581395],0
b3,1,0.203539,1.616797,[5 9] ; [13 52],[ 3.18987342 10.81012658] ; [14.81012658 50.18987342],0
b2,1,0.203539,1.616797,[5 9] ; [13 52],[ 3.18987342 10.81012658] ; [14.81012658 50.18987342],0
v2,1,0.244136,1.35655,[ 8 15] ; [59 64],[10.55479452 12.44520548] ; [56.44520548 66.55479452],0
v1,1,0.276154,1.185919,[ 9 15] ; [63 64],[11.44370861 12.55629139] ; [60.55629139 66.44370861],0
s5,1,0.282622,1.15444,[ 9 12] ; [65 52],[11.26086957  9.73913043] ; [62.73913043 54.26086957],0
v3,1,0.325546,0.966536,[ 5 18] ; [40 85],[ 6.99324324 16.00675676] ; [38.00675676 86.99324324],0
d1,1,0.331642,0.942476,[12 12] ; [77 50],[14.14569536  9.85430464] ; [74.85430464 52.14569536],0
p5,1,0.397525,0.715799,[ 1 23] ; [ 12 115],[ 2.06622517 21.93377483] ; [ 10.93377483 116.06622517],0
u1,1,0.406198,0.689901,[ 3 21] ; [ 25 102],[ 4.45033113 19.54966887] ; [ 23.54966887 103.45033113],0
a3,1,0.414116,0.666953,[15  9] ; [90 37],[16.68874172  7.31125828] ; [88.31125828 38.68874172],0
a6,1,0.420473,0.648992,[17  7] ; [79 48],[15.25827815  8.74172185] ; [80.74172185 46.25827815],0
a7,1,0.428287,0.627464,[15  9] ; [89 37],[16.64  7.36] ; [87.36 38.64],0
r3,1,0.441507,0.592364,[21  2] ; [120   6],[21.76510067  1.23489933] ; [119.23489933   6.76510067],0
s7,1,0.451122,0.567832,[15  7] ; [74 50],[13.4109589  8.5890411] ; [75.5890411 48.4109589],0
d2,1,0.519987,0.413919,[10 14] ; [62 65],[11.44370861 12.55629139] ; [60.55629139 66.44370861],0
p1,1,0.552095,0.353578,[ 3 21] ; [ 11 116],[ 2.22516556 21.77483444] ; [ 11.77483444 115.22516556],0
d4,1,0.60942,0.261021,[20  4] ; [100  27],[19.07284768  4.92715232] ; [100.92715232  26.07284768],0
s2,1,0.68837,0.160856,[18  6] ; [88 36],[17.18918919  6.81081081] ; [88.81081081 35.18918919],0
p2,1,0.750782,0.100875,[18  6] ; [99 28],[18.59602649  5.40397351] ; [98.40397351 28.59602649],0
b4,1,0.776425,0.080645,[14 10] ; [78 49],[14.62251656  9.37748344] ; [77.37748344 49.62251656],0
n2,1,0.780863,0.077392,[8 2] ; [25  8],[7.6744186 2.3255814] ; [25.3255814  7.6744186],0
d5,1,0.911332,0.012401,[19  5] ; [101  25],[19.2  4.8] ; [100.8  25.2],0
a8,1,0.92153,0.009704,[ 1 21] ; [  6 113],[ 1.09219858 20.90780142] ; [  5.90780142 113.09219858],0
s1,1,0.931225,0.007448,[ 1 22] ; [  6 120],[ 1.08053691 21.91946309] ; [  5.91946309 120.08053691],0
n3,1,0.934215,0.006813,[8 2] ; [26  7],[7.90697674 2.09302326] ; [26.09302326  6.90697674],0
a4,1,0.938183,0.006015,[10 14] ; [54 73],[10.17218543 13.82781457] ; [53.82781457 73.17218543],0
d3,1,0.967031,0.001708,[18  6] ; [95 31],[18.08  5.92] ; [94.92 31.08],0
s8,1,0.971779,0.001252,[12 12] ; [63 64],[11.9205298 12.0794702] ; [63.0794702 63.9205298],0
p3,1,0.971779,0.001252,[12 12] ; [64 63],[12.0794702 11.9205298] ; [63.9205298 63.0794702],0
b5,1,0.978167,0.000749,[15  9] ; [79 48],[14.94039735  9.05960265] ; [79.05960265 47.94039735],0
