Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,7e-06,20.105574,[57 17] ; [ 3 13],[49.33333333 24.66666667] ; [10.66666667  5.33333333],1
p7,1,0.001081,10.682866,[67  7] ; [10  7],[62.61538462 11.38461538] ; [14.38461538  2.61538462],0
s8,1,0.002533,9.116276,[51 23] ; [ 5 12],[45.53846154 28.46153846] ; [10.46153846  6.53846154],0
v3,1,0.012277,6.270418,[47 25] ; [ 5 11],[42.54545455 29.45454545] ; [9.45454545 6.54545455],0
v4,1,0.015664,5.840167,[71  2] ; [14  3],[68.94444444  4.05555556] ; [16.05555556  0.94444444],0
r2,1,0.017324,5.663206,[70  4] ; [13  4],[67.49450549  6.50549451] ; [15.50549451  1.49450549],0
s2,1,0.020957,5.330379,[48 25] ; [ 6 11],[43.8 29.2] ; [10.2  6.8],0
p12,1,0.023232,5.151058,[25 50] ; [ 1 16],[21.19565217 53.80434783] ; [ 4.80434783 12.19565217],0
a5,1,0.041228,4.166617,[58 17] ; [9 8],[54.61956522 20.38043478] ; [12.38043478  4.61956522],0
n6,1,0.041697,4.147466,[71  3] ; [14  3],[69.12087912  4.87912088] ; [15.87912088  1.12087912],0
a4,1,0.053277,3.735213,[37 38] ; [ 4 13],[33.42391304 41.57608696] ; [7.57608696 9.42391304],0
s7,1,0.056352,3.641612,[52 18] ; [8 8],[48.8372093 21.1627907] ; [11.1627907  4.8372093],0
b5,1,0.064252,3.424086,[30 45] ; [11  6],[33.42391304 41.57608696] ; [7.57608696 9.42391304],0
p3,1,0.071138,3.256574,[66  9] ; [12  5],[63.58695652 11.41304348] ; [14.41304348  2.58695652],0
s5,1,0.080856,3.047621,[46 20] ; [8 9],[42.93975904 23.06024096] ; [11.06024096  5.93975904],0
n5,1,0.08382,2.989234,[71  4] ; [14  3],[69.29347826  5.70652174] ; [15.70652174  1.29347826],0
a2,1,0.095685,2.776036,[18 57] ; [ 1 16],[15.48913043 59.51086957] ; [ 3.51086957 13.48913043],0
s3,1,0.096362,2.764751,[50 23] ; [8 9],[47.04444444 25.95555556] ; [10.95555556  6.04444444],0
a7,1,0.098975,2.721989,[55 20] ; [9 8],[52.17391304 22.82608696] ; [11.82608696  5.17391304],0
p1,1,0.172652,1.859767,[26 49] ; [ 3 14],[23.64130435 51.35869565] ; [ 5.35869565 11.64130435],0
u2,1,0.17595,1.831502,[11  4] ; [2 3],[9.75 5.25] ; [3.25 1.75],0
d3,1,0.204401,1.610644,[50 25] ; [14  3],[52.17391304 22.82608696] ; [11.82608696  5.17391304],0
r1,1,0.208112,1.584515,[62 12] ; [12  5],[60.17582418 13.82417582] ; [13.82417582  3.17582418],0
p11,1,0.217885,1.518245,[66  9] ; [13  4],[64.40217391 10.59782609] ; [14.59782609  2.40217391],0
r4,1,0.226708,1.461394,[69  6] ; [14  3],[67.66304348  7.33695652] ; [15.33695652  1.66304348],0
a1,1,0.235303,1.408513,[13 62] ; [ 1 16],[11.41304348 63.58695652] ; [ 2.58695652 14.41304348],0
d5,1,0.25702,1.284739,[62 13] ; [12  5],[60.32608696 14.67391304] ; [13.67391304  3.32608696],0
d4,1,0.290627,1.116713,[65 10] ; [13  4],[63.58695652 11.41304348] ; [14.41304348  2.58695652],0
n4,1,0.320054,0.988725,[68  7] ; [14  3],[66.84782609  8.15217391] ; [15.15217391  1.84782609],0
b2,1,0.339925,0.910714,[27 27] ; [5 9],[25.41176471 28.58823529] ; [6.58823529 7.41176471],0
b3,1,0.339925,0.910714,[27 27] ; [5 9],[25.41176471 28.58823529] ; [6.58823529 7.41176471],0
s6,1,0.380335,0.769618,[58 10] ; [13  4],[56.8 11.2] ; [14.2  2.8],0
b4,1,0.38337,0.759867,[44 31] ; [8 9],[42.39130435 32.60869565] ; [9.60869565 7.39130435],0
a3,1,0.39563,0.721569,[60 15] ; [12  5],[58.69565217 16.30434783] ; [13.30434783  3.69565217],0
p2,1,0.426643,0.631944,[70  5] ; [14  2],[69.23076923  5.76923077] ; [14.76923077  1.23076923],0
b1,1,0.441571,0.592197,[32 43] ; [9 8],[33.42391304 41.57608696] ; [7.57608696 9.42391304],0
d1,1,0.53985,0.375817,[50 25] ; [10  7],[48.91304348 26.08695652] ; [11.08695652  5.91304348],0
u1,1,0.573102,0.317519,[18 57] ; [ 3 14],[17.11956522 57.88043478] ; [ 3.88043478 13.11956522],0
u3,1,0.573138,0.31746,[10  5] ; [4 1],[10.5  4.5] ; [3.5 1.5],0
p10,1,0.618915,0.247395,[69  6] ; [15  2],[68.47826087  6.52173913] ; [15.52173913  1.47826087],0
v2,1,0.642347,0.215686,[45 27] ; [9 7],[44.18181818 27.81818182] ; [9.81818182 6.18181818],0
d2,1,0.681568,0.168366,[40 35] ; [10  7],[40.76086957 34.23913043] ; [9.23913043 7.76086957],0
v1,1,0.705109,0.143211,[50 22] ; [11  6],[49.34831461 22.65168539] ; [11.65168539  5.34831461],0
s4,1,0.792195,0.069412,[11 62] ; [ 2 14],[10.66292135 62.33707865] ; [ 2.33707865 13.66292135],0
a6,1,0.795941,0.066876,[46 29] ; [11  6],[46.4673913 28.5326087] ; [10.5326087  6.4673913],0
s1,1,0.905867,0.013984,[ 5 70] ; [ 1 16],[ 4.89130435 70.10869565] ; [ 1.10869565 15.89130435],0
p9,1,0.928164,0.008128,[71  4] ; [16  1],[70.92391304  4.07608696] ; [16.07608696  0.92391304],0
r3,1,0.947923,0.004266,[69  4] ; [16  1],[68.94444444  4.05555556] ; [16.05555556  0.94444444],0
a8,1,1.0,0.0,[10 60] ; [ 2 12],[10. 60.] ; [ 2. 12.],0
