Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,104.445935,[ 51 135] ; [319 128],[108.72037915  77.27962085] ; [261.27962085 185.72037915],1
s2,1,0.0,104.439359,[ 41 144] ; [300 150],[99.34645669 85.65354331] ; [241.65354331 208.34645669],1
s7,1,0.0,82.695452,[ 43 133] ; [282 152],[93.7704918 82.2295082] ; [231.2295082 202.7704918],1
s8,1,0.0,64.784846,[ 44 144] ; [263 188],[90.32237872 97.67762128] ; [216.67762128 234.32237872],1
s5,1,0.0,50.718353,[ 25 159] ; [191 250],[ 63.5904 120.4096] ; [152.4096 288.5904],1
p4,1,9e-06,19.664283,[95 92] ; [312 138],[119.48037677  67.51962323] ; [287.51962323 162.48037677],1
s4,1,5.1e-05,16.396593,[ 12 176] ; [ 85 361],[ 28.76340694 159.23659306] ; [ 68.23659306 377.76340694],1
p5,1,0.000345,12.811235,[ 10 176] ; [ 71 379],[ 23.68867925 162.31132075] ; [ 57.31132075 392.68867925],1
p12,1,0.000369,12.682946,[  5 181] ; [ 52 398],[ 16.66981132 169.33018868] ; [ 40.33018868 409.66981132],1
p6,1,0.000654,11.616911,[ 53 132] ; [193 254],[ 72.00949367 112.99050633] ; [173.99050633 273.00949367],1
r1,1,0.002523,9.124017,[140  47] ; [384  68],[153.3458529  33.6541471] ; [370.6541471  81.3458529],0
p7,1,0.00739,7.175525,[110  77] ; [306 132],[124.4672  62.5328] ; [291.5328 146.4672],0
u1,1,0.007955,7.043525,[ 25 163] ; [102 352],[ 37.19003115 150.80996885] ; [ 89.80996885 364.19003115],0
r4,1,0.014592,5.965126,[168  20] ; [430  24],[175.1152648  12.8847352] ; [422.8847352  31.1152648],0
u4,1,0.01951,5.455253,[  1 187] ; [ 18 436],[  5.56386293 182.43613707] ; [ 13.43613707 440.56386293],0
d3,1,0.031756,4.611628,[116  71] ; [319 132],[127.5  59.5] ; [307.5 143.5],0
v1,1,0.036462,4.375383,[97 88] ; [271 170],[108.75399361  76.24600639] ; [259.24600639 181.75399361],0
r2,1,0.045072,4.015948,[172  14] ; [434  17],[176.94819466   9.05180534] ; [429.05180534  21.94819466],0
p2,1,0.050233,3.83367,[149  37] ; [390  62],[157.13793103  28.86206897] ; [381.86206897  70.13793103],0
d4,1,0.052751,3.751783,[145  42] ; [378  72],[153.53375196  33.46624804] ; [369.46624804  80.53375196],0
