Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,128.987527,[448   9] ; [19 16],[433.77845528  23.22154472] ; [33.22154472  1.77845528],1
r2,1,0.0,118.004889,[451   7] ; [21 14],[438.49087221  19.50912779] ; [33.50912779  1.49087221],1
v4,1,0.0,91.669802,[450   9] ; [23 13],[438.6  20.4] ; [34.4  1.6],1
r1,1,0.0,84.451922,[401  55] ; [11 26],[381.07910751  74.92089249] ; [30.92089249  6.07910751],1
s6,1,4e-06,21.194652,[327 123] ; [13 23],[314.81481481 135.18518519] ; [25.18518519 10.81481481],1
n6,1,6e-06,20.378469,[417  40] ; [25 12],[408.89473684  48.10526316] ; [33.10526316  3.89473684],1
p2,1,8e-06,20.008499,[393  65] ; [22 16],[383.20564516  74.79435484] ; [31.79435484  6.20564516],1
v1,1,0.000194,13.890164,[273 176] ; [10 25],[262.53512397 186.46487603] ; [20.46487603 14.53512397],1
a1,1,0.000237,13.511189,[ 20 439] ; [ 7 31],[ 24.93561368 434.06438632] ; [ 2.06438632 35.93561368],1
p11,1,0.000366,12.696087,[376  83] ; [22 16],[367.5694165  91.4305835] ; [30.4305835  7.5694165],1
p9,1,0.000372,12.667116,[398  53] ; [25 12],[390.92827869  60.07172131] ; [32.07172131  4.92827869],1
p10,1,0.000479,12.195578,[392  62] ; [24 13],[384.65173116  69.34826884] ; [31.34826884  5.65173116],1
p4,1,0.000495,12.135847,[307 148] ; [15 23],[297.18052738 157.81947262] ; [24.81947262 13.18052738],1
s5,1,0.005896,7.581929,[154 288] ; [ 4 30],[146.71428571 295.28571429] ; [11.28571429 22.71428571],0
s2,1,0.006122,7.513946,[251 202] ; [11 24],[243.20901639 209.79098361] ; [18.79098361 16.20901639],0
n3,1,0.008163,6.997412,[62 19] ; [7 9],[57.6185567 23.3814433] ; [11.3814433  4.6185567],0
s8,1,0.008877,6.847426,[211 242] ; [ 9 28],[203.3877551 249.6122449] ; [16.6122449 20.3877551],0
p3,1,0.016681,5.729608,[248 208] ; [13 25],[240.92307692 215.07692308] ; [20.07692308 17.92307692],0
s3,1,0.022241,5.226843,[269 181] ; [14 21],[262.57731959 187.42268041] ; [20.42268041 14.57731959],0
u3,1,0.025215,5.009027,[76 45] ; [4 9],[72.23880597 48.76119403] ; [7.76119403 5.23880597],0
p7,1,0.026979,4.892127,[296 148] ; [18 19],[289.84615385 154.15384615] ; [24.15384615 12.84615385],0
d1,1,0.033013,4.545082,[297 162] ; [18 20],[290.91549296 168.08450704] ; [24.08450704 13.91549296],0
v2,1,0.036506,4.373299,[267 172] ; [16 21],[261.00210084 177.99789916] ; [21.99789916 15.00210084],0
d4,1,0.040642,4.190894,[384  73] ; [27 11],[379.44848485  77.55151515] ; [31.55151515  6.44848485],0
s7,1,0.042804,4.10314,[225 207] ; [12 23],[219.23768737 212.76231263] ; [17.76231263 17.23768737],0
p8,1,0.044501,4.037456,[258 190] ; [15 22],[252.17319588 195.82680412] ; [20.82680412 16.17319588],0
n4,1,0.047832,3.915863,[410  48] ; [30  8],[406.29032258  51.70967742] ; [33.70967742  4.29032258],0
v3,1,0.051273,3.799345,[191 248] ; [10 27],[185.37605042 253.62394958] ; [15.62394958 21.37605042],0
b1,1,0.089998,2.874408,[166 293] ; [19 19],[170.85513078 288.14486922] ; [14.14486922 23.85513078],0
p12,1,0.150345,2.068745,[ 45 412] ; [ 1 36],[ 42.55465587 414.44534413] ; [ 3.44534413 33.55465587],0
b5,1,0.163058,1.945633,[305 154] ; [21 17],[301.07444668 157.92555332] ; [24.92555332 13.07444668],0
p6,1,0.170238,1.880844,[182 270] ; [11 27],[178.03265306 273.96734694] ; [14.96734694 23.03265306],0
a6,1,0.188319,1.730721,[365  91] ; [27 11],[361.84615385  94.15384615] ; [30.15384615  7.84615385],0
d5,1,0.204251,1.611714,[385  72] ; [29  9],[382.21818182  74.78181818] ; [31.78181818  6.21818182],0
d2,1,0.252961,1.306878,[236 220] ; [16 22],[232.61538462 223.38461538] ; [19.38461538 18.61538462],0
s4,1,0.297145,1.086964,[ 68 381] ; [ 8 29],[ 70.21399177 378.78600823] ; [ 5.78600823 31.21399177],0
p5,1,0.309769,1.031661,[ 59 395] ; [ 7 30],[ 61.02647658 392.97352342] ; [ 4.97352342 32.02647658],0
a5,1,0.324904,0.969102,[358 101] ; [27 11],[355.56338028 103.43661972] ; [29.43661972  8.56338028],0
a8,1,0.376431,0.782325,[ 72 334] ; [ 4 30],[ 70.12727273 335.87272727] ; [ 5.87272727 28.12727273],0
a3,1,0.384135,0.757427,[338 118] ; [25 12],[335.75659229 120.24340771] ; [27.24340771  9.75659229],0
a2,1,0.419715,0.651113,[150 309] ; [10 28],[147.7665996 311.2334004] ; [12.2334004 25.7665996],0
s1,1,0.478189,0.50299,[ 14 434] ; [ 2 36],[ 14.74897119 433.25102881] ; [ 1.25102881 36.74897119],0
d3,1,0.510683,0.432667,[355 102] ; [27 10],[353.38866397 103.61133603] ; [28.61133603  8.38866397],0
p1,1,0.515168,0.423556,[ 45 412] ; [ 5 33],[ 46.16161616 410.83838384] ; [ 3.83838384 34.16161616],0
b2,1,0.564733,0.331575,[106 173] ; [ 7 15],[104.74086379 174.25913621] ; [ 8.25913621 13.74086379],0
b3,1,0.564733,0.331575,[106 173] ; [ 7 15],[104.74086379 174.25913621] ; [ 8.25913621 13.74086379],0
u2,1,0.600134,0.274793,[70 51] ; [6 6],[69.14285714 51.85714286] ; [6.85714286 5.14285714],0
u1,1,0.622544,0.242308,[113 346] ; [ 8 30],[111.74849095 347.25150905] ; [ 9.25150905 28.74849095],0
n1,1,0.750578,0.101046,[38 41] ; [7 9],[37.42105263 41.57894737] ; [7.57894737 8.42105263],0
